A	'a	 a 
recolzo	r e k 'o l z o	 r e k 'ɔ l z o 
recolza	r e k 'o l z a	 r e k 'ɔ l z a 
recents	r e s 'e n s	 r e s 'e n t s 
rec	r 'e k	 r 'ɛ k 
rebessin	r e β 'e s i n	 r e β 'ɛ s i n 
rails	r 'a j l s	 r a 'i l s 
quedes	k 'e ð e s	 k 'ɛ ð e s 
quatrecents	k w a t ɾ e s 'e n s	 k w a t ɾ e s 'e n t s 
pícnic	p 'i g n i k	 p 'i k n i k 
puresa	p u ɾ 'e z a	 p u ɾ 'ɛ z a 
proposo	p ɾ o p 'o z o	 p ɾ o p 'ɔ z o 
prometre'm	p ɾ o m 'e t ɾ e m	 p ɾ o m e t ɾ 'ɛ m 
prometre	p ɾ o m 'e t ɾ e	 p ɾ o m 'ɛ t ɾ e 
prometo	p ɾ o m 'e t o	 p ɾ o m 'ɛ t o 
promeses	p ɾ o m 'e z e s	 p ɾ o m 'ɛ z e s 
proeses	p ɾ o 'e z e s	 p ɾ o 'ɛ z e s 
preveuen	p ɾ e v 'e w e n	 p ɾ e v 'ɛ w e n 
pretesa	p ɾ e t 'e z a	 p ɾ e t 'ɛ z a 
pretendre	p ɾ e t 'e n d ɾ e	 p ɾ e t 'ɛ n d ɾ e 
presumpta	p ɾ e z 'u m t a	 p ɾ e z 'u m p t a 
prest	p ɾ 'e s t	 p ɾ 'ɛ s t 
prengueren	p ɾ e ŋ g 'e ɾ e n	 p ɾ e ŋ g 'ɛ ɾ e n 
premsa	p ɾ 'e m s a	 p ɾ 'ɛ m z a 
practicants	p ɾ a k t i k 'a n s	 p ɾ a k t i k 'a n t s 
posar-nos-hi	p o z 'a ɾ n o z i	 p o z a ɾ n 'ɔ z i 
posant-ne	p o z 'a n n e	 p o z 'a n d n e 
porta-me-les	p 'ɔ ɾ t a m e l e s	 p o ɾ t a m 'ɛ l e s 
porro	p 'o r o	 p 'ɔ r o 
popes	p 'o p e s	 p 'ɔ p e s 
poder-te	p o ð 'e ɾ t e	 p o ð 'ɛ ɾ t e 
poder-li	p o ð 'e ɾ l i	 p o ð 'ɛ ɾ l i 
poder-la	p o ð 'e ɾ l a	 p o ð 'ɛ ɾ l a 
plumero	p l u m 'e ɾ o	 p l u m 'ɛ ɾ o 
plego	p l 'e ɣ o	 p l 'ɛ ɣ o 
plega	p l 'e ɣ a	 p l 'ɛ ɣ a 
plecs	p l 'e k s	 p l 'ɛ k s 
placidesa	p l a s i ð 'e z a	 p l a s i ð 'ɛ z a 
piscines	p i s 'i n e s	 p i s k 'i n e s 
pintoresca	p i n t o ɾ 'e s k a	 p i n t o ɾ 'ɛ s k a 
petards	p e t 'a ɾ t s	 p e t 'a ɾ i s 
perpetren	p e ɾ p 'e t ɾ e n	 p e ɾ p 'ɛ t ɾ e n 
permetre'm	p e ɾ m 'e t ɾ e m	 p e ɾ m e t ɾ 'ɛ m 
permesos	p e ɾ m 'e z o s	 p e ɾ m 'ɛ z o s 
perdre-la	p 'ɛ ɾ ð ɾ e l a	 p e ɾ ð ɾ 'ɛ l a 
perdre'm	p 'ɛ ɾ ð ɾ e m	 p e ɾ ð ɾ 'ɛ m 
penjo	p 'e n d ʒ o	 p 'ɛ n d ʒ o 
penetren	p e n 'e t ɾ e n	 p e n 'ɛ t ɾ e n 
pega	p 'e ɣ a	 p 'ɛ ɣ a 
pebre	p 'e β ɾ e	 p 'ɛ β ɾ e 
patrimoni	p a t ɾ i m 'ɔ n i	 p a t ɾ i m 'o n i 
palesa	p a l 'e z a	 p a l 'ɛ z a 
oscil·la	o s 'i l a	 o s k 'i l a 
operen	o p 'e ɾ e n	 o p 'ɛ ɾ e n 
oncle	'o ŋ k l e	 'ɔ ŋ k l e 
oloro	o l 'o ɾ o	 o l 'ɔ ɾ o 
ofendre's	o f 'e n d ɾ e s	 o f e n d ɾ 'ɛ s 
oest	o 'e s t	 o 'ɛ s t 
ocupants	o k u p 'a n s	 o k u p 'a n t s 
observant-me	o p s e ɾ v 'a m m e	 o p s e ɾ v 'a n d m e 
oasi	o 'a z i	 o 'a s i 
nuesa	n u 'e z a	 n u 'ɛ z a 
netegessin	n e t e d ʒ 'e s i n	 n e t e d ʒ 'ɛ s i n 
nedes	n 'e ð e s	 n 'ɛ ð e s 
neden	n 'e ð e n	 n 'ɛ ð e n 
navega	n a v 'e ɣ a	 n a v 'ɛ ɣ a 
navarreses	n a v a r 'e z e s	 n a v a r 'ɛ z e s 
naips	n 'a j p s	 n a 'i p s 
na	n 'a	 n a 
n'està	n a s t 'a	 n e s t 'a 
n'estic	n a s t 'i k	 n e s t 'i k 
n'escoltem	n a s k o l t 'e m	 n e s k o l t 'e m 
mosso	m 'o s o	 m 'ɔ s o 
mosca	m 'o s k a	 m 'ɔ s k a 
mosaic	m o z 'a j k	 m o z 'a i k 
morses	m 'o ɾ s e s	 m 'ɔ ɾ s e s 
morros	m 'o r o s	 m 'ɔ r o s 
molest	m o l 'e s t	 m o l 'ɛ s t 
minusvalidesa	m i n u z v a l i ð 'e z a	 m i n u z v a l i ð 'ɛ z a 
migcampistes	m i k k a m p 'i s t e s	 m i ɣ k a m p 'i s t e s 
metros	m 'e t ɾ o s	 m 'ɛ t ɾ o s 
metre	m 'e t ɾ e	 m 'ɛ t ɾ e 
mestra	m 'e s t ɾ a	 m 'ɛ s t ɾ a 
mescles	m 'e s k l e s	 m 'ɛ s k l e s 
marxessin	m a ɾ t ʃ 'e s i n	 m a ɾ t ʃ 'ɛ s i n 
marcint-me	m a ɾ s 'i m m e	 m a ɾ s 'i n d m e 
manxec	m a n t ʃ 'e k	 m a n t ʃ 'ɛ k 
manifesta	m a n i f 'e s t a	 m a n i f 'ɛ s t a 
malalts	m a l 'a l s	 m a l 'a l t s 
malaguenya	m a l a ɣ 'e ɲ a	 m a l a ɣ 'ɛ ɲ a 
madrileny	m a ð ɾ i l 'e ɲ	 m a ð ɾ i l 'ɛ ɲ 
ma	m 'a	 m a 
m'hagis	m 'a d ʒ i s	 m 'ɔ d ʒ i s 
lletra	ʎ 'e t ɾ a	 ʎ 'ɛ t ɾ a 
llesta	ʎ 'e s t a	 ʎ 'ɛ s t a 
lleopards	ʎ e o p 'a ɾ t s	 ʎ e o p 'a ɾ i s 
llenço	ʎ 'e n s o	 ʎ 'ɛ n s o 
llenya	ʎ 'e ɲ a	 ʎ 'ɛ ɲ a 
llengües	ʎ 'e ŋ g w e s	 ʎ 'ɛ ŋ g e s 
llencen	ʎ 'e n s e n	 ʎ 'ɛ n s e n 
llegendes	ʎ e d ʒ 'e n d e s	 ʎ e d ʒ 'ɛ n d e s 
llambordes	ʎ a m b 'o ɾ ð e s	 ʎ a m b 'ɔ ɾ ð e s 
lepra	l 'e p ɾ a	 l 'ɛ p ɾ a 
lamento	l a m 'e n t o	 l a m 'ɛ n t o 
l'àlgebra	l 'a l d ʒ e β ɾ a	 l 'a d ʒ e β ɾ a 
l'harmònica	l a ɾ m 'ɔ n i k a	 ʎ a ɾ m 'ɔ n i k a 
l'algebraic	l a l d ʒ e β ɾ 'a j k	 l a l d ʒ e β ɾ 'a i k 
l'Univers	l u n i v 'ɛ ɾ s	 l u n i v 'e ɾ s 
l'Antoni	l a n t 'ɔ n i	 l a n t 'o n i 
justificants	d ʒ u s t i f i k 'a n s	 d ʒ u s t i f i k 'a n t s 
jueva	d ʒ u 'e v a	 d ʒ u 'ɛ v a 
japonesos	d ʒ a p o n 'e z o s	 d ʒ a p o n 'ɛ z o s 
jamaicans	d ʒ a m a j k 'a n s	 d ʒ a m a i k 'a n s 
irlandesa	i ɾ l a n d 'e z a	 i ɾ l a n d 'ɛ z a 
intèrpret	i n t 'ɛ ɾ p ɾ e t	 i n t e ɾ p ɾ 'e t 
intrínsecs	i n t ɾ 'i n s e k s	 i n t ɾ i n s 'e k s 
introduir-lo	i n t ɾ o ð w 'i ɾ l o	 i n t ɾ o ð i 'i ɾ l o 
interrompre	i n t e r 'o m p ɾ e	 i n t e r 'ɔ m p ɾ e 
interessin	i n t e ɾ 'e s i n	 i n t e ɾ 'ɛ s i n 
intensos	i n t 'e n s o s	 i n t 'ɛ n s o s 
intensa	i n t 'e n s a	 i n t 'ɛ n s a 
ingresses	i ŋ g ɾ 'e s e s	 i ŋ g ɾ 'ɛ s e s 
impresa	i m p ɾ 'e z a	 i m p ɾ 'ɛ z a 
import	i m p 'ɔ ɾ t	 i m p 'o ɾ t 
idoni	i ð 'ɔ n i	 i ð 'o n i 
híbrid	'i β ɾ i t	 i β ɾ i t 
hostesses	o s t 'e s e s	 o s t 'ɛ s e s 
hora	'ɔ ɾ a	 a ɾ a 
hongaresos	o ŋ g a ɾ 'e z o s	 o ŋ g a ɾ 'ɛ z o s 
himnes	'i m n e s	 u 'i m n e s 
haguessis	a ɣ 'e s i s	 a ɣ 'ɛ s i s 
haguessin	a ɣ 'e s i n	 a ɣ 'ɛ s i n 
hagis	'a d ʒ i s	 'ɔ d ʒ i s 
guinda	g 'i n d a	 g w 'i n d a 
guetos	g 'e t o s	 g 'ɛ t o s 
guanyant-me	g w a ɲ 'a m m e	 g w a ɲ 'a n d m e 
guacamais	g w a k a m 'a j s	 g w a k a m 'a i s 
grinyolen	g ɾ i ɲ 'o l e n	 g ɾ i ɲ 'ɔ l e n 
greixos	g ɾ 'e j ʃ o s	 g ɾ 'ɛ j ʃ o s 
golfo	g 'o l f o	 g 'ɔ l f o 
gestos	d ʒ 'e s t o s	 d ʒ 'ɛ s t o s 
gesta	d ʒ 'e s t a	 d ʒ 'ɛ s t a 
generen	d ʒ e n 'e ɾ e n	 d ʒ e n 'ɛ ɾ e n 
gemecs	d ʒ e m 'e k s	 d ʒ e m 'ɛ k s 
gemec	d ʒ e m 'e k	 d ʒ e m 'ɛ k 
gallega	g a ʎ 'e ɣ a	 g a ʎ 'ɛ ɣ a 
galleda	g a ʎ 'e ð a	 g a ʎ 'ɛ ð a 
gairell	g a j ɾ 'e ʎ	 g a i ɾ 'e ʎ 
fèlids	f 'ɛ l i t s	 f e l i 'a s 
futbolí	f u d b o l 'i	 f u t b o l 'i 
fuita	f w 'i t a	 f 'u j t a 
fruit	f ɾ w 'i t	 f ɾ u 'i t 
fresc	f ɾ 'e s k	 f ɾ 'ɛ s k 
freqüents	f ɾ e k w 'e n s	 f ɾ e k 'e n t s 
freqüentava	f ɾ e k w e n t 'a v a	 f ɾ e k e n t 'a v a 
freqüent	f ɾ e k w 'e n t	 f ɾ e k 'e n t 
frens	f ɾ 'e n s	 f ɾ 'ɛ n s 
frega	f ɾ 'e ɣ a	 f ɾ 'ɛ ɣ a 
fredes	f ɾ 'e ð e s	 f ɾ 'ɛ ð e s 
frec	f ɾ 'e k	 f ɾ 'ɛ k 
franceses	f ɾ a n s 'e z e s	 f ɾ a n s 'ɛ z e s 
fots	f 'o t s	 f 'ɔ t s 
fotre-li	f 'o t ɾ e l i	 f o t ɾ 'ɛ l i 
foteses	f o t 'e z e s	 f o t 'ɛ z e s 
fot	f 'o t	 f 'ɔ t 
fluïdesa	f l u i ð 'e z a	 f l u i ð 'ɛ z a 
fluixesa	f l u j ʃ 'e z a	 f l u j ʃ 'ɛ z a 
fluir	f l w 'i ɾ	 f l u 'i ɾ 
fletxes	f l 'e t ʃ e s	 f l 'ɛ t ʃ e s 
fletxa	f l 'e t ʃ a	 f l 'ɛ t ʃ a 
fiquessin	f i k 'e s i n	 f i k 'ɛ s i n 
finestra	f i n 'e s t ɾ a	 f i n 'ɛ s t ɾ a 
fermesa	f e ɾ m 'e z a	 f e ɾ m 'ɛ z a 
fer-vos	f 'e ɾ v o s	 f 'ɛ ɾ v o s 
fer-lo	f 'e ɾ l o	 f 'ɛ ɾ l o 
fer-hi	f 'e ɾ i	 f 'ɛ ɾ i 
fent-lo	f 'e n l o	 f 'ɛ n d l o 
fen	f 'e n	 f 'ɛ n 
feixos	f 'e j ʃ o s	 f 'ɛ j ʃ o s 
fatxendes	f a t ʃ 'e n d e s	 f a t ʃ 'ɛ n d e s 
extrems	e k s t ɾ 'e m s	 e k s t ɾ 'ɛ m s 
extremenya	e k s t ɾ e m 'e ɲ a	 e k s t ɾ e m 'ɛ ɲ a 
extensa	e k s t 'e n s a	 e k s t 'ɛ n s a 
extens	e k s t 'e n s	 e k s t 'ɛ n s 
expliquessin	e k s p l i k 'e s i n	 e k s p l i k 'ɛ s i n 
explicant-me	e k s p l i k 'a m m e	 e k s p l i k 'a n d m e 
explicant-los	e k s p l i k 'a n l o s	 e k s p l i k 'a n d l o s 
exemples	e g z 'e m p l e s	 e g z 'ɛ m p l e s 
etc	'e t k	 'ɛ t k 
estómac	a s t 'o m a k	 a s t o m 'a k 
estupideses	a s t u p i ð 'e z e s	 a s t u p i ð 'ɛ z e s 
estudiïn	a s t u ð 'i i n	 a s t u ð i 'i n 
estris	'ɛ s t ɾ i s	 a s t ɾ i s 
estrenyent-me	a s t ɾ e ɲ 'e m m e	 a s t ɾ e ɲ 'ɛ n d m e 
estepa	a s t 'e p a	 a s t 'ɛ p a 
esport	a s p 'ɔ ɾ t	 a s p 'o ɾ t 
espessos	a s p 'e s o s	 a s p 'ɛ s o s 
espero	a s p 'e ɾ o	 a s p 'ɛ ɾ o 
esperessis	a s p e ɾ 'e s i s	 a s p e ɾ 'ɛ s i s 
esperessin	a s p e ɾ 'e s i n	 a s p e ɾ 'ɛ s i n 
esperant-los	a s p e ɾ 'a n l o s	 a s p e ɾ 'a n d l o s 
esment	a z m 'e n t	 e z m 'e n t 
esgrogueït	a z ɣ ɾ o ɣ e 'i t	 a z ɣ ɾ o ɣ u e 'i t 
esglai	a z ɣ l 'a j	 a z ɣ l 'a i 
escrivint-te	a s k ɾ i v 'i n t e	 a s k ɾ i v 'i n t t e 
escombra	a s k 'o m b ɾ a	 a s k 'ɔ m b ɾ a 
escolto	a s k 'o l t o	 a s k 'ɔ l t o 
escoltes	a s k 'o l t e s	 a s k 'ɔ l t e s 
escoceses	a s k o s 'e z e s	 a s k o s 'ɛ z e s 
escaigui	a s k 'a j ɣ i	 a s k 'a i ɣ i 
esbufega	a z β u f 'e ɣ a	 a z β u f 'ɛ ɣ a 
entendre'n	a n t 'e n d ɾ e n	 a n t e n d ɾ 'ɛ n 
engego	a n d ʒ 'e ɣ o	 a n d ʒ 'ɛ ɣ o 
engega	a n d ʒ 'e ɣ a	 a n d ʒ 'ɛ ɣ a 
endreço	a n d ɾ 'e s o	 a n d ɾ 'ɛ s o 
encesa	a n s 'e z a	 a n s 'ɛ z a 
empesquen	a m p 'e s k e n	 a m p 'ɛ s k e n 
emborratxant-me	a m b o r a t ʃ 'a m m e	 a m b o r a t ʃ 'a n d m e 
elèctrica	e l 'ɛ k t ɾ i k a	 e l e k t ɾ 'i k a 
elàstic	e l 'a s t i k	 a l 'a s t i k 
dèficits	d 'ɛ f i s i t s	 d e f i s 'i t s 
donessin	d o n 'e s i n	 d o n 'ɛ s i n 
donant-nos	d o n 'a n n o s	 d o n 'a n d n o s 
dobla	d 'o β l a	 d 'ɔ β l a 
distribuir	d i s t ɾ i β w 'i ɾ	 d i s t ɾ i β u 'i ɾ 
distreuen	d i s t ɾ 'e w e n	 d i s t ɾ 'ɛ w e n 
disposo	d i s p 'o z o	 d i s p 'ɔ z o 
discrepo	d i s k ɾ 'e p o	 d i s k ɾ 'ɛ p o 
digueren	d i ɣ 'e ɾ e n	 d i ɣ 'ɛ ɾ e n 
dibuixant-me	d i β u j ʃ 'a m m e	 d i β u j ʃ 'a n d m e 
detesto	d e t 'e s t o	 d e t 'ɛ s t o 
destruir	d e s t ɾ w 'i ɾ	 d e s t ɾ u 'i ɾ 
destresa	d e s t ɾ 'e z a	 d e s t ɾ 'ɛ z a 
desordres	d e z 'o ɾ ð ɾ e s	 d e z 'ɔ ɾ ð ɾ e s 
desordre	d e z 'o ɾ ð ɾ e	 d e z 'ɔ ɾ ð ɾ e 
desigs	d e z 'i t ʃ s	 d e z 'i d ʒ s 
desfer-li	d e s f 'e ɾ l i	 d e s f 'ɛ ɾ l i 
descarreguen	d e s k a r 'e ɣ e n	 d e s k a r 'ɛ ɣ e n 
demanar-nos-ho	d e m a n 'a ɾ n o z o	 d e m a n a ɾ n 'ɔ z o 
deltaic	d e l t 'a j k	 d e l t 'a i k 
delinqüents	d e l i ŋ k w 'e n s	 d e l i ŋ k 'e n t s 
deixessin	d e j ʃ 'e s i n	 d e j ʃ 'ɛ s i n 
deixant-me	d e j ʃ 'a m m e	 d e j ʃ 'a n d m e 
deixa't	d 'e j ʃ a t	 d e j ʃ 'a t 
deixa'm	d 'e j ʃ a m	 d e j ʃ 'a m 
defenses	d e f 'e n s e s	 d e f 'ɛ n s e s 
decep	d e s 'e p	 d e s 'ɛ p 
danesos	d a n 'e z o s	 d a n 'ɛ z o s 
damisel·la	d a m i z 'ɛ l a	 d a m i s 'ɛ l a 
d'àrab	d 'a ɾ a p	 d 'a ɾ a β 
d'intèrpret	d i n t 'ɛ ɾ p ɾ e t	 d i n t e ɾ p ɾ 'e t 
d'exotisme	d e g z o t 'i z m e	 d e k s o t 'i z m e 
d'anècdotes	d a n 'ɛ g d o t e s	 d a n e g d 'ɔ t e s 
d'alts	d 'a l s	 d 'a l t s 
d'alcohol	d a l k o 'o l	 d a l k o 'a l 
d'afeitar	d a f e j t 'a ɾ	 d a f e i t 'a ɾ 
d'adults	d a ð 'u l s	 d a ð 'u l t s 
d'Eivissa	d e j v 'i s a	 d e i v 'i s a 
cònjuge	k 'ɔ n d ʒ u d ʒ e	 k o n d ʒ 'u d ʒ e 
còmplices	k 'ɔ m p l i s e s	 k o m p l 'i s e s 
cuida	k w 'i ð a	 k d ʒ 'i ð a 
créixens	k ɾ 'e j ʃ e n s	 k ɾ e j ʃ 'e n s 
cromos	k ɾ 'o m o s	 k ɾ 'ɔ m o s 
creïn	k ɾ 'e i n	 k ɾ e 'i n 
cremes	k ɾ 'e m e s	 k ɾ 'ɛ m e s 
cremen	k ɾ 'e m e n	 k ɾ 'ɛ m e n 
creessin	k ɾ e 'e s i n	 k ɾ e 'ɛ s i n 
credo	k ɾ 'e ð o	 k ɾ 'ɛ ð o 
covards	k o v 'a ɾ t s	 k o v 'a ɾ i s 
cosa	k 'ɔ z a	 k 'o z a 
controlo	k o n t ɾ 'o l o	 k o n t ɾ 'ɔ l o 
contribuir	k o n t ɾ i β w 'i ɾ	 k o n t ɾ i β u 'i ɾ 
continuessin	k o n t i n u 'e s i n	 k o n t i n u 'ɛ s i n 
contesto	k o n t 'e s t o	 k o n t 'ɛ s t o 
contenen	k o n t 'e n e n	 k o n t 'ɛ n e n 
construint	k o n s t ɾ w 'i n t	 k o n s t ɾ u 'i n t 
consta	k 'o n s t a	 k 'ɔ n s t a 
considero	k o n s i ð 'e ɾ o	 k o n s i ð 'ɛ ɾ o 
conseqüents	k o n s e k w 'e n s	 k o n s e k 'e n t s 
conseqüent	k o n s e k w 'e n t	 k o n s e k 'e n t 
conques	k 'o ŋ k e s	 k 'ɔ ŋ k e s 
condemna	k o n d 'e m n a	 k o n d 'ɛ m n a 
comptem	k o m t 'e m	 k o m p t 'e m 
compresa	k o m p ɾ 'e z a	 k o m p ɾ 'ɛ z a 
comprenen	k o m p ɾ 'e n e n	 k o m p ɾ 'ɛ n e n 
completa-la	k o m p l 'e t a l a	 k o m p l e t 'a l a 
comparsero	k o m p a ɾ s 'e ɾ o	 k o m p a ɾ s 'ɛ ɾ o 
cometre	k o m 'e t ɾ e	 k o m 'ɛ t ɾ e 
col·legues	k o l 'e ɣ e s	 k o l 'ɛ ɣ e s 
coloraines	k o l o ɾ 'a j n e s	 k o l o ɾ 'a i n e s 
cofoi	k o f 'ɔ j	 k o f 'o i 
coco	k 'o k o	 k 'ɔ k o 
cobren	k 'o β ɾ e n	 k 'ɔ β ɾ e n 
centígrads	s e n t 'i ɣ ɾ a t s	 s e n t i ɣ ɾ 'a ð s 
cents	s 'e n s	 s 'e n t s 
celebren	s e l 'e β ɾ e n	 s e l 'ɛ β ɾ e n 
cec	s 'e k	 s 'ɛ k 
cartaginesos	k a ɾ t a d ʒ i n 'e z o s	 k a ɾ t a d ʒ i n 'ɛ z o s 
carrego	k a r 'e ɣ o	 k a r 'ɛ ɣ o 
caribenya	k a ɾ i β 'e ɲ a	 k a ɾ i β 'ɛ ɲ a 
cards	k 'a ɾ t s	 k 'a ɾ i s 
carai	k a ɾ 'a j	 k a ɾ 'a i 
capmàs	k a b m 'a s	 k a p m 'a s 
capbussar	k a b b u s 'a ɾ	 k a p b u s 'a ɾ 
cants	k 'a n s	 k 'a n t s 
caigudes	k a j ɣ 'u ð e s	 k a i ɣ 'u ð e s 
búnquers	b 'u ŋ k e ɾ s	 b u ŋ k 'e ɾ s 
bàdminton	b 'a d m i n t o n	 b a d m i n t 'o n 
brots	b ɾ 'o t s	 b ɾ 'ɔ t s 
brollen	b ɾ 'o ʎ e n	 b ɾ 'ɔ ʎ e n 
bot	b 'o t	 b 'ɔ t 
borden	b 'o ɾ ð e n	 b 'ɔ ɾ ð e n 
bombolles	b o m b 'o ʎ e s	 b o m b 'ɔ ʎ e s 
bolquen	b 'o l k e n	 b 'ɔ l k e n 
boirina	b o j ɾ 'i n a	 b o i ɾ 'i n a 
bodegues	b o ð 'e ɣ e s	 b o ð 'ɛ ɣ e s 
beuen	b 'e w e n	 b 'ɛ w e n 
bes	b 'e s	 b 'ɛ s 
berenen	b e ɾ 'e n e n	 b e ɾ 'ɛ n e n 
atribuir-ho	a t ɾ i β w 'i ɾ o	 a t ɾ i β u i ɾ 'ɔ 
atesa	a t 'e z a	 a t 'ɛ z a 
assímptotes	a s 'i m t o t e s	 a s 'i m p t o t e s 
assaigs	a s 'a t ʃ s	 a s 'a i s 
assaborint-ne	a s a β o ɾ 'i n n e	 a s a β o ɾ 'i n d n e 
asimètrica	a s i m 'ɛ t ɾ i k a	 a z i m 'ɛ t ɾ i k a 
arribessin	a r i β 'e s i n	 a r i β 'ɛ s i n 
arregla	a r 'e ɣ l a	 a r 'ɛ ɣ l a 
aqüífer	a k w 'i f e ɾ	 a k 'i f e ɾ 
aproven	a p ɾ 'o v e n	 a p ɾ 'ɔ v e n 
apretar-me-les	a p ɾ e t 'a ɾ m e l e s	 a p ɾ e t a ɾ m 'ɛ l e s 
aportessin	a p o ɾ t 'e s i n	 a p o ɾ t 'ɛ s i n 
aparegueren	a p a ɾ e ɣ 'e ɾ e n	 a p a ɾ e ɣ 'ɛ ɾ e n 
anècdota	a n 'ɛ g d o t a	 a n e g d 'ɔ t a 
anguiles	a ŋ g 'i l e s	 a ŋ g u 'i l e s 
anessin	a n 'e s i n	 a n 'ɛ s i n 
alts	'a l s	 'a l t s 
alteren	a l t 'e ɾ e n	 a l t 'ɛ ɾ e n 
algebraic	a l d ʒ e β ɾ 'a j k	 a l d ʒ e β ɾ 'a i k 
alegre	a l 'e ɣ ɾ e	 a l 'ɛ ɣ ɾ e 
aixeco	a j ʃ 'e k o	 a j ʃ 'ɛ k o 
aixeca	a j ʃ 'e k a	 a j ʃ 'ɛ k a 
agrupa'ls	a ɣ ɾ 'u p a l s	 a ɣ ɾ u p 'a l s 
agrair-li	a ɣ ɾ a 'i ɾ l i	 a ɣ ɾ 'a i ɾ l i 
agafessin	a ɣ a f 'e s i n	 a ɣ a f 'ɛ s i n 
afecten	a f 'e k t e n	 a f 'ɛ k t e n 
adults	a ð 'u l s	 a ð 'u l t s 
adornen	a ð 'o ɾ n e n	 a ð 'ɔ ɾ n e n 
adequa	a ð 'e k w a	 a ð 'ɛ k w a 
aconsellen	a k o n s 'e ʎ e n	 a k o n s 'ɛ ʎ e n 
aconseguir-la	a k o n s e ɣ 'i ɾ l a	 a k o n s e ɣ u 'i ɾ l a 
aconseguint	a k o n s e ɣ 'i n t	 a k o n s e ɣ u 'i n t 
a	'a	 a 
Zürich	z u ɾ 'i k	 a w ɾ 'i k o 
Zagreb	z a ɣ ɾ 'e p	 z a ɣ ɾ 'ɛ p 
Xop	t ʃ 'o p	 t ʃ 'ɔ p 
Vicent	v i s 'ɛ n t	 v i s 'e n t 
Verneda	v e ɾ n 'e ð a	 v e ɾ n 'ɛ ð a 
Ve	v 'e	 v 'ɛ 
Vailets	v a j l 'e t s	 v a i l 'e t s 
Vaduz	v a ð 'u z	 v a ð 'u t 
Unesco	u n 'e s k o	 u n 'ɛ s k o 
Trodheim	t ɾ o ð 'e j m	 t ɾ o ð 'ɛ i m 
Trec	t ɾ 'e k	 t ɾ 'ɛ k 
Transport	t ɾ a n s p 'ɔ ɾ t	 t ɾ a n s p 'o ɾ t 
Tort	t 'ɔ ɾ t	 t 'o ɾ t 
Torno	t 'o ɾ n o	 t 'ɔ ɾ n o 
Thyssen	t 'i s e n	 t ɲ s 'ɛ n 
Te'n	t 'e n	 t 'ɛ n 
Te	t 'e	 t e 
Taipei	t a j p 'e j	 t a i p 'ɛ i 
T'ho	t 'o	 t 'i 
T'estimo	t a s t 'i m o	 t e s t 'i m o 
Sobre	s 'o β ɾ e	 s 'ɔ β ɾ e 
Sistemes	s i s t 'e m e s	 s i s t 'ɛ m e s 
Setze	s 'e d z e	 s 'ɛ d z e 
Serveis	s e ɾ v 'e j s	 s e ɾ v 'ɛ i s 
Selvas	s 'ɛ l v a s	 s e l v 'a s 
Se'l	s 'e l	 s 'ɛ l 
S'ho	s 'o	 s 'ɛ 
S'entén	s a n t 'e n	 s e n t 'e n 
S'embarquen	s a m b 'a ɾ k e n	 s e m b 'a ɾ k e n 
Rossellonesa	r o s e ʎ o n 'e z a	 r o s e ʎ o n 'ɛ z a 
Rodolen	r o ð 'o l e n	 r o ð 'ɔ l e n 
Remei	r e m 'e j	 r e m 'ɛ i 
Reintegrament	r e i n t e ɣ ɾ a m 'e n t	 r e 'i n t 'ɛ ɣ ɾ a m 'e n t 
Quedo	k 'e ð o	 k 'ɛ ð o 
Pladellorens	p l a ð e ʎ o ɾ 'e n s	 p l a ð e ʎ o ɾ 'ɛ n s 
Pingu	p 'i ŋ g u	 p 'i ŋ g w 
Perecamps	p e ɾ e k 'a m s	 p e ɾ e k 'a m p s 
Parpelleja	p a ɾ p e ʎ 'ɛ d ʒ a	 p a ɾ p e ʎ 'e d ʒ a 
Ordre	'o ɾ ð ɾ e	 'ɔ ɾ ð ɾ e 
Omple	'o m p l e	 'ɔ m p l e 
Nois	n 'ɔ j s	 n 'o i s 
Nogueira	n o ɣ 'e j ɾ a	 n o ɣ e 'i ɾ a 
Navega	n a v 'e ɣ a	 n a v 'ɛ ɣ a 
Nairobi	n a j ɾ 'ɔ β i	 n a i ɾ 'ɔ β i 
N'estripa	n a s t ɾ 'i p a	 n e s t ɾ 'i p a 
Munich	m u n 'i k	 m u n 'i s i 
Mossos	m 'o s o s	 m 'ɔ s o s 
Montseny	m o n s 'e ɲ	 m o n s 'ɛ ɲ 
Mesa	m 'e z a	 m 'ɛ z a 
Menja	m 'e n d ʒ a	 m 'ɛ n d ʒ a 
Marsellesa	m a ɾ s e ʎ 'e z a	 m a ɾ s e ʎ 'ɛ z a 
Légolas	l 'e ɣ o l a s	 l e ɣ o l 'a s 
Lo	l 'o	 l o 
Lluch	ʎ 'u k	 ʎ 'u k o 
Llevo	ʎ 'e v o	 ʎ 'ɛ v o 
Lisboa	l i z β 'o a	 l i z β 'ɔ a 
L'amiguisme	l a m i ɣ 'i z m e	 l a m i ɣ u 'i z m e 
L'Antoni	l a n t 'ɔ n i	 l a n t 'o n i 
Kinkel	k i ŋ k 'ɛ l	 d ʒ i n e 'ɛ l 
Killilea	k i ʎ i l 'e a	 s i ʎ i l 'e a 
Kenya	k 'e ɲ a	 k 'ɛ ɲ a 
Jofre	d ʒ 'o f ɾ e	 d ʒ 'ɔ f ɾ e 
