Aaró	a a ɾ 'o
pancreàtics	p a ŋ k ɾ e 'a t i k s
pancreàtiques	p a ŋ k ɾ e 'a t i k e s
pàncrees	p 'a ŋ k ɾ e e s
panda	p 'a n d a
pandèmic	p a n d 'ɛ m i k
pandèmica	p a n d 'ɛ m i k a
pandèmics	p a n d 'ɛ m i k s
pandèmiques	p a n d 'ɛ m i k e s
pandemoni	p a n d e m 'ɔ n i
panell	p a n 'e ʎ
paner	p a n 'e
panera	p a n 'e ɾ a
panet	p a n 'e t
pangolí	p a ŋ g o l 'i
pànic	p 'a n i k
panical	p a n i k 'a l
panícula	p a n 'i k u l a
paniculat	p a n i k u l 'a t
panís	p a n 'i s
panorama	p a n o ɾ 'a m a
panoràmic	p a n o ɾ 'a m i k
panoràmica	p a n o ɾ 'a m i k a
panoràmics	p a n o ɾ 'a m i k s
panoràmiques	p a n o ɾ 'a m i k e s
panotxo	p a n 'ɔ tʃ o
pans	p 'a n s
pansa	p 'a n s a
panses	p 'a n s e s
pansexual	p a n s e k s u 'a l
pansexualitat	p a n s e k s u a l i t 'a t
pansir	p a n s 'i
pantà	p a n t 'a
pantalla	p a n t 'a ʎ a
pantaló	p a n t a l 'o
pantanós	p a n t a n 'o s
panteixar	p a n t e j ʃ 'a
panteó	p a n t e 'o
panteons	p a n t e 'o n s
pantera	p a n t 'e ɾ a
pantògraf	p a n t 'ɔ ɣ ɾ a f
pantomima	p a n t o m 'i m a
panxa	p 'a n tʃ a
panxada	p a n tʃ 'a ð a
panxes	p 'a n tʃ e s
panxuda	p a n tʃ 'u ð a
panxudes	p a n tʃ 'u ð e s
panxut	p a n tʃ 'u t
panxuts	p a n tʃ 'u t s
pany	p 'a ɲ
paó	p a 'o
papa	p 'a p a
papada	p a p 'a ð a
papagai	p a p a ɣ 'a j
papal	p a p 'a l
papallona	p a p a ʎ 'o n a
papar	p a p 'a
paparra	p a p 'a r a
papat	p a p 'a t
paper	p a p 'e
paperassa	p a p e ɾ 'a s a
paperer	p a p e ɾ 'e
paperera	p a p e ɾ 'e ɾ a
papereria	p a p e ɾ e ɾ 'i a
papereta	p a p e ɾ 'e t a
papil·la	p a p 'i l a
papil·loma	p a p i l 'ɔ m a
papirologia	p a p i ɾ o l o ʒ 'i a
papissotejar	p a p i s o t e ʒ 'a
papu	p 'a p u
papú	p a p 'u
paquet	p a k 'e t
paquets	p a k 'e t s
paràbola	p a ɾ 'a β o l a
parabòlic	p a ɾ a β 'ɔ l i k
parabòlicament	p a ɾ a β 'ɔ l i k a m 'e n
parada	p a ɾ 'a ð a
parades	p a ɾ 'a ð e s
paradigma	p a ɾ a ð 'i g m a
paradís	p a ɾ a ð 'i s
paradisíac	p a ɾ a ð i z 'i a k
parador	p a ɾ a ð 'o
paradoxal	p a ɾ a ð o k s 'a l
parafilètic	p a ɾ a f i l 'ɛ t i k
paràgraf	p a ɾ 'a ɣ ɾ a f
paràlisi	p a ɾ 'a l i z i
paralític	p a ɾ a l 'i t i k
paralítica	p a ɾ a l 'i t i k a
paralítics	p a ɾ a l 'i t i k s
paralítiques	p a ɾ a l 'i t i k e s
paralitzada	p a ɾ a l i d z 'a ð a
paralitzades	p a ɾ a l i d z 'a ð e s
paralitzar	p a ɾ a l i d z 'a
paralitzat	p a ɾ a l i d z 'a t
paralitzats	p a ɾ a l i d z 'a t s
paral·lel	p a ɾ a l 'ɛ l
paral·lelepípede	p a ɾ a l e l e p 'i p e ð e
paral·lelogram	p a ɾ a l e l o ɣ ɾ 'a m
paràmetre	p a ɾ 'a m e t ɾ e
Paranà	p a ɾ a n 'a
parangó	p a ɾ a ŋ g 'o
paranoic	p a ɾ a n 'ɔ j k
paranoide	p a ɾ a n 'ɔ j ð e
parant	p a ɾ 'a n
parany	p a ɾ 'a ɲ
parar	p a ɾ 'a
parares	p a ɾ 'a ɾ e s
pararia	p a ɾ a ɾ 'i a
paràsit	p a ɾ 'a z i t
parasitada	p a ɾ a z i t 'a ð a
parasitades	p a ɾ a z i t 'a ð e s
parasitar	p a ɾ a z i t 'a
parasitari	p a ɾ a z i t 'a ɾ i
parasitat	p a ɾ a z i t 'a t
parasitats	p a ɾ a z i t 'a t s
parat	p a ɾ 'a t
paratge	p a ɾ 'a dʒ e
parats	p a ɾ 'a t s
parava	p a ɾ 'a β a
pare	p 'a ɾ e
pareguda	p a ɾ e ɣ 'u ð a
paregudes	p a ɾ e ɣ 'u ð e s
paregut	p a ɾ e ɣ 'u t
pareguts	p a ɾ e ɣ 'u t s
paréixer	p a ɾ 'e j ʃ e
parell	p a ɾ 'e ʎ
parella	p a ɾ 'e ʎ a
parem	p a ɾ 'e m
parenceria	p a ɾ e n s e ɾ 'i a
parènquima	p a ɾ 'ɛ ŋ k i m a
parent	p a ɾ 'e n
parentela	p a ɾ e n t 'ɛ l a
parèntesi	p a ɾ 'ɛ n t e z i
pareo	p a ɾ 'ɛ o
parer	p a ɾ 'e
pares	p 'a ɾ e s
paret	p a ɾ 'e t
parida	p a ɾ 'i ð a
parides	p a ɾ 'i ð e s
paris	p 'a ɾ i s
París	p a ɾ 'i s
parisenc	p a ɾ i z 'e ŋ
parit	p a ɾ 'i t
parits	p a ɾ 'i t s
paro	p 'a ɾ o
paròdic	p a ɾ 'ɔ ð i k
paròdica	p a ɾ 'ɔ ð i k a
paròdics	p a ɾ 'ɔ ð i k s
paròdiques	p a ɾ 'ɔ ð i k e s
parònim	p a ɾ 'ɔ n i m
parra	p 'a r a
parrac	p a r 'a k
parricidi	p a r i s 'i ð i
parrús	p a r 'u s
pas	p 'a s
pascuda	p a s k 'u ð a
pascudes	p a s k 'u ð e s
pascut	p a s k 'u t
pascuts	p a s k 'u t s
Pasqua	p 'a s k w a
pasqua	p 'a s k w a
Pasqual	p a s k w 'a l
pasqual	p a s k w 'a l
Pasqües	p 'a s k w e s
passa	p 'a s a
passacamins	p a s a k a m 'i n s
passada	p a s 'a ð a
passades	p a s 'a ð e s
passadís	p a s a ð 'i s
passador	p a s a ð 'o
passaforadí	p a s a f o ɾ a ð 'i
passamà	p a s a m 'a
passant	p a s 'a n
passar	p a s 'a
passarel·la	p a s a ɾ 'ɛ l a
passat	p a s 'a t
passatge	p a s 'a dʒ e
passatger	p a s a dʒ 'e
passats	p a s 'a t s
passeig	p a s 'e tʃ
passejada	p a s e ʒ 'a ð a
passejades	p a s e ʒ 'a ð e s
passejar	p a s e ʒ 'a
passejat	p a s e ʒ 'a t
passejats	p a s e ʒ 'a t s
pàssera	p 'a s e ɾ a
passerell	p a s e ɾ 'e ʎ
passes	p 'a s e s
passet	p a s 'e t
passi	p 'a s i
passiva	p a s 'i β a
passives	p a s 'i β e s
passo	p 'a s o
pasta	p 'a s t a
pastanaga	p a s t a n 'a ɣ a
pastar	p a s t 'a
pastenaga	p a s t e n 'a ɣ a
pastera	p a s t 'e ɾ a
pasterada	p a s t e ɾ 'a ð a
pastes	p 'a s t e s
pastilla	p a s t 'i ʎ a
pastilles	p a s t 'i ʎ e s
pastís	p a s t 'i s
pastisser	p a s t i s 'e
pastissera	p a s t i s 'e ɾ a
pastisseria	p a s t i s e ɾ 'i a
pastisseries	p a s t i s e ɾ 'i e s
pastitx	p a s t 'i tʃ
pastitxo	p a s t 'i tʃ o
pastoral	p a s t o ɾ 'a l
pastura	p a s t 'u ɾ a
pasturada	p a s t u ɾ 'a ð a
pasturades	p a s t u ɾ 'a ð e s
pasturar	p a s t u ɾ 'a
pasturat	p a s t u ɾ 'a t
pasturats	p a s t u ɾ 'a t s
patac	p a t 'a k
pataca	p a t 'a k a
patacada	p a t a k 'a ð a
patafísica	p a t a f 'i z i k a
pataplaf	p a t a p l 'a f
pataplum	p a t a p l 'u m
patata	p a t 'a t a
patates	p a t 'a t e s
patatxap	p a t a tʃ 'a p
patel·la	p a t 'ɛ l a
patena	p a t 'e n a
patent	p a t 'e n
patentada	p a t e n t 'a ð a
patentades	p a t e n t 'a ð e s
patentar	p a t e n t 'a
patentaran	p a t e n t a ɾ 'a n
patentat	p a t e n t 'a t
patentats	p a t e n t 'a t s
pati	p 'a t i
patí	p a t 'i
patilla	p a t 'i ʎ a
patim	p a t 'i m
patiment	p a t i m 'e n
pàtina	p 'a t i n a
patinada	p a t i n 'a ð a
patinar	p a t i n 'a
patinatge	p a t i n 'a dʒ e
patins	p a t 'i n s
patir	p a t 'i
patit	p a t 'i t
patogènesi	p a t o ʒ 'ɛ n e z i
patognòmic	p a t o g n 'ɔ m i k
patòleg	p a t 'ɔ l e k
patollar	p a t o ʎ 'a
patòloga	p a t 'ɔ l o ɣ a
patologia	p a t o l o ʒ 'i a
patològic	p a t o l 'ɔ ʒ i k
patològica	p a t o l 'ɔ ʒ i k a
patològicament	p a t o l 'ɔ ʒ i k a m 'e n
patològics	p a t o l 'ɔ ʒ i k s
patològiques	p a t o l 'ɔ ʒ i k e s
patologista	p a t o l o ʒ 'i s t a
patologistes	p a t o l o ʒ 'i s t e s
patòlogues	p a t 'ɔ l o ɣ e s
patota	p a t 'ɔ t a
patracol	p a t ɾ a k 'o l
patri	p 'a t ɾ i
patrici	p a t ɾ 'i s i
patricis	p a t ɾ 'i s i s
patrimoni	p a t ɾ i m 'ɔ n i
patró	p a t ɾ 'o
patrocina	p a t ɾ o s 'i n a
patrocinada	p a t ɾ o s i n 'a ð a
patrocinades	p a t ɾ o s i n 'a ð e s
patrocinar	p a t ɾ o s i n 'a
patrocinares	p a t ɾ o s i n 'a ɾ e s
patrocinaria	p a t ɾ o s i n a ɾ 'i a
patrocinat	p a t ɾ o s i n 'a t
patrocinats	p a t ɾ o s i n 'a t s
patrocinava	p a t ɾ o s i n 'a β a
patrocines	p a t ɾ o s 'i n e s
patrocini	p a t ɾ o s 'i n i
patrocino	p a t ɾ o s 'i n o
patronal	p a t ɾ o n 'a l
patronat	p a t ɾ o n 'a t
patronatge	p a t ɾ o n 'a dʒ e
patrònim	p a t ɾ 'ɔ n i m
patrulla	p a t ɾ 'u ʎ a
patrullada	p a t ɾ u ʎ 'a ð a
patrullades	p a t ɾ u ʎ 'a ð e s
patrullar	p a t ɾ u ʎ 'a
patrullat	p a t ɾ u ʎ 'a t
patrullats	p a t ɾ u ʎ 'a t s
patufet	p a t u f 'e t
Patufet	p a t u f 'e t
pava	p 'a β a
pavelló	p a β e ʎ 'o
paviment	p a β i m 'e n
peatge	p e 'a dʒ e
pebrada	p e β ɾ 'a ð a
pebràs	p e β ɾ 'a s
pebrassa	p e β ɾ 'a s a
pebre	p 'e β ɾ e
pebres	p 'ɛ β ɾ e s
pebrina	p e β ɾ 'i n a
pebrot	p e β ɾ 'ɔ t
peca	p 'e k a
pecà	p e k 'a
peça	p 'e s a
pecada	p e k 'a ð a
pecades	p e k 'a ð e s
pecador	p e k a ð 'o
pecadora	p e k a ð 'o ɾ a
pecadores	p e k a ð 'o ɾ e s
pecadors	p e k a ð 'o s
pecaminós	p e k a m i n 'o s
pecar	p e k 'a
pecarà	p e k a ɾ 'a
pecaràs	p e k a ɾ 'a s
pecàrem	p e k 'a ɾ e m
pecares	p e k 'a ɾ e s
pecaria	p e k a ɾ 'i a
pecat	p e k 'a t
pecats	p e k 'a t s
pecava	p e k 'a β a
peces	p 'e s e s
pecíol	p e s 'i o l
pecíols	p e s 'i o l s
pectoral	p e k t o ɾ 'a l
peculi	p e k 'u l i
pedagogia	p e ð a ɣ o ʒ 'i a
pedagògic	p e ð a ɣ 'ɔ ʒ i k
pedal	p e ð 'a l
pedalada	p e ð a l 'a ð a
pedalades	p e ð a l 'a ð e s
pedalar	p e ð a l 'a
pedalat	p e ð a l 'a t
pedalats	p e ð a l 'a t s
pedalejada	p e ð a l e ʒ 'a ð a
pedalejades	p e ð a l e ʒ 'a ð e s
pedalejar	p e ð a l e ʒ 'a
pedalejat	p e ð a l e ʒ 'a t
pedalejats	p e ð a l e ʒ 'a t s
pedestal	p e ð e s t 'a l
pedicur	p e ð i k 'u
pedicura	p e ð i k 'u ɾ a
pediluvi	p e ð i l 'u β i
pedològic	p e ð o l 'ɔ ʒ i k
pedològica	p e ð o l 'ɔ ʒ i k a
pedològics	p e ð o l 'ɔ ʒ i k s
pedològiques	p e ð o l 'ɔ ʒ i k e s
pedra	p 'e ð ɾ a
pedrada	p e ð ɾ 'a ð a
pedregar	p e ð ɾ e ɣ 'a
pedregós	p e ð ɾ e ɣ 'o s
pedrenyal	p e ð ɾ e ɲ 'a l
pedrera	p e ð ɾ 'e ɾ a
pedres	p 'e ð ɾ e s
pedrís	p e ð ɾ 'i s
pega	p 'e ɣ a
pegada	p e ɣ 'a ð a
pegades	p e ɣ 'a ð e s
pegar	p e ɣ 'a
pegarà	p e ɣ a ɾ 'a
pegaràs	p e ɣ a ɾ 'a s
pegàrem	p e ɣ 'a ɾ e m
pegares	p e ɣ 'a ɾ e s
pegaria	p e ɣ a ɾ 'i a
pegat	p e ɣ 'a t
pegats	p e ɣ 'a t s
pegava	p e ɣ 'a β a
pego	p 'e ɣ o
peguen	p 'e ɣ e n
pegues	p 'e ɣ e s
peitoví	p e j t o β 'i
peix	p 'e j ʃ
peixatera	p e j ʃ a t 'e ɾ a
péixer	p 'e j ʃ e
peixopalo	p e j ʃ o p 'a l o
peixos	p 'e j ʃ o s
pejorativa	p e ʒ o ɾ a t 'i β a
pejoratives	p e ʒ o ɾ a t 'i β e s
pèl	p 'ɛ l
pela	p 'ɛ l a
pelada	p e l 'a ð a
pelades	p e l 'a ð e s
pelador	p e l a ð 'o
pèlag	p 'ɛ l a k
pelàgic	p e l 'a ʒ i k
pelàgica	p e l 'a ʒ i k a
pelàgics	p e l 'a ʒ i k s
pelàgiques	p e l 'a ʒ i k e s
pelagrí	p e l a ɣ ɾ 'i
pelar	p e l 'a
pelat	p e l 'a t
pelatge	p e l 'a dʒ e
pelats	p e l 'a t s
pelegrí	p e l e ɣ ɾ 'i
pelegrina	p e l e ɣ ɾ 'i n a
pelegrinatge	p e l e ɣ ɾ i n 'a dʒ e
pelegrines	p e l e ɣ ɾ 'i n e s
pelen	p 'ɛ l e n
peles	p 'ɛ l e s
pelfa	p 'ɛ l f a
pelfes	p 'ɛ l f e s
peli	p 'ɛ l i
pelicà	p e l i k 'a
pelin	p 'ɛ l i n
pelis	p 'ɛ l i s
pell	p 'e ʎ
pelleringa	p e ʎ e ɾ 'i ŋ g a
pèl·let	p 'ɛ l e t
pel·li	p 'ɛ l i
pel·lícula	p e l 'i k u l a
pel·lis	p 'ɛ l i s
pellissa	p e ʎ 'i s a
pellucar	p e ʎ u k 'a
pelo	p 'ɛ l o
peluda	p e l 'u ð a
peludes	p e l 'u ð e s
pelut	p e l 'u t
peluts	p e l 'u t s
pelvis	p 'ɛ l β i s
pena	p 'e n a
penada	p e n 'a ð a
penades	p e n 'a ð e s
penal	p e n 'a l
penalitzada	p e n a l i d z 'a ð a
penalitzades	p e n a l i d z 'a ð e s
penalitzar	p e n a l i d z 'a
penalitzat	p e n a l i d z 'a t
penalitzats	p e n a l i d z 'a t s
penals	p e n 'a l s
penat	p e n 'a t
penats	p e n 'a t s
pencada	p e ŋ k 'a ð a
pencades	p e ŋ k 'a ð e s
pencar	p e ŋ k 'a
pencat	p e ŋ k 'a t
pencats	p e ŋ k 'a t s
pendeló	p e n d e l 'o
pendent	p e n d 'e n
penediment	p e n e ð i m 'e n
penedit	p e n e ð 'i t
penegal	p e n e ɣ 'a l
penell	p e n 'e ʎ
penelló	p e n e ʎ 'o
penes	p 'e n e s
penetra	p e n 'e t ɾ a
penetrada	p e n e t ɾ 'a ð a
penetrades	p e n e t ɾ 'a ð e s
penetrar	p e n e t ɾ 'a
penetrat	p e n e t ɾ 'a t
penetrats	p e n e t ɾ 'a t s
pengen	p 'e n dʒ e n
penges	p 'e n dʒ e s
península	p e n 'i n s u l a
penja	p 'e n dʒ a
penjada	p e n dʒ 'a ð a
penjades	p e n dʒ 'a ð e s
penjador	p e n dʒ a ð 'o
penjar	p e n dʒ 'a
penjat	p e n dʒ 'a t
penjats	p e n dʒ 'a t s
penjo	p 'e n dʒ o
penjoll	p e n dʒ 'o ʎ
penó	p e n 'o
penombra	p e n 'o m b ɾ a
penques	p 'e ŋ k e s
pensa	p 'e n s a
pensà	p e n s 'a
pensada	p e n s 'a ð a
pensades	p e n s 'a ð e s
pensament	p e n s a m 'e n
pensant	p e n s 'a n
pensar	p e n s 'a
pensat	p e n s 'a t
pensats	p e n s 'a t s
pensen	p 'e n s e n
penses	p 'e n s e s
pensí	p e n s 'i
penso	p 'e n s o
pentàgon	p e n t 'a ɣ o n
pentagonal	p e n t a ɣ o n 'a l
pentagonals	p e n t a ɣ o n 'a l s
pentagrama	p e n t a ɣ ɾ 'a m a
Pentecosta	p e n t e k 'ɔ s t a
pentenill	p e n t e n 'i ʎ
pentinada	p e n t i n 'a ð a
pentinades	p e n t i n 'a ð e s
pentinar	p e n t i n 'a
pentinaria	p e n t i n a ɾ 'i a
pentinat	p e n t i n 'a t
pentinats	p e n t i n 'a t s
pentinella	p e n t i n 'e ʎ a
penúltim	p e n 'u l t i m
penúltima	p e n 'u l t i m a
penúltimes	p e n 'u l t i m e s
penúltims	p e n 'u l t i m s
penya	p 'e ɲ a
penyal	p e ɲ 'a l
penyes	p 'e ɲ e s
penyista	p e ɲ 'i s t a
penyora	p e ɲ 'o ɾ a
penyorar	p e ɲ o ɾ 'a
peó	p e 'o
peptídic	p e p t 'i ð i k
pequen	p 'e k e n
pequí	p e k 'i
Pequín	p e k 'i n
pequinés	p e k i n 'e s
pequinesos	p e k i n 'e z o s
pèr	p 'ɛ
pera	p 'e ɾ a
Pere	p 'e ɾ e
peregrinada	p e ɾ e ɣ ɾ i n 'a ð a
peregrinades	p e ɾ e ɣ ɾ i n 'a ð e s
peregrinar	p e ɾ e ɣ ɾ i n 'a
peregrinat	p e ɾ e ɣ ɾ i n 'a t
peregrinats	p e ɾ e ɣ ɾ i n 'a t s
perelló	p e ɾ e ʎ 'o
perenne	p e ɾ 'e n n e
peres	p 'e ɾ e s
peresa	p e ɾ 'e z a
peresós	p e ɾ e z 'o s
perible	p e ɾ 'i β l e
pericó	p e ɾ i k 'o
perida	p e ɾ 'i ð a
perides	p e ɾ 'i ð e s
perifèric	p e ɾ i f 'ɛ ɾ i k
perifràstic	p e ɾ i f ɾ 'a s t i k
Perigús	p e ɾ i ɣ 'u s
perill	p e ɾ 'i ʎ
perilla	p e ɾ 'i ʎ a
perillada	p e ɾ i ʎ 'a ð a
perillades	p e ɾ i ʎ 'a ð e s
perillar	p e ɾ i ʎ 'a
perillat	p e ɾ i ʎ 'a t
perillats	p e ɾ i ʎ 'a t s
perillo	p e ɾ 'i ʎ o
perillós	p e ɾ i ʎ 'o s
perillosa	p e ɾ i ʎ 'o z a
perilloses	p e ɾ i ʎ 'o z e s
perillosos	p e ɾ i ʎ 'o z o s
període	p e ɾ 'i o ð e
periquito	p e ɾ i k 'i t o
periquitos	p e ɾ i k 'i t o s
perir	p e ɾ 'i
periscòpic	p e ɾ i s k 'ɔ p i k
periscòpica	p e ɾ i s k 'ɔ p i k a
periscòpics	p e ɾ i s k 'ɔ p i k s
periscòpiques	p e ɾ i s k 'ɔ p i k e s
perit	p e ɾ 'i t
pèrit	p 'ɛ ɾ i t
perita	p e ɾ 'i t a
pèrita	p 'ɛ ɾ i t a
peritatge	p e ɾ i t 'a dʒ e
peritatges	p e ɾ i t 'a dʒ e s
perites	p e ɾ 'i t e s
pèrites	p 'ɛ ɾ i t e s
peritoneal	p e ɾ i t o n e 'a l
peritoneals	p e ɾ i t o n e 'a l s
peritonitis	p e ɾ i t o n 'i t i s
perits	p e ɾ 'i t s
peroné	p e ɾ o n 'e
perorada	p e ɾ o ɾ 'a ð a
perorar	p e ɾ o ɾ 'a
peròxid	p e ɾ 'ɔ k s i t
perruquer	p e r u k 'e
perruqueria	p e r u k e ɾ 'i a
Perú	p e ɾ 'u
peruà	p e ɾ u 'a
peruana	p e ɾ u 'a n a
peruanes	p e ɾ u 'a n e s
pes	p 'e s
pesa	p 'e z a
pesada	p e z 'a ð a
pesant	p e z 'a n
pesar	p e z 'a
pesat	p e z 'a t
pesca	p 'e s k a
pescaclics	p e s k a k l 'i k s
pescada	p e s k 'a ð a
pescades	p e s k 'a ð e s
pescadora	p e s k a ð 'o ɾ a
pescaire	p e s k 'a j ɾ e
pescar	p e s k 'a
pescat	p e s k 'a t
pescats	p e s k 'a t s
pesco	p 'e s k o
pesen	p 'e z e n
peses	p 'e z e s
peso	p 'e z o
pèsol	p 'ɛ z o l
pesos	p 'e z o s
pesquen	p 'e s k e n
pesquer	p e s k 'e
pesquera	p e s k 'e ɾ a
pesqueres	p e s k 'e ɾ e s
pesquers	p e s k 'e s
pessebre	p e s 'e β ɾ e
pessigada	p e s i ɣ 'a ð a
pessigades	p e s i ɣ 'a ð e s
pessigar	p e s i ɣ 'a
pessigat	p e s i ɣ 'a t
pessigats	p e s i ɣ 'a t s
pessigolles	p e s i ɣ 'o ʎ e s
pèssim	p 'ɛ s i m
pesta	p 'e s t a
pestanya	p e s t 'a ɲ a
pesuc	p e z 'u k
pet	p 'e t
peta	p 'e t a
petaca	p e t 'a k a
petada	p e t 'a ð a
petades	p e t 'a ð e s
petanca	p e t 'a ŋ k a
petar	p e t 'a
petat	p e t 'a t
petats	p e t 'a t s
petges	p 'e dʒ e s
petit	p e t 'i t
petita	p e t 'i t a
petitesa	p e t i t 'e z a
petitó	p e t i t 'o
petits	p e t 'i t s
petja	p 'e dʒ a
petjada	p e dʒ 'a ð a
petjar	p e dʒ 'a
peto	p 'e t o
petó	p e t 'o
petonejada	p e t o n e ʒ 'a ð a
petonejades	p e t o n e ʒ 'a ð e s
petonejar	p e t o n e ʒ 'a
petonejat	p e t o n e ʒ 'a t
petonejats	p e t o n e ʒ 'a t s
petrí	p e t ɾ 'i
petricó	p e t ɾ i k 'o
petrologia	p e t ɾ o l o ʒ 'i a
petxina	p e tʃ 'i n a
peuada	p e w 'a ð a
peüc	p e 'u k
peülla	p e 'u ʎ a
peülles	p e 'u ʎ e s
peveter	p e β e t 'e
pi	p 'i
pic	p 'i k
pica	p 'i k a
picada	p i k 'a ð a
picades	p i k 'a ð e s
picant	p i k 'a n
picantor	p i k a n t 'o
picar	p i k 'a
picares	p i k 'a ɾ e s
picaria	p i k a ɾ 'i a
picarol	p i k a ɾ 'o l
picassa	p i k 'a s a
picat	p i k 'a t
picats	p i k 'a t s
picava	p i k 'a β a
pícnic	p 'i g n i k
pico	p 'i k o
piconadora	p i k o n a ð 'o ɾ a
piconar	p i k o n 'a
picor	p i k 'o
picossada	p i k o s 'a ð a
picossejar	p i k o s e ʒ 'a
pics	p 'i k s
pictòric	p i k t 'ɔ ɾ i k
pictòrica	p i k t 'ɔ ɾ i k a
pictòrics	p i k t 'ɔ ɾ i k s
pictòriques	p i k t 'ɔ ɾ i k e s
pidolar	p i ð o l 'a
pifia	p i f 'i a
piga	p 'i ɣ a
pigallat	p i ɣ a ʎ 'a t
pigment	p i g m 'e n
pigmentada	p i g m e n t 'a ð a
pigmentades	p i g m e n t 'a ð e s
pigmentar	p i g m e n t 'a
pigmentat	p i g m e n t 'a t
pigmentats	p i g m e n t 'a t s
pignorar	p i g n o ɾ 'a
pigota	p i ɣ 'ɔ t a
pijama	p i ʒ 'a m a
pijames	p i ʒ 'a m e s
pila	p 'i l a
pilar	p i l 'a
Piles	p 'i l e s
pillada	p i ʎ 'a ð a
pillar	p i ʎ 'a
pilot	p i l 'ɔ t
pilota	p i l 'ɔ t a
pilotar	p i l o t 'a
pilotejar	p i l o t e ʒ 'a
pin	p 'i n
pinacle	p i n 'a k l e
pinacles	p i n 'a k l e s
pinar	p i n 'a
pinassa	p i n 'a s a
pinastre	p i n 'a s t ɾ e
pinça	p 'i n s a
pinçanàs	p i n s a n 'a s
píndola	p 'i n d o l a
pineda	p i n 'e ð a
pingüí	p i ŋ g w 'i
pinsà	p i n s 'a
pinsap	p i n s 'a p
pinso	p 'i n s o
pinta	p 'i n t a
pintacoques	p i n t a k 'ɔ k e s
pintada	p i n t 'a ð a
pintades	p i n t 'a ð e s
pintallavis	p i n t a ʎ 'a β i s
pintar	p i n t 'a
pintares	p i n t 'a ɾ e s
pintaria	p i n t a ɾ 'i a
pintat	p i n t 'a t
pintats	p i n t 'a t s
pintava	p i n t 'a β a
pinte	p 'i n t e
pintes	p 'i n t e s
pintis	p 'i n t i s
pintor	p i n t 'o
pintura	p i n t 'u ɾ a
pinxar	p i n tʃ 'a
pinxo	p 'i n tʃ o
pinya	p 'i ɲ a
pinyata	p i ɲ 'a t a
pinyó	p i ɲ 'o
pinyoca	p i ɲ 'ɔ k a
pinyonat	p i ɲ o n 'a t
pinzell	p i n z 'e ʎ
pinzellada	p i n z e ʎ 'a ð a
pinzellades	p i n z e ʎ 'a ð e s
pipa	p 'i p a
pipada	p i p 'a ð a
pipades	p i p 'a ð e s
pipar	p i p 'a
pipistrel·la	p i p i s t ɾ 'ɛ l a
piques	p 'i k e s
piramidal	p i ɾ a m i ð 'a l
piràmide	p i ɾ 'a m i ð e
pirata	p i ɾ 'a t a
pirateig	p i ɾ a t 'e tʃ
pirateria	p i ɾ a t e ɾ 'i a
pirates	p i ɾ 'a t e s
pirinenc	p i ɾ i n 'e ŋ
pirita	p i ɾ 'i t a
piròman	p i ɾ 'ɔ m a n
piròmetre	p i ɾ 'ɔ m e t ɾ e
pirosi	p i ɾ 'ɔ z i
pirotècnic	p i ɾ o t 'ɛ g n i k
pirotècnica	p i ɾ o t 'ɛ g n i k a
pirotècnics	p i ɾ o t 'ɛ g n i k s
pirotècniques	p i ɾ o t 'ɛ g n i k e s
piroxé	p i ɾ o k s 'e
pirueta	p i ɾ u 'e t a
pis	p 'i s
pisa	p 'i z a
Pisa	p 'i z a
pisà	p i z 'a
pisana	p i z 'a n a
pisar	p i z 'a
piscar	p i s k 'a
piscina	p i s 'i n a
piscolabis	p i s k o l 'a β i s
pispa	p 'i s p a
pispar	p i s p 'a
pissarra	p i s 'a r a
pista	p 'i s t a
pistatxo	p i s t 'a tʃ o
pit	p 'i t
pita	p 'i t a
pites	p 'i t e s
pitjar	p i dʒ 'a
pitjor	p i dʒ 'o
pitó	p i t 'o
pitral	p i t ɾ 'a l
pitram	p i t ɾ 'a m
pituïtari	p i t u i t 'a ɾ i
pitxi	p 'i tʃ i
pitxolí	p i tʃ o l 'i
pixa	p 'i ʃ a
pixacà	p i ʃ a k 'a
pixaconill	p i ʃ a k o n 'i ʎ
pixada	p i ʃ 'a ð a
pixades	p i ʃ 'a ð e s
pixallits	p i ʃ a ʎ 'i t s
pixapí	p i ʃ a p 'i
pixapins	p i ʃ a p 'i n s
pixar	p i ʃ 'a
pixat	p i ʃ 'a t
pixats	p i ʃ 'a t s
pixaví	p i ʃ a β 'i
pixota	p i ʃ 'ɔ t a
pizzeria	p i z z e ɾ 'i a
pla	p l 'a
placa	p l 'a k a
plaça	p l 'a s a
plaçar	p l a s 'a
placenta	p l a s 'e n t a
plàcid	p l 'a s i t
plaga	p l 'a ɣ a
plagi	p l 'a ʒ i
plagis	p l 'a ʒ i s
plaguda	p l a ɣ 'u ð a
plagudes	p l a ɣ 'u ð e s
plagues	p l 'a ɣ e s
plagut	p l a ɣ 'u t
plaguts	p l a ɣ 'u t s
plana	p l 'a n a
planar	p l a n 'a
plançó	p l a n s 'o
plàncton	p l 'a ŋ k t o n
planejada	p l a n e ʒ 'a ð a
planejades	p l a n e ʒ 'a ð e s
planejar	p l a n e ʒ 'a
planejat	p l a n e ʒ 'a t
planejats	p l a n e ʒ 'a t s
planer	p l a n 'e
planetari	p l a n e t 'a ɾ i
planetaris	p l a n e t 'a ɾ i s
planificada	p l a n i f i k 'a ð a
