A	'a	 a 
tremolosa	t ɾ e m o l 'o z a	 t ɾ e m o l 'ɔ z a 
trempera	t ɾ e m p 'e ɾ a	 t ɾ e m p 'ɛ ɾ a 
tren	t ɾ 'e n	 t ɾ 'ɛ n 
trena	t ɾ 'e n a	 t ɾ 'ɛ n a 
trenc	t ɾ 'e ŋ k	 t ɾ 'ɛ ŋ k 
trenca	t ɾ 'e ŋ k a	 t ɾ 'ɛ ŋ k a 
trencament	t ɾ e ŋ k a m 'e n t	 t ɾ 'ɛ ŋ k a m 'ɛ n t 
trenes	t ɾ 'e n e s	 t ɾ 'ɛ n e s 
trenquen	t ɾ 'e ŋ k e n	 t ɾ 'ɛ ŋ k e n 
trenqués	t ɾ e ŋ k 'e s	 t ɾ 'e ŋ k 'e s 
trens	t ɾ 'e n s	 t ɾ 'ɛ n s 
trenta	t ɾ 'e n t a	 t ɾ 'ɛ n t a 
trepa	t ɾ 'e p a	 t ɾ 'ɛ p a 
trepes	t ɾ 'e p e s	 t ɾ 'ɛ p e s 
trepig	t ɾ e p 'i t ʃ	 t ɾ e p 'i ɣ 
tres	t ɾ 'e s	 t ɾ 'ɛ s 
tresorer	t ɾ e z o ɾ 'e ɾ	 t ɾ e z o ɾ 'ɛ ɾ 
tret	t ɾ 'e t	 t ɾ 'ɛ t 
treta	t ɾ 'e t a	 t ɾ 'ɛ t a 
tretes	t ɾ 'e t e s	 t ɾ 'ɛ t e s 
trets	t ɾ 'e t s	 t ɾ 'ɛ t s 
tretze	t ɾ 'e d z e	 t ɾ 'ɛ d z e 
treu	t ɾ 'e w	 t ɾ 'ɛ w 
treure	t ɾ 'e w ɾ e	 t ɾ 'ɛ w ɾ e 
treus	t ɾ 'e w s	 t ɾ 'ɛ w s 
treva	t ɾ 'e v a	 t ɾ 'ɛ v a 
triangular	t ɾ i a ŋ g u l 'a ɾ	 t ɾ i 'a ŋ g u l 'a ɾ 
triangulars	t ɾ i a ŋ g u l 'a ɾ s	 t ɾ i 'a ŋ g u l 'a ɾ s 
tribú	t ɾ i β 'u	 t ɾ 'i β 'u 
trident	t ɾ i ð 'e n t	 t ɾ i ð 'ɛ n t 
trilingüe	t ɾ i l 'i ŋ g w e	 t ɾ i l 'i ŋ g e 
trimestre	t ɾ i m 'e s t ɾ e	 t ɾ i m 'ɛ s t ɾ e 
trineu	t ɾ i n 'e w	 t ɾ i n 'ɛ w 
trinquet	t ɾ i ŋ k 'e t	 t ɾ i ŋ k 'ɛ t 
trinxera	t ɾ i n t ʃ 'e ɾ a	 t ɾ i n t ʃ 'ɛ ɾ a 
trinxeraire	t ɾ i n t ʃ e ɾ 'a j ɾ e	 t ɾ i n t ʃ e ɾ 'a 'i ɾ e 
tristesa	t ɾ i s t 'e z a	 t ɾ i s t 'ɛ z a 
trituradora	t ɾ i t u ɾ a ð 'o ɾ a	 t ɾ i t u ɾ a ð 'ɔ ɾ a 
trofeu	t ɾ o f 'e w	 t ɾ o f 'ɛ w 
Troia	t ɾ 'ɔ j a	 t ɾ 'ɔ 'i a 
troica	t ɾ 'ɔ j k a	 t ɾ 'ɔ 'i k a 
tromba	t ɾ 'o m b a	 t ɾ 'ɔ m b a 
trompa	t ɾ 'o m p a	 t ɾ 'ɔ m p a 
trompes	t ɾ 'o m p e s	 t ɾ 'ɔ m p e s 
trompeta	t ɾ o m p 'e t a	 t ɾ 'o m p 'ɛ t a 
tronera	t ɾ o n 'e ɾ a	 t ɾ o n 'ɛ ɾ a 
tropa	t ɾ 'o p a	 t ɾ 'ɔ p a 
tropes	t ɾ 'o p e s	 t ɾ 'ɔ p e s 
truita	t ɾ w 'i t a	 t ɾ d ʒ 'i t a 
truncada	t ɾ u ŋ k 'a ð a	 t ɾ 'u ŋ k 'a ð a 
truncades	t ɾ u ŋ k 'a ð e s	 t ɾ 'u ŋ k 'a ð e s 
truncar	t ɾ u ŋ k 'a ɾ	 t ɾ 'u ŋ k 'a ɾ 
truncat	t ɾ u ŋ k 'a t	 t ɾ 'u ŋ k 'a t 
truncats	t ɾ u ŋ k 'a t s	 t ɾ 'u ŋ k 'a t s 
tsar	t s 'a ɾ	 a z 'a ɾ 
tsarévitx	t s a ɾ 'e v i t ʃ	 t s a ɾ 'e v 'i t ʃ 
Turgòvia	t u ɾ ɣ 'ɔ v i a	 t 'u ɾ ɣ 'ɔ v i a 
turment	t u ɾ m 'e n t	 t 'u ɾ m 'ɛ n t 
tutú	t u t 'u	 t 'u t 'u 
txagatai	t ʃ a ɣ a t 'a j	 t ʃ a ɣ a t 'a i 
txec	t ʃ 'e k	 t ʃ 'ɛ k 
txeca	t ʃ 'e k a	 t ʃ 'ɛ k a 
txecs	t ʃ 'e k s	 t ʃ 'ɛ k s 
txeques	t ʃ 'e k e s	 t ʃ 'ɛ k e s 
ubiqüitat	u β i k w i t 'a t	 u β i k i t 'a t 
ucraïnesos	u k ɾ a i n 'e z o s	 u k ɾ a i n 'ɛ z o s 
ufanosos	u f a n 'o z o s	 u f a n 'ɔ z o s 
ulleres	u ʎ 'e ɾ e s	 'u ʎ 'ɛ ɾ e s 
Úmbria	'u m b ɾ i a	 'u m b ɾ 'i a 
un	'u n	 u n 
únic	'u n i k	 ' u n i k 
uniforme	u n i f 'o ɾ m e	 u n i f 'ɔ ɾ m e 
uniformes	u n i f 'o ɾ m e s	 u n i f 'ɔ ɾ m e s 
untura	u n t 'u ɾ a	 'u n t 'u ɾ a 
ununsepti	u n u n s 'ɛ p t i	 u n 'u n s 'ɛ p t i 
urgellenc	u ɾ d ʒ e ʎ 'e ŋ k	 u ɾ d ʒ e ʎ 'ɛ ŋ k 
urgent	u ɾ d ʒ 'e n t	 'u ɾ d ʒ 'ɛ n t 
urubú	u ɾ u β 'u	 u ɾ 'u β 'u 
us	'u s	 u s 
usdefruit	u z ð e f ɾ w 'i t	 u z ð e f ɾ 'u 'i t 
usem	u z 'e m	 u z 'ɛ m 
usurpar	u z u ɾ p 'a ɾ	 u z 'u ɾ p 'a ɾ 
Uzbekistan	u z β e k i s t 'a n	 u z β e g z i s t 'a n 
vaguista	v a ɣ 'i s t a	 v a ɣ u 'i s t a 
vailet	v a j l 'e t	 v 'a j l 'ɛ t 
vainilla	v a j n 'i ʎ a	 v a i n 'i ʎ a 
vainilles	v a j n 'i ʎ e s	 v a i n 'i ʎ e s 
vairescut	v a j ɾ e s k 'u t	 v 'a j ɾ e s k 'u t 
vaiverejar	v a j v e ɾ e d ʒ 'a ɾ	 v 'a j v e ɾ e d ʒ 'a ɾ 
vaixell	v a j ʃ 'e ʎ	 v 'a j ʃ 'ɛ ʎ 
vaixella	v a j ʃ 'e ʎ a	 v 'a j ʃ 'ɛ ʎ a 
valent	v a l 'e n t	 v a l 'ɛ n t 
valer	v a l 'e ɾ	 v a l 'ɛ ɾ 
vallenc	v a ʎ 'e ŋ k	 v a ʎ 'ɛ ŋ k 
valona	v a l 'o n a	 v a l 'ɔ n a 
valora	v a l 'o ɾ a	 v a l 'ɔ ɾ a 
vaquer	v a k 'e ɾ	 v a k 'ɛ ɾ 
vaqueta	v a k 'e t a	 v a k 'ɛ t a 
vareta	v a ɾ 'e t a	 v a ɾ 'ɛ t a 
ve	v 'e	 v 'ɛ 
veda	v 'e ð a	 v 'ɛ ð a 
vedell	v e ð 'e ʎ	 v e ð 'ɛ ʎ 
vedella	v e ð 'e ʎ a	 v e ð 'ɛ ʎ a 
vegem	v e d ʒ 'e m	 v e d ʒ 'ɛ m 
vehement	v e e m 'e n t	 v 'ɛ e m 'ɛ n t 
veler	v e l 'e ɾ	 v e l 'ɛ ɾ 
vell	v 'e ʎ	 v 'ɛ l i 
vella	v 'e ʎ a	 v 'ɛ ʎ a 
vellesa	v e ʎ 'e z a	 v e ʎ 'ɛ z a 
vellut	v e ʎ 'u t	 v 'e ʎ 'u t 
veloç	v e l 'ɔ s	 v e l 'o s 
ven	v 'e n	 v 'ɛ n 
vena	v 'e n a	 v 'ɛ n a 
vencedora	v e n s e ð 'o ɾ a	 v e n s e ð 'ɔ ɾ a 
vencem	v e n s 'e m	 v e n s 'ɛ m 
venciment	v e n s i m 'e n t	 v 'ɛ n s i m 'ɛ n t 
vençuda	v e n s 'u ð a	 v 'e n s 'u ð a 
vençudes	v e n s 'u ð e s	 v 'e n s 'u ð e s 
vençut	v e n s 'u t	 v 'e n s 'u t 
vençuts	v e n s 'u t s	 v 'e n s 'u t s 
venda	v 'e n d a	 v 'ɛ n d a 
vendre	v 'e n d ɾ e	 v 'ɛ n d ɾ e 
venera	v e n 'e ɾ a	 v e n 'ɛ ɾ a 
vens	v 'e n s	 v 'ɛ n s 
vent	v 'e n t	 v 'ɛ n t 
ventre	v 'e n t ɾ e	 v 'ɛ n t ɾ e 
ver	v 'e ɾ	 v 'ɛ ɾ 
verdader	v e ɾ ð a ð 'e ɾ	 v e ɾ ð a ð 'ɛ ɾ 
verderol	v e ɾ ð e ɾ 'o l	 v 'ɛ ɾ ð e ɾ 'o l 
verderola	v e ɾ ð e ɾ 'ɔ l a	 v 'ɛ ɾ ð e ɾ 'ɔ l a 
verdosos	v e ɾ ð 'o z o s	 v e ɾ ð 'ɔ z o s 
verds	v 'ɛ ɾ t s	 v 'ɛ ɾ i s 
verdura	v e ɾ ð 'u ɾ a	 v 'ɛ ɾ ð 'u ɾ a 
verdures	v e ɾ ð 'u ɾ e s	 v 'ɛ ɾ ð 'u ɾ e s 
verema	v e ɾ 'e m a	 v e ɾ 'ɛ m a 
verger	v e ɾ d ʒ 'e ɾ	 v e ɾ d ʒ 'ɛ ɾ 
vergonya	v e ɾ ɣ 'o ɲ a	 v e ɾ ɣ 'ɔ ɲ a 
vermell	v e ɾ m 'e ʎ	 v e ɾ m 'ɛ ʎ 
vermella	v e ɾ m 'e ʎ a	 v e ɾ m 'ɛ ʎ a 
vermelles	v e ɾ m 'e ʎ e s	 v e ɾ m 'ɛ ʎ e s 
vermells	v e ɾ m 'e ʎ s	 v e ɾ m 'ɛ l s 
versemblança	v e ɾ s e m b l 'a n s a	 v 'e ɾ s e m b l 'a n s a 
vertader	v e ɾ t a ð 'e ɾ	 v e ɾ t a ð 'ɛ ɾ 
ves	v 'e s	 v 'ɛ s 
vespa	v 'e s p a	 v 'ɛ s p a 
vesper	v e s p 'e ɾ	 v e s p 'ɛ ɾ 
vespre	v 'e s p ɾ e	 v 'ɛ s p ɾ e 
vessament	v e s a m 'e n t	 v 'ɛ s a m 'ɛ n t 
vestimenta	v e s t i m 'e n t a	 v e s t i m 'ɛ n t a 
veta	v 'e t a	 v 'ɛ t a 
vetlla	v 'e l l a	 v 'ɛ l ʎ a 
vetllada	v e l l 'a ð a	 v e ʎ l 'a ð a 
vetllades	v e l l 'a ð e s	 v e ʎ l 'a ð e s 
vetllar	v e l l 'a ɾ	 v e ʎ l 'a ɾ 
vetllat	v e l l 'a t	 v e ʎ l 'a t 
vetllats	v e l l 'a t s	 v e ʎ l 'a t s 
veu	v 'e w	 v 'ɛ w 
veure	v 'e w ɾ e	 v 'ɛ w ɾ e 
veure's	v 'e w ɾ e s	 v e w ɾ 'ɛ s 
veus	v 'e w s	 v 'ɛ w s 
vicesecretari	v i s e s e k ɾ e t 'a ɾ i	 v 'i s e z e k ɾ e t 'a ɾ i 
vident	v i ð 'e n t	 v i ð 'ɛ n t 
Viena	v i 'e n a	 v i 'ɛ n a 
vienesa	v i e n 'e z a	 v i e n 'ɛ z a 
Vietnam	v i e d n 'a m	 v i e t n 'a m 
vietnamita	v i e d n a m 'i t a	 v i e t n a m 'i t a 
vigent	v i d ʒ 'e n t	 v i d ʒ 'ɛ n t 
vigorosa	v i ɣ o ɾ 'o z a	 v i ɣ o ɾ 'ɔ z a 
vigoroses	v i ɣ o ɾ 'o z e s	 v i ɣ o ɾ 'ɔ z e s 
vigorosos	v i ɣ o ɾ 'o z o s	 v i ɣ o ɾ 'ɔ z o s 
vinent	v i n 'e n t	 v i n 'ɛ n t 
vinguda	v i ŋ g 'u ð a	 v 'i ŋ g 'u ð a 
vingudes	v i ŋ g 'u ð e s	 v 'i ŋ g 'u ð e s 
vingut	v i ŋ g 'u t	 v 'i ŋ g 'u t 
vinguts	v i ŋ g 'u t s	 v 'i ŋ g 'u t s 
vinyeta	v i ɲ 'e t a	 v i ɲ 'ɛ t a 
violent	v i o l 'e n t	 v i o l 'ɛ n t 
violeta	v i o l 'e t a	 v i o l 'ɛ t a 
virrei	v i r 'e j	 v i r 'ɛ i 
virtut	v i ɾ t 'u t	 v 'i ɾ t 'u t 
virulent	v i ɾ u l 'e n t	 v i ɾ u l 'ɛ n t 
viticultura	v i t i k u l t 'u ɾ a	 v i t i k 'u l t 'u ɾ a 
viuda	v 'i w ð a	 v 'i 'u ð a 
vivent	v i v 'e n t	 v i v 'ɛ n t 
viver	v i v 'e ɾ	 v i v 'ɛ ɾ 
vol	v 'ɔ l	 v 'o l 
volea	v o l 'e a	 v o l 'ɛ a 
voler	v o l 'e ɾ	 v o l 'ɛ ɾ 
volguda	v o l ɣ 'u ð a	 v 'ɔ l ɣ 'u ð a 
volgudes	v o l ɣ 'u ð e s	 v 'ɔ l ɣ 'u ð e s 
volgut	v o l ɣ 'u t	 v 'ɔ l ɣ 'u t 
volguts	v o l ɣ 'u t s	 v 'ɔ l ɣ 'u t s 
vols	v 'ɔ l s	 v 'o l s 
volt	v 'ɔ l t	 v 'o l t 
vorera	v o ɾ 'e ɾ a	 v o ɾ 'ɛ ɾ a 
votarem	v o t a ɾ 'e m	 v o t a ɾ 'ɛ m 
votem	v o t 'e m	 v o t 'ɛ m 
voto	v 'o t o	 v 'ɔ t o 
vuit	v w 'i t	 v 'i 'i t 
vulgueu	v u l ɣ 'e w	 v u l ɣ 'ɛ w 
whisky	w 'i s k i	 a 'i s ɲ 
xafardejada	t ʃ a f a ɾ ð e d ʒ 'a ð a	 t ʃ a f 'a ɾ ð e d ʒ 'a ð a 
xafardejades	t ʃ a f a ɾ ð e d ʒ 'a ð e s	 t ʃ a f 'a ɾ ð e d ʒ 'a ð e s 
xafardejar	t ʃ a f a ɾ ð e d ʒ 'a ɾ	 t ʃ a f 'a ɾ ð e d ʒ 'a ɾ 
xafardejat	t ʃ a f a ɾ ð e d ʒ 'a t	 t ʃ a f 'a ɾ ð e d ʒ 'a t 
xafardejats	t ʃ a f a ɾ ð e d ʒ 'a t s	 t ʃ a f 'a ɾ ð e d ʒ 'a t s 
xafarderia	t ʃ a f a ɾ ð e ɾ 'i a	 t ʃ a f 'a ɾ ð e ɾ 'i a 
xai	t ʃ 'a j	 t ʃ 'a i 
xaloc	t ʃ a l 'ɔ k	 t ʃ a l 'o k 
Xangai	t ʃ a ŋ g 'a j	 t ʃ a ŋ g 'a i 
xarlatà	t ʃ a ɾ l a t 'a	 t ʃ 'a ɾ l a t 'a 
xarnega	t ʃ a ɾ n 'e ɣ a	 t ʃ 'a ɾ n 'ɛ ɣ a 
xe	t ʃ 'e	 t ʃ 'ɛ 
xec	t ʃ 'e k	 t ʃ 'ɛ k 
xecs	t ʃ 'e k s	 t ʃ 'ɛ k s 
xef	t ʃ 'e f	 t ʃ 'ɛ f 
xeic	t ʃ 'e j k	 t ʃ 'ɛ i k 
xemeneia	t ʃ e m e n 'e j a	 t ʃ e m e n 'ɛ 'i a 
xerrameca	t ʃ e r a m 'e k a	 t ʃ e r a m 'ɛ k a 
xiclet	t ʃ i k l 'e t	 t ʃ i k l 'ɛ t 
xicoira	t ʃ i k 'ɔ j ɾ a	 t ʃ i k 'ɔ 'i ɾ a 
xicot	t ʃ i k 'ɔ t	 t ʃ i k 'o t 
xicotet	t ʃ i k o t 'e t	 t ʃ i k o t 'ɛ t 
xilena	t ʃ i l 'e n a	 t ʃ i l 'ɛ n a 
xinesa	t ʃ i n 'e z a	 t ʃ i n 'ɛ z a 
xinesos	t ʃ i n 'e z o s	 t ʃ i n 'ɛ z o s 
xiprer	t ʃ i p ɾ 'e ɾ	 t ʃ i p ɾ 'ɛ ɾ 
xiquet	t ʃ i k 'e t	 t ʃ i k 'ɛ t 
xiqueta	t ʃ i k 'e t a	 t ʃ i k 'ɛ t a 
xiulador	t ʃ i w l a ð 'o ɾ	 t ʃ 'i w l a ð 'o ɾ 
xiular	t ʃ i w l 'a ɾ	 t ʃ i u l 'a ɾ 
xiulet	t ʃ i w l 'e t	 t ʃ 'i w l 'ɛ t 
xoc	t ʃ 'ɔ k	 t ʃ 'o k 
xocs	t ʃ 'ɔ k s	 t ʃ 'o k s 
xofer	t ʃ o f 'e ɾ	 t ʃ o f 'ɛ ɾ 
xoriguer	t ʃ o ɾ i ɣ 'e ɾ	 t ʃ o ɾ i ɣ 'ɛ ɾ 
xou	t ʃ 'ɔ w	 t ʃ 'o w 
xous	t ʃ 'ɔ w s	 t ʃ 'o 'u s 
xucrut	t ʃ u k ɾ 'u t	 t ʃ 'u k ɾ 'u t 
xumet	t ʃ u m 'e t	 t ʃ u m 'ɛ t 
yazidisme	j a z i ð 'i z m e	 k a z i ð 'i z m e 
Yukon	j u k 'o n	 u k 'o n 
Zamora	z a m 'o ɾ a	 z a m 'ɔ ɾ a 
zebra	z 'e β ɾ a	 z 'ɛ β ɾ a 
zero	z 'e ɾ o	 z 'ɛ ɾ o 
zona	z 'o n a	 z 'ɔ n a 
zoo	z 'o o	 z 'ɔ o 
zuau	z u 'a w	 a w 'a w 
zumzejar	z u m z e d ʒ 'a ɾ	 z 'u m z e d ʒ 'a ɾ 
de	d 'e	 d e 
que	k 'e	 k e 
la	l 'a	 l a 
i	'i	 i 
a	'a	 a 
el	'e l	 'ɛ l 
per	p 'e ɾ	 p e ɾ 
un	'u n	 u n 
en	'e n	 e n 
les	l 'e s	 l e s 
els	'e l s	 'ɛ l s 
del	d 'e l	 d e l 
amb	'a m	 'a m b 
al	'a l	 a l 
es	'e s	 e s 
El	'e l	 'ɛ l 
dels	d 'e l s	 d 'ɛ l s 
hi	'i	 i 
La	l 'a	 l a 
si	s 'i	 s i 
li	l 'i	 l i 
fer	f 'e ɾ	 f 'ɛ ɾ 
ja	j 'a	 d ʒ 'a 
Els	'e l s	 'ɛ l s 
ser	s 'e ɾ	 s 'ɛ ɾ 
era	'e ɾ a	 'ɛ ɾ a 
A	'a	 a 
aquest	a k 'e s t	 a k 'ɛ s t 
sobre	s 'o β ɾ e	 s 'ɔ β ɾ e 
tres	t ɾ 'e s	 t ɾ 'ɛ s 
En	'e n	 e n 
Per	p 'e ɾ	 p e ɾ 
Si	s 'i	 s i 
sense	s 'e n s e	 s 'ɛ n s e 
ho	'o	 o 
temps	t 'e m s	 t 'ɛ m p s 
De	d 'e	 d e 
pel	p 'e l	 p e l 
aquesta	a k 'e s t a	 a k 'ɛ s t a 
entre	'e n t ɾ e	 ' a n t ɾ e 
fet	f 'e t	 f 'ɛ t 
sempre	s 'e m p ɾ e	 s 'ɛ m p ɾ e 
I	'i	 i 
he	'e	 'ɛ 
us	'u s	 u s 
pot	p 'ɔ t	 p 'o t 
cent	s 'e n t	 s 'ɛ n t 
se	s 'e	 s e 
Un	'u n	 u n 
gent	d ʒ 'e n t	 d ʒ 'ɛ n t 
Les	l 'e s	 l e s 
Barcelona	b a ɾ s e l 'o n a	 b a ɾ s e l 'ɔ n a 
sistema	s i s t 'e m a	 s i s t 'ɛ m a 
ell	'e ʎ	 'ɛ l i 
tota	t 'o t a	 t 'ɔ t a 
ella	'e ʎ a	 'ɛ ʎ a 
mentre	m 'e n t ɾ e	 m 'ɛ n t ɾ e 
moment	m o m 'e n t	 m 'ɔ m 'ɛ n t 
des	d 'e s	 d 'ɛ s 
Es	'e s	 e s 
lloc	ʎ 'ɔ k	 ʎ 'o k 
feia	f 'e j a	 f 'ɛ j a 
primer	p ɾ i m 'e ɾ	 p ɾ i m 'ɛ ɾ 
poder	p o ð 'e ɾ	 p o ð 'ɛ ɾ 
Al	'a l	 a l 
aquell	a k 'e ʎ	 a k 'ɛ l i 
totes	t 'o t e s	 t 'ɔ t e s 
persones	p e ɾ s 'o n e s	 p e ɾ s 'ɔ n e s 
manera	m a n 'e ɾ a	 m a n 'ɛ ɾ a 
Aquest	a k 'e s t	 a k 'ɛ s t 
primera	p ɾ i m 'e ɾ a	 p ɾ i m 'ɛ ɾ a 
Hi	'i	 i 
vol	v 'ɔ l	 v 'o l 
poc	p 'ɔ k	 p 'o k 
feina	f 'e j n a	 f 'ɛ j n a 
vuit	v w 'i t	 v 'i 'i t 
sembla	s 'e m b l a	 s 'ɛ m b l a 
diferents	d i f e ɾ 'e n s	 d i f e ɾ 'ɛ n t s 
haver	a v 'e ɾ	 a v 'ɛ ɾ 
carrer	k a r 'e ɾ	 k a r 'ɛ ɾ 
tenen	t 'e n e n	 t 'ɛ n e n 
Ja	j 'a	 d ʒ 'a 
ningú	n i ŋ g 'u	 n 'i ŋ g 'u 
Li	l 'i	 l i 
Amb	'a m	 'a m b 
nens	n 'e n s	 n 'ɛ n s 
centre	s 'e n t ɾ e	 s 'ɛ n t ɾ e 
Aquesta	a k 'e s t a	 a k 'ɛ s t a 
sota	s 'o t a	 s 'ɔ t a 
aquests	a k 'e t s	 a k 'ɛ s t s 
persona	p e ɾ s 'o n a	 p e ɾ s 'ɔ n a 
fent	f 'e n t	 f 'ɛ n t 
ben	b 'e n	 b 'ɛ n 
zero	z 'e ɾ o	 z 'ɛ ɾ o 
pels	p 'e l s	 p 'ɛ l s 
molts	m 'o l s	 m 'o l t s 
contra	k 'o n t ɾ a	 k 'ɔ n t ɾ a 
aquella	a k 'e ʎ a	 a k 'ɛ ʎ a 
saber	s a β 'e ɾ	 s a β 'ɛ ɾ 
mig	m 'i t ʃ	 m 'i k 
aquestes	a k 'e s t e s	 a k 'ɛ s t e s 
sol	s 'ɔ l	 s 'o l 
mesos	m 'e z o s	 m 'ɛ z o s 
finestra	f i n 'e s t ɾ a	 f i n 'ɛ s t ɾ a 
cotxe	k 'o t ʃ e	 k 'ɔ t ʃ e 
compte	k 'o m t e	 k 'ɔ m p t e 
Ho	'o	 o 
eren	'e ɾ e n	 'ɛ ɾ e n 
prop	p ɾ 'ɔ p	 p ɾ 'o p 
mes	m 'e s	 m 'ɛ s 
servei	s e ɾ v 'e j	 s e ɾ v 'ɛ i 
Queden	k 'e ð e n	 k 'ɛ ð e n 
Ella	'e ʎ a	 'ɛ ʎ a 
paper	p a p 'e ɾ	 p a p 'ɛ ɾ 
tren	t ɾ 'e n	 t ɾ 'ɛ n 
potser	p o t s 'e ɾ	 p 'ɔ t s 'ɛ ɾ 
podem	p o ð 'e m	 p o ð 'ɛ m 
mort	m 'ɔ ɾ t	 m 'o ɾ t 
metres	m 'e t ɾ e s	 m 'ɛ t ɾ e s 
Era	'e ɾ a	 'ɛ ɾ a 
forma	f 'o ɾ m a	 f 'ɔ ɾ m a 
coma	k 'o m a	 k 'ɔ m a 
vols	v 'ɔ l s	 v 'o l s 
ells	'e ʎ s	 'ɛ ʎ s 
ve	v 'e	 v 'ɛ 
nen	n 'e n	 n 'ɛ n 
llei	ʎ 'e j	 ʎ 'ɛ i 
estem	a s t 'e m	 a s t 'ɛ m 
trenta	t ɾ 'e n t a	 t ɾ 'ɛ n t a 
sento	s 'e n t o	 s 'ɛ n t o 
He	'e	 'ɛ 
hora	'ɔ ɾ a	 a ɾ a 
se'n	s 'e n	 s 'ɛ n 
quants	k w 'a n s	 k w 'a n t s 
parell	p a ɾ 'e ʎ	 p a ɾ 'ɛ l i 
estona	a s t 'o n a	 a s t 'ɔ n a 
darrere	d a r 'e ɾ e	 d a r 'ɛ ɾ e 
exemple	e g z 'e m p l e	 e g z 'ɛ m p l e 
zona	z 'o n a	 z 'ɔ n a 
tretze	t ɾ 'e d z e	 t ɾ 'ɛ d z e 
tema	t 'e m a	 t 'ɛ m a 
Ell	'e ʎ	 'ɛ l i 
serveis	s e ɾ v 'e j s	 s e ɾ v 'ɛ i s 
targeta	t a ɾ d ʒ 'e t a	 t a ɾ d ʒ 'ɛ t a 
sols	s 'ɔ l s	 s 'o l s 
ple	p l 'e	 p l 'ɛ 
dotze	d 'o d z e	 d 'ɔ d z e 
nivell	n i v 'e ʎ	 n i v 'ɛ l i 
dreta	d ɾ 'e t a	 d ɾ 'ɛ t a 
aquells	a k 'e ʎ s	 a k 'ɛ l s 
Potser	p o t s 'e ɾ	 p 'ɔ t s 'ɛ ɾ 
sent	s 'e n t	 s 'ɛ n t 
queda	k 'e ð a	 k 'ɛ ð a 
pell	p 'e ʎ	 p 'ɛ l i 
paret	p a ɾ 'e t	 p a ɾ 'ɛ t 
noi	n 'ɔ j	 n 'o i 
setze	s 'e d z e	 s 'ɛ d z e 
punts	p 'u n s	 p 'u n t s 
fort	f 'ɔ ɾ t	 f 'o ɾ t 
moments	m o m 'e n s	 m o m 'ɛ n t s 
mena	m 'e n a	 m 'ɛ n a 
llengua	ʎ 'e ŋ g w a	 ʎ 'ɛ ŋ g w a 
veig	v 'e t ʃ	 v 'ɛ t ʃ 
metro	m 'e t ɾ o	 m 'ɛ t ɾ o 
comença	k o m 'e n s a	 k o m 'ɛ n s a 
tingut	t i ŋ g 'u t	 t 'i ŋ g 'u t 
segle	s 'e ɣ l e	 s 'ɛ ɣ l e 
permet	p e ɾ m 'e t	 p e ɾ m 'ɛ t 
gener	d ʒ e n 'e ɾ	 d ʒ e n 'ɛ ɾ 
segona	s e ɣ 'o n a	 s e ɣ 'ɔ n a 
hagi	'a d ʒ i	 'ɔ d ʒ i 
fitxer	f i t ʃ 'e ɾ	 f i t ʃ 'ɛ ɾ 
crec	k ɾ 'e k	 k ɾ 'ɛ k 
llocs	ʎ 'ɔ k s	 ʎ 'o k s 
fred	f ɾ 'e t	 f ɾ 'ɛ t 
cuina	k w 'i n a	 k 'u j n a 
cabell	k a β 'e ʎ	 k a β 'ɛ ʎ 
Que	k 'e	 k e 
vent	v 'e n t	 v 'ɛ n t 
jove	d ʒ 'o v e	 d ʒ 'ɔ v e 
foc	f 'ɔ k	 f 'o k 
fets	f 'e t s	 f 'ɛ t s 
catorze	k a t 'o ɾ z e	 k a t 'ɔ ɾ z e 
Prop	p ɾ 'ɔ p	 p ɾ 'o p 
Mentre	m 'e n t ɾ e	 m 'ɛ n t ɾ e 
tampoc	t a m p 'ɔ k	 t a m p 'o k 
joves	d ʒ 'o v e s	 d ʒ 'ɔ v e s 
empresa	a m p ɾ 'e z a	 a m p ɾ 'ɛ z a 
dret	d ɾ 'e t	 d ɾ 'ɛ t 
Sempre	s 'e m p ɾ e	 s 'ɛ m p ɾ e 
vella	v 'e ʎ a	 v 'ɛ ʎ a 
pots	p 'ɔ t s	 p 'o t s 
negre	n 'e ɣ ɾ e	 n 'ɛ ɣ ɾ e 
fem	f 'e m	 f 'ɛ m 
anem	a n 'e m	 a n 'ɛ m 
samarreta	s a m a r 'e t a	 s a m a r 'ɛ t a 
dilluns	d i ʎ 'u n s	 d 'i ʎ 'u n s 
Aquell	a k 'e ʎ	 a k 'ɛ l i 
resta	r 'e s t a	 r s t a 
proper	p ɾ o p 'e ɾ	 p ɾ o p 'ɛ ɾ 
divuit	d i v w 'i t	 d i v 'i 'i t 
Coneixement	k o n e j ʃ e m 'e n t	 k o n 'ɛ j ʃ e m 'ɛ n t 
tercera	t e ɾ s 'e ɾ a	 t e ɾ s 'ɛ ɾ a 
sabem	s a β 'e m	 s a β 'ɛ m 
document	d o k u m 'e n t	 d 'ɔ k u m 'ɛ n t 
deixa	d 'e j ʃ a	 d 'ɛ j ʃ a 
contingut	k o n t i ŋ g 'u t	 k o n t 'i ŋ g 'u t 
boca	b 'o k a	 b 'ɔ k a 
aquelles	a k 'e ʎ e s	 a k 'ɛ ʎ e s 
temes	t 'e m e s	 t 'ɛ m e s 
