big	b 'i tʃ }
aguissin	ə ɣ 'i s i n }
aguissis	ə ɣ 'i s i s }
albergui	ə l β 'ɛ ɾ ɣ i }
allargui	ə ʎ 'a ɾ ɣ i }
alliguin	ə ʎ 'i ɣ i n }
alliguis	ə ʎ 'i ɣ i s }
allongui	ə ʎ 'ɔ ŋ g i }
al·legui	ə l 'ɛ ɣ i }
amarguin	ə m 'a ɾ ɣ i n }
amarguis	ə m 'a ɾ ɣ i s }
anguiler	ə ŋ g i l 'e }
anguiles	ə ŋ g 'i l ə s }
anguillà	ə ŋ g i ʎ 'a }
aparegui	ə p ə ɾ 'ɛ ɣ i }
apleguin	ə p l 'ɛ ɣ i n }
apleguis	ə p l 'ɛ ɣ i s }
aporugui	ə p o ɾ 'u ɣ i }
aprengui	ə p ɾ 'ɛ ŋ g i }
arenguin	ə ɾ 'ə ŋ g i n }
arenguis	ə ɾ 'ə ŋ g i s }
arguible	ə ɾ ɣ u 'i b b l ə }
arguicio	ə ɾ ɣ i s 'i o }
arguides	ə ɾ ɣ 'i ð ə s }
arguidor	ə ɾ ɣ i ð 'o }
arguiran	ə ɾ ɣ i ɾ 'a n }
arguiras	ə ɾ ɣ u 'i ɾ ə s }
arguirem	ə ɾ ɣ i ɾ 'e m }
arguiren	ə ɾ ɣ 'i ɾ ə n }
arguires	ə ɾ ɣ 'i ɾ ə s }
arguireu	ə ɾ ɣ i ɾ 'ə w }
arguiria	ə ɾ ɣ i ɾ 'i ə }
arguisca	ə ɾ ɣ u 'i s k ə }
arguixen	ə ɾ ɣ 'i ʃ ə n }
arguixes	ə ɾ ɣ 'i ʃ ə s }
arrengui	ə r 'ɛ ŋ g i }
arroguin	ə r 'ɔ ɣ i n }
arroguis	ə r 'ɔ ɣ i s }
arruguin	ə r 'u ɣ i n }
arruguis	ə r 'u ɣ i s }
artiguin	ə ɾ t 'i ɣ i n }
artiguis	ə ɾ t 'i ɣ i s }
asseguin	ə s 'ɛ ɣ i n }
asseguis	ə s 'ɛ ɣ i s }
atenguin	ə t 'ɛ ŋ g i n }
atenguis	ə t 'ɛ ŋ g i s }
atinguin	ə t 'i ŋ g i n }
atinguis	ə t 'i ŋ g i s }
lingüista	l i ŋ g w 'i s t ə }
llegüines	ʎ ə ɣ ɾ 'i n ə s }
redargüim	r ə ð ə ɾ ə w 'i m }
redargüir	r ə ð ə ɾ ə w 'i }
redargüit	r ə ð ə ɾ ə w 'i t }
redargüiu	r ə ð ə ɾ ə w 'i w }
sotaigüin	s o t ə i ə i 'i n }
sotaigüis	s o t ə i ʒ i 'i s }
ambigüitat	ə m b i ʒ i i t 'a t }
argüicions	a ɾ ɣ ɾ i s i 'o n s }
argüidores	a ɾ ə 'i i ð 'o ɾ ə s }
argüisquen	a ɾ ə w 'i s k ə n }
desenaigüi	d ə z ə n 'a i ʒ i i }
desllengüi	d ə z ʎ 'ə ŋ g i i }
exigüitats	ə t s i ʒ i i t 'a t s }
lingüicidi	l i ŋ g ɾ i s 'i ð i }
lingüistes	l i ŋ g w 'i s t ə s }
pingüinera	p i ŋ g ɾ i n 'e ɾ ə }
piragüisme	p i ɾ ə ɣ ɾ 'i z m ə }
piragüista	p i ɾ ə ɣ ɾ 'i s t ə }
redargüint	r ə ð ə ɾ ə w 'i n t }
redargüirà	r ə ð ə ɾ ʒ i i ɾ 'a }
redargüiré	r ə ð ə ɾ ɣ ɾ i ɾ 'e }
ambigüitats	ə m b i ʒ i i t 'a t s }
bilingüisme	b i l i ŋ g w 'i z m ə }
bilingüista	b i l i ŋ g w 'i s t ə }
contigüitat	k o n t i ʒ i i t 'a t }
desenaigüin	d ə z ə n ə i ə i 'i n }
desenaigüis	d ə z ə n ə i ʒ i 'i s }
desllengüin	d ə z ʎ ə ŋ g i 'i n }
desllengüis	d ə z ʎ ə ŋ g i 'i s }
lingüicidis	l i ŋ g ɾ i s 'i ð i s }
lingüiforme	l i ŋ g ɾ i f 'ɔ ɾ m ə }
pingüineres	p i ŋ g ɾ i n 'e ɾ ə s }
piragüismes	p i ɾ ə ɣ ɾ 'i z m ə s }
piragüistes	p i ɾ ə ɣ ɾ 'i s t ə s }
redargüiran	r ə ð ə ɾ ʒ i i ɾ 'a n }
redargüirem	r ə ð ə ɾ ɣ ɾ i ɾ 'e m }
redargüireu	r ə ð ə ɾ ɣ ɾ i ɾ 'ə w }
redargüiria	r ə ð ə ɾ ɣ ɾ i ɾ 'i ə }
redargüiràs	r ə ð ə ɾ ʒ i i ɾ 'a s }
bilingüismes	b i l i ŋ g w 'i z m ə s }
bilingüistes	b i l i ŋ g w 'i s t ə s }
contigüitats	k o n t i ʒ i i t 'a t s }
lingüiformes	l i ŋ g ɾ i f 'ɔ ɾ m ə s }
redargüirien	r ə ð ə ɾ ɣ ɾ i ɾ 'i ə n }
redargüiries	r ə ð ə ɾ ɣ ɾ i ɾ 'i ə s }
redargüiríem	r ə ð ə ɾ ɣ ɾ i ɾ 'i ə m }
redargüiríeu	r ə ð ə ɾ ɣ ɾ i ɾ 'i ə w }
trilingüisme	t ɾ i l i ŋ g w 'i z m ə }
unilingüisme	u n i l i ŋ g w 'i z m ə }
monolingüisme	m o n o l i ŋ g w 'i z m ə }
trilingüismes	t ɾ i l i ŋ g w 'i z m ə s }
unilingüismes	u n i l i ŋ g w 'i z m ə s }
Bond	b 'o n t}
fund	f 'u n t}
land	l 'a n t}
rand	r 'a n t}
zand	z 'a n t}
zend	z 'ə n t}
gland	g l 'a n t}
addend	ə ð d 'ə n t}
augend	ə w ʒ 'ə n t}
belend	b ə l 'ə n t}
colend	k o l 'ə n t}
estand	ə s t 'a n t}
fecund	f ə k 'u n t}
immund	i m m 'u n t}
jocund	ʒ o k 'u n t}
nefand	n ə f 'a n t}
oriünd	o ɾ i 'u n t}
pudend	p u ð 'ə n t}
rotund	r o t 'u n t}
sumand	s u m 'a n t}
vitand	v i t 'a n t}
Sigmund	s i m m 'u n t}
educand	ə ð u k 'a n t}
gormand	g o ɾ m 'a n t }
iracund	i ɾ ə k 'u n t}
lligand	ʎ i ɣ 'a n t}
minuend	m i n u 'ə n t}
normand	n o ɾ m 'a n t }
operand	o p ə ɾ 'a n t}
profund	p ɾ o f 'u n t}
tremend	t ɾ ə m 'ə n t}
adoptand	ə ð o t t 'a n t}
dividend	d i v i ð 'ə n t}
errabund	ə r ə β 'u n t}
estupend	ə s t u p 'ə n t}
furibund	f u ɾ i β 'u n t}
garamond	g ə ɾ ə m 'o n t}
graduand	g ɾ ə ð u 'a n t}
infecund	i n f ə k 'u n t}
kilopond	k i l o p 'o n t}
moribund	m o ɾ i β 'u n t}
ordenand	o ɾ ð ə n 'a n t }
pudibund	p u ð i β 'u n t}
pòrtland	p o ɾ i l 'a n t}
radicand	r ə ð i k 'a n t}
reverend	r ə v ə ɾ 'ə n t}
rubicund	r u β i k 'u n t}
vagabund	v ə ɣ ə β 'u n t}
belends	b ə l 'ə n s }
colends	k o l 'ə n s }
fecunds	f ə k 'u n s }
immunds	i m m 'u n s }
jocunds	ʒ o k 'u n s }
nefands	n ə f 'a n s }
oriünds	o ɾ i 'u n s }
pudends	p u ð 'ə n s }
rotunds	r o t 'u n s }
vitands	v i t 'a n s }
adoptands	ə ð o t t 'a n s }
errabunds	ə r ə β 'u n s }
estupends	ə s t u p 'ə n s }
furibunds	f u ɾ i β 'u n s }
graduands	g ɾ ə ð u 'a n s }
infecunds	i n f ə k 'u n s }
moribunds	m o ɾ i β 'u n s }
ordenands	o ɾ ð ə n 'a n s }
pudibunds	p u ð i β 'u n s }
reverends	r ə v ə ɾ 'ə n s }
rubicunds	r u β i k 'u n s }
vagabunds	v ə ɣ ə β 'u n s }
Ford	f 'o ɾ t }
bard	b 'a ɾ t }
bord	b 'o ɾ t }
card	k 'a ɾ t }
cord	k 'o ɾ t }
curd	k 'u ɾ t }
dard	d 'a ɾ t }
gerd	ʒ 'ɛ ɾ t }
gord	g 'o ɾ t }
kurd	k 'u ɾ t }
lord	l 'o ɾ t }
nard	n 'a ɾ t }
nord	n 'o ɾ t }
perd	p 'ɛ ɾ t }
sard	s 'a ɾ t }
sord	s 'o ɾ t }
tard	t 'a ɾ t }
tord	t 'o ɾ t }
verd	v 'ɛ ɾ t }
acord	ə k 'o ɾ t }
fiord	f i 'o ɾ t }
guard	g w 'a ɾ t }
isard	i z 'a ɾ t }
llard	ʎ 'a ɾ t }
llord	ʎ 'o ɾ t }
Eduard	ə ð u 'a ɾ t }
Gotard	g o t 'a ɾ t }
Oxford	o t s f 'o ɾ t }
Ricard	r i k 'a ɾ t }
absurd	ə t s 'u ɾ t }
babord	b ə β 'o ɾ t }
baiard	b ə j 'a ɾ t }
begard	b ə ɣ 'a ɾ t }
canard	k ə n 'a ɾ t }
cegard	s ə ɣ 'a ɾ t }
covard	k o v 'a ɾ t }
dicord	d i k 'o ɾ t }
fulard	f u l 'a ɾ t }
milord	m i l 'o ɾ t }
nasard	n ə z 'a ɾ t }
niçard	n i s 'a ɾ t }
petard	p ə t 'a ɾ t }
picard	p i k 'a ɾ t }
pigard	p i ɣ 'a ɾ t }
record	r ə k 'o ɾ t }
renard	r ə n 'a ɾ t }
retard	r ə t 'a ɾ t }
ràcord	r 'a k o ɾ t }
rècord	r 'ɛ k o ɾ t }
tabard	t ə β 'a ɾ t }
tinard	t i n 'a ɾ t }
òxford	ɔ t s f 'o ɾ t }
certs	s 'ɛ ɾ s }
corts	k 'o ɾ s }
curts	k 'u ɾ s }
farts	f 'a ɾ s }
forts	f 'o ɾ s }
furts	f 'u ɾ s }
horts	ə ɾ s }
morts	m 'o ɾ s }
parts	p 'a ɾ s }
ports	p 'o ɾ s }
sorts	s 'o ɾ s }
surts	s 'u ɾ s }
torts	t 'o ɾ s }
xarts	ʃ 'a ɾ s }
inerts	i n 'ɛ ɾ s }
oberts	o β 'ɛ ɾ s }
oferts	o f 'ɛ ɾ s }
quarts	k w 'a ɾ s }
absorts	ə t s 'o ɾ s }
coberts	k o β 'ɛ ɾ s }
cohorts	k o ə ɾ s }
deports	d ə p 'o ɾ s }
deserts	d ə z 'ɛ ɾ s }
dimarts	d i m 'a ɾ s }
diserts	d i z 'ɛ ɾ s }
esports	ə s p 'o ɾ s }
estorts	ə s t 'o ɾ s }
experts	ə t s p 'ɛ ɾ s }
exserts	ə t s 'ɛ ɾ s }
incerts	i n s 'ɛ ɾ s }
inserts	i n s 'ɛ ɾ s }
pafarts	p ə f 'a ɾ s }
reports	r ə p 'o ɾ s }
retorts	r ə t 'o ɾ s }
soferts	s o f 'ɛ ɾ s }
somorts	s o m 'o ɾ s }
suports	s u p 'o ɾ s }
udmurts	u m m 'u ɾ s }
concerts	k o n s 'ɛ ɾ s }
contorts	k o n t 'o ɾ s }
cuacurts	k w ə k 'u ɾ s }
descarts	d ə s k 'a ɾ s }
desperts	d ə s p 'ɛ ɾ s }
dissorts	d i s 'o ɾ s }
lliberts	ʎ i β 'ɛ ɾ s }
omplerts	o m p l 'ɛ ɾ s }
ressorts	r ə s 'o ɾ s }
aeroports	ə ə ɾ o p 'o ɾ s }
bocaforts	b o k ə f 'o ɾ s }
bocatorts	b o k ə t 'o ɾ s }
camacurts	k ə m ə k 'u ɾ s }
camatorts	k ə m ə t 'o ɾ s }
complerts	k o m p l 'ɛ ɾ s }
inexperts	i n ə t s p 'ɛ ɾ s }
compta	k 'ɔ m t ə }
compte	k 'ɔ m t ə }
compto	k 'ɔ m t o }
exempt	ə t s 'ə m t }
tempta	t 'ə m t ə }
Comptem	k o m t 'e m }
Compteu	k o m t 'ɛ w }
Temptem	t ə m ə t 'e m }
acampta	ə k 'a m t ə }
acampte	ə k 'a m t ə }
acompte	ə k 'ɔ m t ə }
atempta	ə t 'ə m t ə }
comptar	k o m t 'a }
comptat	k o m t 'a t }
compten	k 'ɔ m t ə n }
comptes	k 'ɔ m t ə s }
exempta	ə t s 'ə m t ə }
exempts	ə t s 'ə n t s }
prompta	p ɾ 'o m t ə }
prompte	p ɾ 'ɔ m t ə }
temptar	t ə m t 'a }
temptat	t ə m t 'a t }
acamptes	ə k 'a m t ə s }
assumpte	ə s 'u m t ə }
atemptar	ə t ə m t 'a }
atemptat	ə t ə m t 'a t }
atemptin	ə t 'ə m t i n }
comptada	k o m t 'a ð ə }
comptant	k o m t 'a n t }
comptats	k o m t 'a t s }
comptava	k o m t 'a v ə }
exemptar	ə t s ə m t 'a }
exemptes	ə t s 'ə m t ə s }
recompte	r ə k 'ɔ m t ə }
sumptuós	s u m t u 'o s }
símptoma	s 'i m t o m ə }
tempteig	t ə m t 'e tʃ }
tempteja	t ə m t 'e ʒ ə }
Recomptem	r ə k o m t 'e m }
apromptar	ə p ɾ o m t 'a }
assumptes	ə s 'u m t ə s }
asímptota	ə z i m t 'ɔ t ə }
atemptats	ə t ə m t 'a t s }
bescompte	b ə s k 'ɔ m t ə }
comptable	k o m t 'a b b l ə }
comptades	k o m t 'a ð ə s }
comptador	k o m t ə ð 'o }
comptants	k o m t 'a n t s }
comptarem	k o m t ə ɾ 'e m }
comptatge	k o m t 'a dʒ ə }
descompte	d ə s k 'ɔ m t ə }
descompto	d ə s k 'ɔ m t o }
eclàmptic	ə k l 'a m t i k }
impromptu	i m p ɾ 'ɔ m t u }
irredempt	i r ə ð 'ə m t }
presumpta	p ɾ ə z 'u m t ə }
presumpte	p ɾ ə z 'u m t ə }
promptesa	p ɾ o m t 'e z ə }
recomptar	r ə k o m t 'a }
redemptor	r ə ð ə m t 'o }
retemptar	r ə t ə m t 'a }
sumptuari	s u m t u 'a ɾ i }
sumptuosa	s u m t u 'o z ə }
símptomes	s 'i m t o m ə s }
temptable	t ə m t 'a b b l ə }
temptació	t ə m t ə s i 'o }
temptador	t ə m t ə ð 'o }
temptatiu	t ə m t ə t 'i w }
temptejar	t ə m t ə ʒ 'a }
Temptejava	t ə m t ə ʒ 'a v ə }
anacàmptic	ə n ə k 'a m t i k }
asimptòtic	ə z i m t 'ɔ t i k }
bescomptar	b ə s k o m t 'a }
camptòdrom	k ə m t 'ɔ ð ɾ o m }
comptables	k o m t 'a b b l ə s }
comptacops	k o m t ə k 'ɔ t s }
comptadors	k o m t ə ð 'o s }
comptafils	k o m t ə f 'i l s }
comptedant	k o m t ə ð 'a n t }
consumptiu	k o n s u m t 'i w }
descomptar	d ə s k o m t 'a }
descomptat	d ə s k o m t 'a t }
descomptes	d ə s k 'ɔ m t ə s }
destemptar	d ə s t ə m t 'a }
destemptat	d ə s t ə m t 'a t }
eclàmptica	ə k l 'ə m t i k ə }
Tolosa	t o l 'o z ə }
aftosa	ə f t 'o z ə }
agrosa	ə ɣ ɾ 'o z ə }
airosa	ə j ɾ 'o z ə }
aldosa	ə l d 'o z ə }
allosa	ə ʎ 'o z ə }
apiosa	ə p i 'o z ə }
aquosa	ə k 'o z ə }
arcosa	ə ɾ k 'o z ə }
arnosa	ə ɾ n 'o z ə }
arçosa	ə ɾ s 'o z ə }
aurosa	ə w ɾ 'o z ə }
bavosa	b ə v 'o z ə }
bedosa	b ə ð 'o z ə }
beçosa	b ə s 'o z ə }
botosa	b o t 'o z ə }
briosa	b ɾ i 'o z ə }
camosa	k ə m 'o z ə }
canosa	k ə n 'o z ə }
cerosa	s ə ɾ 'o z ə }
cetosa	s ə t 'o z ə }
cimosa	s i m 'o z ə }
comosa	k o m 'o z ə }
cucosa	k u k 'o z ə }
curosa	k u ɾ 'o z ə }
deposa	d ə p 'o z ə }
difosa	d i f 'o z ə }
docosà	d o k o z 'a }
dolosa	d o l 'o z ə }
ermosa	ə ɾ m 'o z ə }
esposa	ə s p 'o z ə }
exposa	ə t s p 'o z ə }
fajosa	f ə ʒ 'o z ə }
famosa	f ə m 'o z ə }
fenosa	f ə n 'o z ə }
filosa	f i l 'o z ə }
fogosa	f o ɣ 'o z ə }
fumosa	f u m 'o z ə }
gasosa	g ə z 'o z ə }
gatosa	g ə t 'o z ə }
gelosa	ʒ ə l 'o z ə }
gibosa	ʒ i β 'o z ə }
gojosa	g o ʒ 'o z ə }
golosa	g o l 'o z ə }
gomosa	g o m 'o z ə }
gotosa	g o t 'o z ə }
hexosa	ə t s 'o z ə }
ideosa	i ð ə 'o z ə }
imposa	i m p 'o z ə }
imposà	i m p o z 'a }
iodosa	i o ð 'o z ə }
jocosa	ʒ o k 'o z ə }
joiosa	ʒ o i 'o z ə }
lilosa	l i l 'o z ə }
luxosa	l u t s 'o z ə }
manosa	m ə n 'o z ə }
melosa	m ə l 'o z ə }
mimosa	m i m 'o z ə }
mocosa	m o k 'o z ə }
morosa	m o ɾ 'o z ə }
mucosa	m u k 'o z ə }
nevosa	n ə v 'o z ə }
nivosa	n i v 'o z ə }
nodosa	n o ð 'o z ə }
nugosa	n u ɣ 'o z ə }
ociosa	o s i 'o z ə }
ocrosa	o k ɾ 'o z ə }
odiosa	o ð i 'o z ə }
oliosa	o l i 'o z ə }
ondosa	o n d 'o z ə }
ortosa	o ɾ t 'o z ə }
ossosa	o s 'o z ə }
pegosa	p ə ɣ 'o z ə }
pelosa	p ə l 'o z ə }
penosa	p ə n 'o z ə }
pigosa	p i ɣ 'o z ə }
pilosa	p i l 'o z ə }
pinosa	p i n 'o z ə }
porosa	p o ɾ 'o z ə }
pudosa	p u ð 'o z ə }
puçosa	p u s 'o z ə }
rabosa	r ə β 'o z ə }
ramosa	r ə m 'o z ə }
recosa	r ə k 'o z ə }
refosa	r ə f 'o z ə }
reposa	r ə p 'o z ə }
ribosa	r i β 'o z ə }
rocosa	r o k 'o z ə }
rugosa	r u ɣ 'o z ə }
sedosa	s ə ð 'o z ə }
semosa	s ə m 'o z ə }
