a	ə
obri	'ɔ β ɾ i
obria	o β ɾ 'i ə
obrien	o β ɾ 'i ə n
obrim	o β ɾ 'i m
obrin	'ɔ β ɾ i n
obrint	o β ɾ 'i n t
obrintse	o β ɾ 'i n s ə
obrir	o β ɾ 'i
obriran	o β ɾ i ɾ 'a n
obrirem	o β ɾ i ɾ 'ə m
obriren	o β ɾ 'i ɾ ə n
obrirhi	o β ɾ 'i ɾ i
obriria	o β ɾ i ɾ 'i ə
obriries	o β ɾ i ɾ 'i ə s
obrirla	o β ɾ 'i ɾ l ə
obrirli	o β ɾ 'i ɾ l i
obrirlo	o β ɾ 'i ɾ l o
obrirlos	o β ɾ 'i ɾ l o s
obrirme	o β ɾ 'i ɾ m ə
obrirne	o β ɾ 'i ɾ n ə
obrirnos	o β ɾ 'i ɾ n o s
obrirse	o β ɾ 'i ɾ s ə
obrirvos	o β ɾ 'i ɾ v o s
obrirà	o β ɾ i ɾ 'a
obriré	o β ɾ i ɾ 'e
obrissin	o β ɾ 'i s i n
obriu	o β ɾ 'i w
obriuvos	o β ɾ 'i w v o s
obro	'o β ɾ o
obrí	o β ɾ 'i
obrís	o β ɾ 'i s
obscena	o p t s 'ə n ə
obscenes	o p t s 'ə n ə s
obscenitat	o p t s ə n i t 'a t
obscenitats	o p t s ə n i t 'a t s
obscens	o p t s 'ə n s
obscur	o p s k 'u
obscura	o p s k 'u ɾ ə
obscurantisme	o p s k u ɾ ə n t 'i z m ə
obscureix	o p s k u ɾ 'ə ʃ
obscures	o p s k 'u ɾ ə s
obscuritat	o p s k u ɾ i t 'a t
obscurs	o p s k 'u s
obscè	o p t s 'ə
obsedida	o t s ə ð 'i ð ə
obsedit	o t s ə ð 'i t
obsedits	o t s ə ð 'i t s
obsequi	o t s 'ɛ k i
obsequia	o t s ə k 'i ə
obsequiar	o t s ə k i 'a
obsequiarnos	o t s ə k i 'a ɾ n o s
obsequiarà	o t s ə k i ə ɾ 'a
obsequiat	o t s ə k i 'a t
obsequien	o t s ə k 'i ə n
obsequis	o t s 'ɛ k i s
observa	o t s 'ɛ ɾ v ə
observable	o t s ə ɾ v 'a b b l ə
observacions	o t s ə ɾ v ə s i 'o n s
observació	o t s ə ɾ v ə s i 'o
observada	o t s ə ɾ v 'a ð ə
observades	o t s ə ɾ v 'a ð ə s
observador	o t s ə ɾ v ə ð 'o
observadora	o t s ə ɾ v ə ð 'o ɾ ə
observadores	o t s ə ɾ v ə ð 'o ɾ ə s
observadors	o t s ə ɾ v ə ð 'o s
observant	o t s ə ɾ v 'a n t
observantme	o t s ə ɾ v 'a n m ə
observança	o t s ə ɾ v 'a n s ə
observar	o t s ə ɾ v 'a
observaran	o t s ə ɾ v ə ɾ 'a n
observaren	o t s ə ɾ v 'a ɾ ə n
observarho	o t s ə ɾ v 'a ɾ o
observarla	o t s ə ɾ v 'a ɾ l ə
observarse	o t s ə ɾ v 'a ɾ s ə
observarà	o t s ə ɾ v ə ɾ 'a
observat	o t s ə ɾ v 'a t
observatori	o t s ə ɾ v ə t 'ɔ ɾ i
observatoris	o t s ə ɾ v ə t 'ɔ ɾ i s
observats	o t s ə ɾ v 'a t s
observava	o t s ə ɾ v 'a v ə
observaven	o t s ə ɾ v 'a v ə n
observem	o t s ə ɾ v 'ə m
observen	o t s 'ɛ ɾ v ə n
observeu	o t s ə ɾ v 'ɛ w
observi	o t s 'ɛ ɾ v i
observin	o t s 'ɛ ɾ v i n
observo	o t s 'ɛ ɾ v o
observà	o t s ə ɾ v 'a
obsessiona	o t s ə s i 'o n ə
obsessionada	o t s ə s i o n 'a ð ə
obsessionant	o t s ə s i o n 'a n t
obsessionar	o t s ə s i o n 'a
obsessionarme	o t s ə s i o n 'a ɾ m ə
obsessionarnos	o t s ə s i o n 'a ɾ n o s
obsessionarse	o t s ə s i o n 'a ɾ s ə
obsessionarvos	o t s ə s i o n 'a ɾ v o s
obsessionat	o t s ə s i o n 'a t
obsessionats	o t s ə s i o n 'a t s
obsessionava	o t s ə s i o n 'a v ə
obsessioneu	o t s ə s i o n 'ɛ w
obsessions	o t s ə s i 'o n s
obsessiu	o t s ə s 'i w
obsessius	o t s ə s 'i w s
obsessiva	o t s ə s 'i v ə
obsessivament	o t s ə s ˌ i v ə m 'e n t
obsessives	o t s ə s 'i v ə s
obsessió	o t s ə s i 'o
obsessos	o t s 'e s o s
obsolescent	o t s o l ə t s 'e n t
obsolescència	o t s o l ə t s 'ə n s i ə
obsolet	o t s o l 'ə t
obsoleta	o t s o l 'ə t ə
obsoletes	o t s o l 'ə t ə s
obsolets	o t s o l 'ə t s
obsta	'o p s t ə
obstacle	o p s t 'a k l ə
obstacles	o p s t 'a k l ə s
obstaculitza	o p s t ə k u l 'i d z ə
obstaculitzada	o p s t ə k u l i d z 'a ð ə
obstaculitzant	o p s t ə k u l i d z 'a n t
obstaculitzar	o p s t ə k u l i d z 'a
obstaculitzat	o p s t ə k u l i d z 'a t
obstaculitzats	o p s t ə k u l i d z 'a t s
obstaculitzen	o p s t ə k u l 'i d z ə n
obstant	o p s t 'a n t
obstinació	o p s t i n ə s i 'o
obstinada	o p s t i n 'a ð ə
obstinadament	o p s t i n ˌ a ð ə m 'e n t
obstinat	o p s t i n 'a t
obstinats	o p s t i n 'a t s
obstruccionisme	o p s t ɾ u t s i o n 'i z m ə
obstruccionista	o p s t ɾ u t s i o n 'i s t ə
obstrucció	o p s t ɾ u t s i 'o
obstructiva	o p s t ɾ u t t 'i v ə
obstrueixen	o p s t ɾ u 'ə ʃ ə n
obstruir	o p s t ɾ u 'i
obsés	o t s 'e s
obtenció	o t t ə n s i 'o
obtenen	o t t 'e n ə n
obtenia	o t t ə n 'i ə
obtenien	o t t ə n 'i ə n
obtenim	o t t ə n 'i m
obtenint	o t t ə n 'i n t
obtenir	o t t ə n 'i
obtenirla	o t t ə n 'i ɾ l ə
obtenirlo	o t t ə n 'i ɾ l o
obtenirlos	o t t ə n 'i ɾ l o s
obtenirne	o t t ə n 'i ɾ n ə
obtenirse	o t t ə n 'i ɾ s ə
obteniu	o t t ə n 'i w
obtindran	o t t i n d ɾ 'a n
obtindrem	o t t i n d ɾ 'ə m
obtindreu	o t t i n d ɾ 'ɛ w
obtindria	o t t i n d ɾ 'i ə
obtindrien	o t t i n d ɾ 'i ə n
obtindrà	o t t i n d ɾ 'a
obtinguda	o t t i ŋ g 'u ð ə
obtingudes	o t t i ŋ g 'u ð ə s
obtinguessin	o t t i ŋ g 'e s i n
obtingueu	o t t i ŋ g 'ɛ w
obtingui	o t t 'i ŋ g i
obtinguin	o t t 'i ŋ g i n
obtingut	o t t i ŋ g 'u t
obtinguts	o t t i ŋ g 'u t s
obtingué	o t t i ŋ g 'e
obtingués	o t t i ŋ g 'e s
obtusangles	o t t u z 'a ŋ g l ə s
obté	o t t 'e
obtús	o t t 'u s
obusos	o β 'u z o s
obvi	'ɔ v v i
obvia	o v v 'i ə
obviada	o v v i 'a ð ə
obviant	o v v i 'a n t
obviar	o v v i 'a
obviat	o v v i 'a t
obviava	o v v i 'a v ə
obvien	o v v 'i ə n
obvies	o v v 'i ə s
obvietat	o v v i ə t 'a t
obvietats	o v v i ə t 'a t s
obvieu	o v v i 'ɛ w
obvio	o v v 'i o
obvis	'ɔ v v i s
obé	o β 'e
obús	o β 'u s
oca	'o k ə
ocarina	o k ə ɾ 'i n ə
ocasiona	o k ə z i 'o n ə
ocasionada	o k ə z i o n 'a ð ə
ocasionades	o k ə z i o n 'a ð ə s
ocasional	o k ə z i o n 'a l
ocasionalment	o k ə z i o n ˌ a l m 'e n t
ocasionals	o k ə z i o n 'a l s
ocasionant	o k ə z i o n 'a n t
ocasionar	o k ə z i o n 'a
ocasionarà	o k ə z i o n ə ɾ 'a
ocasionat	o k ə z i o n 'a t
ocasionats	o k ə z i o n 'a t s
ocasionen	o k ə z i 'o n ə n
ocasions	o k ə z i 'o n s
ocasió	o k ə z i 'o
occident	o t s i ð 'e n t
occidental	o t s i ð ə n t 'a l
occidentalista	o t s i ð ə n t ə l 'i s t ə
occidentals	o t s i ð ə n t 'a l s
occitana	o t s i t 'a n ə
occitanes	o t s i t 'a n ə s
occitanocatalana	o t s i t ə n o k ə t ə l 'a n ə
occitanocatalà	o t s i t ə n o k ə t ə l 'a
occitans	o t s i t 'a n s
occità	o t s i t 'a
oceanografia	o s e ə n o ɣ ɾ ə f 'i ə
oceanogràfic	o s e ə n o ɣ ɾ 'a f i k
oceans	o s e 'a n s
ocell	o s 'e ʎ
ocellaire	o s ə ʎ 'a j ɾ ə
ocellet	o s ə ʎ 'ə t
ocellets	o s ə ʎ 'ə t s
ocells	o s 'e ʎ s
oceà	o s ə 'a
oceànic	o s ə 'a n i k
oceànica	o s ə 'a n i k ə
oceànics	o s ə 'a n i t s
oceàniques	o s ə 'a n i k ə s
oci	'ɔ s i
ociós	o s i 'o s
oclusió	o k l u z i 'o
ocorre	o k 'o r ə
ocorreguda	o k o r ə ɣ 'u ð ə
ocorregut	o k o r ə ɣ 'u t
ocorreguts	o k o r ə ɣ 'u t s
ocorren	o k 'o r ə n
ocorria	o k o r 'i ə
ocre	'o k ɾ ə
ocres	'o k ɾ ə s
octal	o t t 'a l
octans	o t t 'a n s
octava	o t t 'a v ə
octavetes	o t t ə v 'ə t ə s
octet	o t t 'ə t
octets	o t t 'ə t s
octogenari	o t t o ʒ ə n 'a ɾ i
octogenària	o t t o ʒ ə n 'a ɾ i ə
octubre	o t t 'u β ɾ ə
ocular	o k u l 'a
oculars	o k u l 'a s
ocult	o k 'u l t
oculta	o k 'u l t ə
ocultació	o k u l t ə s i 'o
ocultar	o k u l t 'a
ocultat	o k u l t 'a t
ocultava	o k u l t 'a v ə
oculten	o k 'u l t ə n
ocultes	o k 'u l t ə s
ocultisme	o k u l t 'i z m ə
oculto	o k 'u l t o
ocults	o k 'u l s
ocupa	o k 'u p ə
ocupabilitat	o k u p ə β i l i t 'a t
ocupacional	o k u p ə s i o n 'a l
ocupacionals	o k u p ə s i o n 'a l s
ocupacions	o k u p ə s i 'o n s
ocupació	o k u p ə s i 'o
ocupada	o k u p 'a ð ə
ocupades	o k u p 'a ð ə s
ocupant	o k u p 'a n t
ocupants	o k u p 'a n s
ocupantse	o k u p 'a n s ə
ocupar	o k u p 'a
ocuparan	o k u p ə ɾ 'a n
ocuparia	o k u p ə ɾ 'i ə
ocuparien	o k u p ə ɾ 'i ə n
ocuparne	o k u p 'a ɾ n ə
ocuparnos	o k u p 'a ɾ n o s
ocuparse	o k u p 'a ɾ s ə
ocuparà	o k u p ə ɾ 'a
ocupat	o k u p 'a t
ocupats	o k u p 'a t s
ocupava	o k u p 'a v ə
ocupaven	o k u p 'a v ə n
ocupem	o k u p 'ə m
ocupen	o k 'u p ə n
ocupes	o k 'u p ə s
ocupi	o k 'u p i
ocupin	o k 'u p i n
ocupo	o k 'u p o
ocupà	o k u p 'a
ocupés	o k u p 'e s
ocurrent	o k u r 'e n t
ocurrents	o k u r 'e n s
ocurrència	o k u r 'ə n s i ə
ocurrències	o k u r 'ə n s i ə s
ocàs	o k 'a s
ocórrer	o k 'o r ə
oda	'o ð ə
odes	'o ð ə s
odi	'ɔ ð i
odia	o ð 'i ə
odiant	o ð i 'a n t
odiar	o ð i 'a
odiat	o ð i 'a t
odiats	o ð i 'a t s
odiava	o ð i 'a v ə
odiaven	o ð i 'a v ə n
odien	o ð 'i ə n
odies	o ð 'i ə s
odio	o ð 'i o
odiosa	o ð i 'o z ə
odioses	o ð i 'o z ə s
odiosos	o ð i 'o z o s
odis	'ɔ ð i s
odissea	o ð i s 'ɛ ə
odiós	o ð i 'o s
odontologia	o ð o n t o l o ʒ 'i ə
odòmetre	o ð 'ɔ m ə t ɾ ə
oest	o 'e s t
ofec	o f 'ɛ k
ofega	o f 'ə ɣ ə
ofegada	o f ə ɣ 'a ð ə
ofegades	o f ə ɣ 'a ð ə s
ofegament	o f ə ɣ ə m 'e n t
ofegant	o f ə ɣ 'a n t
ofegantse	o f ə ɣ 'a n s ə
ofegar	o f ə ɣ 'a
ofegarnos	o f ə ɣ 'a ɾ n o s
ofegarse	o f ə ɣ 'a ɾ s ə
ofegat	o f ə ɣ 'a t
ofegats	o f ə ɣ 'a t s
ofegava	o f ə ɣ 'a v ə
ofeguem	o f ə ɣ 'ə m
ofeguen	o f 'e ɣ ə n
ofendre	o f 'e n d ɾ ə
ofendres	o f 'e n d ɾ ə s
ofenen	o f 'e n ə n
ofengui	o f 'ɛ ŋ g i
ofenia	o f ə n 'i ə
ofensa	o f 'e n s ə
ofenses	o f 'e n s ə s
ofensiu	o f ə n s 'i w
ofensius	o f ə n s 'i w s
ofensiva	o f ə n s 'i v ə
ofensivament	o f ə n s ˌ i v ə m 'e n t
ofensives	o f ə n s 'i v ə s
ofereix	o f ə ɾ 'ə ʃ
ofereixen	o f ə ɾ 'ə ʃ ə n
ofereixes	o f ə ɾ 'ə ʃ ə s
ofereixi	o f ə ɾ 'ə ʃ i
ofereixin	o f ə ɾ 'ə ʃ i n
ofereixo	o f ə ɾ 'ə ʃ o
oferents	o f ə ɾ 'e n s
ofererirnos	o f ə ɾ ə ɾ 'i ɾ n o s
oferia	o f ə ɾ 'i ə
oferien	o f ə ɾ 'i ə n
oferim	o f ə ɾ 'i m
oferiment	o f ə ɾ i m 'e n t
oferiments	o f ə ɾ i m 'e n s
oferint	o f ə ɾ 'i n t
oferintli	o f ə ɾ 'i n l i
oferintlos	o f ə ɾ 'i n l o s
oferintne	o f ə ɾ 'i n n ə
oferintvos	o f ə ɾ 'i n t v o s
oferir	o f ə ɾ 'i
oferiran	o f ə ɾ i ɾ 'a n
oferirem	o f ə ɾ i ɾ 'ə m
oferiria	o f ə ɾ i ɾ 'i ə
oferirla	o f ə ɾ 'i ɾ l ə
oferirli	o f ə ɾ 'i ɾ l i
oferirlo	o f ə ɾ 'i ɾ l o
oferirlos	o f ə ɾ 'i ɾ l o s
oferirne	o f ə ɾ 'i ɾ n ə
oferirnos	o f ə ɾ 'i ɾ n o s
oferirse	o f ə ɾ 'i ɾ s ə
oferirvos	o f ə ɾ 'i ɾ v o s
oferirà	o f ə ɾ i ɾ 'a
oferissin	o f ə ɾ 'i s i n
ofert	o f 'ɛ ɾ t
oferta	o f 'ɛ ɾ t ə
ofertants	o f ə ɾ t 'a n s
ofertat	o f ə ɾ t 'a t
ofertats	o f ə ɾ t 'a t s
ofertes	o f 'ɛ ɾ t ə s
oferts	o f 'ɛ ɾ s
oferí	o f ə ɾ 'i
oferís	o f ə ɾ 'i s
ofeses	o f 'ə z ə s
ofesos	o f 'ə z o s
ofici	o f 'i s i
oficia	o f i s 'i ə
oficiada	o f i s i 'a ð ə
oficial	o f i s i 'a l
oficiales	o f i s i 'a l ə s
oficialisme	o f i s i ə l 'i z m ə
oficialista	o f i s i ə l 'i s t ə
oficialistes	o f i s i ə l 'i s t ə s
oficialitat	o f i s i ə l i t 'a t
oficialitza	o f i s i ə l 'i d z ə
oficialització	o f i s i ə l i d z ə s i 'o
oficialitzar	o f i s i ə l i d z 'a
oficialitzat	o f i s i ə l i d z 'a t
oficialitzats	o f i s i ə l i d z 'a t s
oficialitzi	o f i s i ə l 'i d z i
oficialment	o f i s i ˌ a l m 'e n t
oficials	o f i s i 'a l s
oficiant	o f i s i 'a n t
oficiants	o f i s i 'a n s
oficiar	o f i s i 'a
oficiarà	o f i s i ə ɾ 'a
oficiat	o f i s i 'a t
oficina	o f i s 'i n ə
oficines	o f i s 'i n ə s
oficinista	o f i s i n 'i s t ə
oficinistes	o f i s i n 'i s t ə s
oficio	o f i s 'i o
oficiosa	o f i s i 'o z ə
oficiosament	o f i s i ˌ o z ə m 'e n t
oficioses	o f i s i 'o z ə s
oficis	o f 'i s i s
oficiós	o f i s i 'o s
ofimàtic	o f i m 'a t i k
ofimàtica	o f i m 'a t i k ə
ofimàtics	o f i m 'a t i t s
ofrena	o f ɾ 'ə n ə
ofrenar	o f ɾ ə n 'a
ofrenes	o f ɾ 'ə n ə s
oftalmologia	o f t ə l m o l o ʒ 'i ə
oftalmòleg	o f t ə l m 'ɔ l ə k
oftalmòloga	o f t ə l m 'ɔ l o ɣ ə
ofuscar	o f u s k 'a
ofuscarvos	o f u s k 'a ɾ v o s
ofuscats	o f u s k 'a t s
ofusqueu	o f u s k 'ɛ w
ofèn	o f 'ə n
ofès	o f 'ə s
ogives	o ʒ 'i v ə s
ogre	'o ɣ ɾ ə
ogres	'o ɣ ɾ ə s
oh	'o
oi	'ɔ j
oient	o j 'e n t
oients	o j 'e n s
oir	o 'i
okupa	o k 'u p ə
okupes	o k 'u p ə s
oleat	o l e 'a t
oleoducte	o l ə o ð 'u t t ə
olfacte	o l f 'a t t ə
olfactius	o l f ə t t 'i w s
olfactiva	o l f ə t t 'i v ə
olga	'o l ɣ ə
oli	'ɔ l i
olia	o l 'i ə
oligarquia	o l i ɣ ə ɾ k 'i ə
oligarquies	o l i ɣ ə ɾ k 'i ə s
oligopolístic	o l i ɣ o p o l 'i s t i k
olimp	o l 'i m p
olimpisme	o l i m p 'i z m ə
olimpíada	o l i m p 'i ə ð ə
olimpíades	o l i m p 'i ə ð ə s
oliosos	o l i 'o z o s
olis	'ɔ l i s
olisbes	o l 'i z β ə s
oliu	o l 'i w
oliva	o l 'i v ə
oliver	o l i v 'e
olivera	o l i v 'e ɾ ə
oliverer	o l i v ə ɾ 'e
oliverera	o l i v ə ɾ 'e ɾ ə
oliveres	o l i v 'e ɾ ə s
olivers	o l i v 'e s
olives	o l 'i v ə s
olla	'o ʎ ə
oller	o ʎ 'e
olles	'o ʎ ə s
olor	o l 'o
olorant	o l o ɾ 'a n t
olorar	o l o ɾ 'a
olorava	o l o ɾ 'a v ə
oloreu	o l o ɾ 'ɛ w
oloro	o l 'o ɾ o
olors	o l 'o s
olot	o l 'ɔ t
olotina	o l o t 'i n ə
olotí	o l o t 'i
olímpic	o l 'i m p i k
olímpica	o l 'i m p i k ə
olímpicament	o l ˌ i m p i k ə m 'e n t
olímpics	o l 'i m p i t s
olímpiques	o l 'i m p i k ə s
om	'o m
omar	o m 'a
ombra	'o m b ɾ ə
ombrela	o m b ɾ 'ɛ l ə
ombres	'o m b ɾ ə s
ombrívol	o m b ɾ 'i v o l
ombrívola	o m b ɾ 'i v o l ə
ombrívols	o m b ɾ 'i v o l s
omega	o m 'ə ɣ ə
omet	o m 'ə t
ometre	o m 'ə t ɾ ə
ominoses	o m i n 'o z ə s
ominós	o m i n 'o s
omissions	o m i s i 'o n s
omissió	o m i s i 'o
omnidireccional	o n n i ð i ɾ ə t s i o n 'a l
omnipotent	o n n i p o t 'e n t
omnipotència	o n n i p o t 'ə n s i ə
omnipresent	o n n i p ɾ ə z 'e n t
omnipresents	o n n i p ɾ ə z 'e n s
omnipresència	o n n i p ɾ ə z 'ə n s i ə
omnímode	o n n 'i m o ð ə
omple	'o m p l ə
omplen	'o m p l ə n
omplert	o m p l 'ɛ ɾ t
omplertes	o m p l 'ɛ ɾ t ə s
omplerts	o m p l 'ɛ ɾ s
omples	'o m p l ə s
ompli	'ɔ m p l i
omplia	o m p l 'i ə
omplien	o m p l 'i ə n
omplim	o m p l 'i m
omplin	'ɔ m p l i n
omplint	o m p l 'i n t
omplintvos	o m p l 'i n t v o s
omplir	o m p l 'i
ompliran	o m p l i ɾ 'a n
omplireu	o m p l i ɾ 'ɛ w
ompliria	o m p l i ɾ 'i ə
omplirla	o m p l 'i ɾ l ə
omplirles	o m p l 'i ɾ l ə s
omplirli	o m p l 'i ɾ l i
omplirlos	o m p l 'i ɾ l o s
omplirnos	o m p l 'i ɾ n o s
omplirse	o m p l 'i ɾ s ə
omplirvos	o m p l 'i ɾ v o s
omplirà	o m p l i ɾ 'a
omplissin	o m p l 'i s i n
ompliu	o m p l 'i w
ompliuvos	o m p l 'i w v o s
omplo	'o m p l o
omplís	o m p l 'i s
omplíssiu	o m p l 'i s i w
omès	o m 'ə s
omís	o m 'i s
on	'o n
ona	'o n ə
onada	o n 'a ð ə
onades	o n 'a ð ə s
onanisme	o n ə n 'i z m ə
onanista	o n ə n 'i s t ə
onatge	o n 'a dʒ ə
oncle	'o ŋ k l ə
oncles	'o ŋ k l ə s
oncologia	o ŋ k o l o ʒ 'i ə
oncològica	o ŋ k o l 'ɔ ʒ i k ə
oncològiques	o ŋ k o l 'ɔ ʒ i k ə s
oncòleg	o ŋ k 'ɔ l ə k
onda	'o n d ə
ondulacions	o n d u l ə s i 'o n s
ondulada	o n d u l 'a ð ə
ondulades	o n d u l 'a ð ə s
ondulant	o n d u l 'a n t
ondular	o n d u l 'a
ondulat	o n d u l 'a t
ondulats	o n d u l 'a t s
onegi	o n 'ɛ ʒ i
oneja	o n 'ɛ ʒ ə
onejant	o n ə ʒ 'a n t
onejar	o n ə ʒ 'a
onejaven	o n ə ʒ 'a v ə n
onerosa	o n ə ɾ 'o z ə
oneroses	o n ə ɾ 'o z ə s
ones	'o n ə s
onomatopeia	o n o m ə t o p 'ə j ə
onomatopeies	o n o m ə t o p 'ə j ə s
onomàstic	o n o m 'a s t i k
onomàstica	o n o m 'a s t i k ə
ontologies	o n t o l o ʒ 'i ə s
ontològica	o n t o l 'ɔ ʒ i k ə
onu	'o n u
onyar	o ɲ 'a
onze	'o n z ə
onzena	o n z 'ə n ə
onzenes	o n z 'ə n ə s
onzens	o n z 'ə n s
onzes	'o n z ə s
onzè	o n z 'ə
oníric	o n 'i ɾ i k
onírica	o n 'i ɾ i k ə
onírics	o n 'i ɾ i t s
oníriques	o n 'i ɾ i k ə s
opac	o p 'a k
opaca	o p 'a k ə
opacitat	o p ə s i t 'a t
opacs	o p 'a t s
opaques	o p 'a k ə s
opcional	o t s i o n 'a l
opcionals	o t s i o n 'a l s
opcions	o t s i 'o n s
opció	o t s i 'o
opera	o p 'e ɾ ə
operacional	o p ə ɾ ə s i o n 'a l
operacionals	o p ə ɾ ə s i o n 'a l s
operacions	o p ə ɾ ə s i 'o n s
operació	o p ə ɾ ə s i 'o
operada	o p ə ɾ 'a ð ə
operador	o p ə ɾ ə ð 'o
operadora	o p ə ɾ ə ð 'o ɾ ə
operadores	o p ə ɾ ə ð 'o ɾ ə s
operadors	o p ə ɾ ə ð 'o s
operant	o p ə ɾ 'a n t
operar	o p ə ɾ 'a
operaran	o p ə ɾ ə ɾ 'a n
operari	o p ə ɾ 'a ɾ i
operaria	o p ə ɾ ə ɾ 'i ə
operaris	o p ə ɾ 'a ɾ i s
operarlo	o p ə ɾ 'a ɾ l o
operarse	o p ə ɾ 'a ɾ s ə
operarà	o p ə ɾ ə ɾ 'a
operat	o p ə ɾ 'a t
operatiu	o p ə ɾ ə t 'i w
operatius	o p ə ɾ ə t 'i w s
operativa	o p ə ɾ ə t 'i v ə
operatives	o p ə ɾ ə t 'i v ə s
operativitat	o p ə ɾ ə t i v i t 'a t
operats	o p ə ɾ 'a t s
operava	o p ə ɾ 'a v ə
operaven	o p ə ɾ 'a v ə n
operen	o p 'e ɾ ə n
opereta	o p ə ɾ 'ə t ə
operetes	o p ə ɾ 'ə t ə s
operi	o p 'ɛ ɾ i
operin	o p 'ɛ ɾ i n
operària	o p ə ɾ 'a ɾ i ə
operístic	o p ə ɾ 'i s t i k
operística	o p ə ɾ 'i s t i k ə
operístics	o p ə ɾ 'i s t i t s
operístiques	o p ə ɾ 'i s t i k ə s
opi	'ɔ p i
opiacis	o p i 'a s i s
opina	o p 'i n ə
opinable	o p i n 'a b b l ə
opinables	o p i n 'a b b l ə s
opinadors	o p i n ə ð 'o s
opinant	o p i n 'a n t
opinar	o p i n 'a
opinat	o p i n 'a t
opinava	o p i n 'a v ə
opinaven	o p i n 'a v ə n
opinem	o p i n 'ə m
opinen	o p 'i n ə n
opines	o p 'i n ə s
opineu	o p i n 'ɛ w
opini	o p 'i n i
opinin	o p 'i n i n
opinions	o p i n i 'o n s
opinió	o p i n i 'o
opino	o p 'i n o
opis	'ɔ p i s
oponent	o p o n 'e n t
oponents	o p o n 'e n s
oportuna	o p o ɾ t 'u n ə
oportunament	o p o ɾ t ˌ u n ə m 'e n t
oportunes	o p o ɾ t 'u n ə s
oportunisme	o p o ɾ t u n 'i z m ə
oportunismes	o p o ɾ t u n 'i z m ə s
oportunista	o p o ɾ t u n 'i s t ə
oportunistes	o p o ɾ t u n 'i s t ə s
oportunitat	o p o ɾ t u n i t 'a t
oportunitats	o p o ɾ t u n i t 'a t s
oportuns	o p o ɾ t 'u n s
oportú	o p o ɾ t 'u
oposa	o p 'o z ə
oposada	o p o z 'a ð ə
oposades	o p o z 'a ð ə s
oposantse	o p o z 'a n s ə
oposar	o p o z 'a
oposaran	o p o z ə ɾ 'a n
oposarem	o p o z ə ɾ 'ə m
oposarhi	o p o z 'a ɾ i
oposaria	o p o z ə ɾ 'i ə
oposarse	o p o z 'a ɾ s ə
oposarshi	o p o z 'a ɾ s i
oposarà	o p o z ə ɾ 'a
oposat	o p o z 'a t
oposats	o p o z 'a t s
oposava	o p o z 'a v ə
oposaven	o p o z 'a v ə n
oposem	o p o z 'ə m
oposen	o p 'o z ə n
oposeu	o p o z 'ɛ w
oposi	o p 'ɔ z i
oposicions	o p o z i s i 'o n s
oposició	o p o z i s i 'o
oposin	o p 'ɔ z i n
opositor	o p o z i t 'o
opositora	o p o z i t 'o ɾ ə
opositors	o p o z i t 'o s
oposo	o p 'o z o
oposés	o p o z 'e s
oppida	o p p 'i ð ə
opressions	o p ɾ ə s i 'o n s
opressiu	o p ɾ ə s 'i w
opressiva	o p ɾ ə s 'i v ə
opressives	o p ɾ ə s 'i v ə s
opressió	o p ɾ ə s i 'o
opressor	o p ɾ ə s 'o
opressors	o p ɾ ə s 'o s
oprimeix	o p ɾ i m 'ə ʃ
oprimeixen	o p ɾ i m 'ə ʃ ə n
oprimida	o p ɾ i m 'i ð ə
oprimides	o p ɾ i m 'i ð ə s
oprimir	o p ɾ i m 'i
oprimit	o p ɾ i m 'i t
oprimits	o p ɾ i m 'i t s
oprobi	o p ɾ 'ɔ β i
opta	'o t t ə
optant	o t t 'a n t
optar	o t t 'a
optaran	o t t ə ɾ 'a n
optarhi	o t t 'a ɾ i
optaria	o t t ə ɾ 'i ə
optarà	o t t ə ɾ 'a
optaré	o t t ə ɾ 'e
optaríem	o t t ə ɾ 'i ə m
optat	o t t 'a t
optatiu	o t t ə t 'i w
optativa	o t t ə t 'i v ə
optatives	o t t ə t 'i v ə s
optava	o t t 'a v ə
optaven	o t t 'a v ə n
optem	o t t 'ə m
opten	'o t t ə n
optessin	o t t 'e s i n
opti	'ɔ t t i
optimisme	o t t i m 'i z m ə
optimista	o t t i m 'i s t ə
optimistes	o t t i m 'i s t ə s
optimització	o t t i m i d z ə s i 'o
optimitzar	o t t i m i d z 'a
optimitzat	o t t i m i d z 'a t
optimitzen	o t t i m 'i d z ə n
optin	'ɔ t t i n
opto	'o t t o
optà	o t t 'a
optés	o t t 'e s
opulent	o p u l 'e n t
opulenta	o p u l 'e n t ə
opulentes	o p u l 'e n t ə s
opulents	o p u l 'e n s
opulència	o p u l 'ə n s i ə
opuscle	o p 'u s k l ə
opuscles	o p 'u s k l ə s
oques	'o k ə s
or	'o
ora	'o ɾ ə
oracions	o ɾ ə s i 'o n s
oració	o ɾ ə s i 'o
oracle	o ɾ 'a k l ə
oracles	o ɾ 'a k l ə s
orador	o ɾ ə ð 'o
oradors	o ɾ ə ð 'o s
oral	o ɾ 'a l
oralescrit	o ɾ ə l ə s k ɾ 'i t
oralitat	o ɾ ə l i t 'a t
oralment	o ɾ ˌ a l m 'e n t
orals	o ɾ 'a l s
orangutan	o ɾ ə ŋ g u t 'a n
orangutans	o ɾ ə ŋ g u t 'a n s
