a	ə
escriptoris	ə s k ɾ i p t 'ɔ ɾ i s
escriptors	ə s k ɾ i p t 'o s
escriptura	ə s k ɾ i p t 'u ɾ ə
escripturat	ə s k ɾ i p t u ɾ 'a t
escriptures	ə s k ɾ i p t 'u ɾ ə s
escrit	ə s k ɾ 'i t
escrita	ə s k ɾ 'i t ə
escrites	ə s k ɾ 'i t ə s
escrits	ə s k ɾ 'i t s
escriu	ə s k ɾ 'i w
escriuen	ə s k ɾ 'i w ə n
escriure	ə s k ɾ 'i w ɾ ə
escriurehi	ə s k ɾ i w ɾ 'e i
escriurel	ə s k ɾ i w ɾ 'ɛ l
escriurela	ə s k ɾ i w ɾ 'ɛ l ə
escriuren	ə s k ɾ 'i w ɾ ə n
escriuret	ə s k ɾ i w ɾ 'ɛ t
escriuria	ə s k ɾ i w ɾ 'i ə
escriuries	ə s k ɾ i w ɾ 'i ə s
escriurà	ə s k ɾ i w ɾ 'a
escriuré	ə s k ɾ i w ɾ 'e
escrius	ə s k ɾ 'i w s
escrivia	ə s k ɾ i β 'i ə
escrivien	ə s k ɾ i β 'i ə n
escrivim	ə s k ɾ i β 'i m
escrivint	ə s k ɾ i β 'i n
escrivintte	ə s k ɾ i β 'i n t ə
escriviu	ə s k ɾ i β 'i w
escriví	ə s k ɾ i β 'i
escrivís	ə s k ɾ i β 'i s
escruixidor	ə s k ɾ u ʃ i ð 'o
escruixidora	ə s k ɾ u ʃ i ð 'o ɾ ə
escruixidores	ə s k ɾ u ʃ i ð 'o ɾ ə s
escruixir	ə s k ɾ u ʃ 'i
escrupolosa	ə s k ɾ u p u l 'o z ə
escrupolós	ə s k ɾ u p u l 'o s
escrutar	ə s k ɾ u t 'a
escrutat	ə s k ɾ u t 'a t
escrutats	ə s k ɾ u t 'a t s
escrutini	ə s k ɾ u t 'i n i
escrutinis	ə s k ɾ u t 'i n i s
escrúpol	ə s k ɾ 'u p u l
escrúpols	ə s k ɾ 'u p u l s
escuda	ə s k 'u ð ə
escudantse	ə s k u ð 'a n s ə
escudar	ə s k u ð 'a
escudarse	ə s k u ð 'a r s ə
escudat	ə s k u ð 'a t
escudella	ə s k u ð 'e ʎ ə
escudellers	ə s k u ð ə ʎ 'e s
escudelles	ə s k u ð 'e ʎ ə s
escuden	ə s k 'u ð ə n
escuder	ə s k u ð 'e
escuderia	ə s k u ð ə ɾ 'i ə
escuderies	ə s k u ð ə ɾ 'i ə s
escull	ə s k 'u ʎ
escullen	ə s k 'u ʎ ə n
escullera	ə s k u ʎ 'e ɾ ə
esculleres	ə s k u ʎ 'e ɾ ə s
esculli	ə s k 'u ʎ i
escullin	ə s k 'u ʎ i n
esculls	ə s k 'u ʎ s
esculpeix	ə s k u l p 'ɛ ʃ
esculpida	ə s k u l p 'i ð ə
esculpides	ə s k u l p 'i ð ə s
esculpir	ə s k u l p 'i
esculpit	ə s k u l p 'i t
esculpits	ə s k u l p 'i t s
escultor	ə s k u l t 'o
escultora	ə s k u l t 'o ɾ ə
escultors	ə s k u l t 'o s
escultura	ə s k u l t 'u ɾ ə
escultures	ə s k u l t 'u ɾ ə s
escultòric	ə s k u l t 'ɔ ɾ i k
escultòrica	ə s k u l t 'ɔ ɾ i k ə
escultòrics	ə s k u l t 'ɔ ɾ i k s
escultòriques	ə s k u l t 'ɔ ɾ i k ə s
escuma	ə s k 'u m ə
escumes	ə s k 'u m ə s
escumós	ə s k u m 'o s
escup	ə s k 'u p
escupo	ə s k 'u p u
escurar	ə s k u ɾ 'a
escurcen	ə s k 'u r s ə n
escurci	ə s k 'u r s i
escuren	ə s k 'u ɾ ə n
escurça	ə s k 'u r s ə
escurçada	ə s k u r s 'a ð ə
escurçament	ə s k u r s ə m 'e n
escurçant	ə s k u r s 'a n
escurçar	ə s k u r s 'a
escurçarles	ə s k u r s 'a r l ə s
escurçarà	ə s k u r s ə ɾ 'a
escurçat	ə s k u r s 'a t
escurçava	ə s k u r s 'a β ə
escurçó	ə s k u r s 'o
escut	ə s k 'u t
escuts	ə s k 'u t s
escàndol	ə s k 'a n d u l
escàndols	ə s k 'a n d u l s
escàner	ə s k 'a n ə
escàners	ə s k 'a n ə s
escàs	ə s k 'a s
escènic	ə s 'ɛ n i k
escènica	ə s 'ɛ n i k ə
escènics	ə s 'ɛ n i k s
escèniques	ə s 'ɛ n i k ə s
escèptic	ə s 'ɛ p t i k
escèptica	ə s 'ɛ p t i k ə
escèptics	ə s 'ɛ p t i k s
escòcia	ə s k 'ɔ s i ə
escòria	ə s k 'ɔ ɾ i ə
escó	ə s k 'o
escúter	ə s k 'u t ə
esdevenen	ə z ð ə β 'e n ə n
esdevenia	ə z ð ə β ə n 'i ə
esdevenidor	ə z ð ə β ə n i ð 'o
esdevenim	ə z ð ə β ə n 'i m
esdeveniment	ə z ð ə β ə n i m 'e n
esdeveniments	ə z ð ə β ə n i m 'e n s
esdevenint	ə z ð ə β ə n 'i n
esdevenir	ə z ð ə β ə n 'i
esdevenirne	ə z ð ə β ə n 'i r n ə
esdevenirse	ə z ð ə β ə n 'i r s ə
esdevindran	ə z ð ə β i n d ɾ 'a n
esdevindria	ə z ð ə β i n d ɾ 'i ə
esdevindrien	ə z ð ə β i n d ɾ 'i ə n
esdevindrà	ə z ð ə β i n d ɾ 'a
esdevinguda	ə z ð ə β i ŋ g 'u ð ə
esdevingudes	ə z ð ə β i ŋ g 'u ð ə s
esdevingui	ə z ð ə β 'i ŋ g i
esdevinguin	ə z ð ə β 'i ŋ g i n
esdevingut	ə z ð ə β i ŋ g 'u t
esdevinguts	ə z ð ə β i ŋ g 'u t s
esdevingué	ə z ð ə β i ŋ g 'e
esdevingués	ə z ð ə β i ŋ g 'e s
esdevé	ə z ð ə β 'e
esfera	ə s f 'e ɾ ə
esferes	ə s f 'e ɾ ə s
esfereïda	ə s f ə ɾ ə 'i ð ə
esfereïdor	ə s f ə ɾ ə i ð 'o
esfereïdora	ə s f ə ɾ ə i ð 'o ɾ ə
esfereïdores	ə s f ə ɾ ə i ð 'o ɾ ə s
esfereïdors	ə s f ə ɾ ə i ð 'o s
esfinx	ə s f 'i n ʃ
esfondrament	ə s f u n d ɾ ə m 'e n
esfondraments	ə s f u n d ɾ ə m 'e n s
esfondrar	ə s f u n d ɾ 'a
esfondrarse	ə s f u n d ɾ 'a r s ə
esfondrat	ə s f u n d ɾ 'a t
esfondraven	ə s f u n d ɾ 'a β ə n
esforcem	ə s f u r s 'ɛ m
esforcen	ə s f 'ɔ r s ə n
esforceu	ə s f u r s 'ɛ w
esforci	ə s f 'ɔ r s i
esforcin	ə s f 'ɔ r s i n
esforç	ə s f 'ɔ r s
esforça	ə s f 'ɔ r s ə
esforçada	ə s f u r s 'a ð ə
esforçar	ə s f u r s 'a
esforçarnos	ə s f u r s 'a r n u s
esforçarse	ə s f u r s 'a r s ə
esforçarvos	ə s f u r s 'a ɾ β u s
esforçarà	ə s f u r s ə ɾ 'a
esforçat	ə s f u r s 'a t
esforçats	ə s f u r s 'a t s
esforçava	ə s f u r s 'a β ə
esforçaven	ə s f u r s 'a β ə n
esforços	ə s f 'ɔ r s u s
esfuma	ə s f 'u m ə
esfumar	ə s f u m 'a
esfumat	ə s f u m 'a t
esfèrica	ə s f 'ɛ ɾ i k ə
esgarrapada	ə z ɣ ə r ə p 'a ð ə
esgarrapades	ə z ɣ ə r ə p 'a ð ə s
esgarrapant	ə z ɣ ə r ə p 'a n
esgarrapar	ə z ɣ ə r ə p 'a
esgarrapat	ə z ɣ ə r ə p 'a t
esgarrapen	ə z ɣ ə r 'a p ə n
esgarrifa	ə z ɣ ə r 'i f ə
esgarrifances	ə z ɣ ə r i f 'a n s ə s
esgarrifança	ə z ɣ ə r i f 'a n s ə
esgarrifar	ə z ɣ ə r i f 'a
esgarrifat	ə z ɣ ə r i f 'a t
esgarrifosa	ə z ɣ ə r i f 'o z ə
esgarrifoses	ə z ɣ ə r i f 'o z ə s
esgarrifosos	ə z ɣ ə r i f 'o z u s
esgarrifós	ə z ɣ ə r i f 'o s
esglai	ə z ɣ l 'a j
esglaiada	ə z ɣ l ə j 'a ð ə
esglaonada	ə z ɣ l ə u n 'a ð ə
esglaonat	ə z ɣ l ə u n 'a t
esglaons	ə z ɣ l ə 'o n s
esglaó	ə z ɣ l ə 'o
església	ə z ɣ l 'e z i ə
esglésies	ə z ɣ l 'e z i ə s
esgota	ə z ɣ 'ɔ t ə
esgotada	ə z ɣ u t 'a ð ə
esgotades	ə z ɣ u t 'a ð ə s
esgotador	ə z ɣ u t ə ð 'o
esgotadora	ə z ɣ u t ə ð 'o ɾ ə
esgotadores	ə z ɣ u t ə ð 'o ɾ ə s
esgotament	ə z ɣ u t ə m 'e n
esgotant	ə z ɣ u t 'a n
esgotar	ə z ɣ u t 'a
esgotarse	ə z ɣ u t 'a r s ə
esgotarà	ə z ɣ u t ə ɾ 'a
esgotat	ə z ɣ u t 'a t
esgotats	ə z ɣ u t 'a t s
esgotava	ə z ɣ u t 'a β ə
esgoten	ə z ɣ 'o t ə n
esgoti	ə z ɣ 'o t i
esgrafiats	ə z ɣ ɾ ə f i 'a t s
esgrima	ə z ɣ ɾ 'i m ə
esgrimeix	ə z ɣ ɾ i m 'ɛ ʃ
esgrimeixen	ə z ɣ ɾ i m 'ɛ ʃ ə n
esgrimia	ə z ɣ ɾ i m 'i ə
esgrimida	ə z ɣ ɾ i m 'i ð ə
esgrimides	ə z ɣ ɾ i m 'i ð ə s
esgrimien	ə z ɣ ɾ i m 'i ə n
esgrimint	ə z ɣ ɾ i m 'i n
esgrimir	ə z ɣ ɾ i m 'i
esgrimit	ə z ɣ ɾ i m 'i t
esgrimits	ə z ɣ ɾ i m 'i t s
esgrogueintse	ə z ɣ ɾ u ɣ 'ɛ j n s ə
esgrogueït	ə z ɣ ɾ u ɣ ə 'i t
esguard	ə z ɣ w 'a r t
esguerrat	ə z ɣ ə r 'a t
esguerro	ə z ɣ 'ɛ r u
eslau	ə z l 'a w
eslaus	ə z l 'a w s
eslava	ə z l 'a β ə
eslaves	ə z l 'a β ə s
esllanguiment	ə z ʎ ə ŋ g i m 'e n
esllavissada	ə z ʎ ə β i s 'a ð ə
esllavissades	ə z ʎ ə β i s 'a ð ə s
eslora	ə z l 'o ɾ ə
eslovac	ə z l u β 'a k
eslovaca	ə z l u β 'a k ə
eslovena	ə z l u β 'ɛ n ə
eslovens	ə z l u β 'ɛ n s
eslovàquia	ə z l u β 'a k i ə
eslovè	ə z l u β 'ɛ
eslovènia	ə z l u β 'ɛ n i ə
eslàlom	ə z l 'a l u m
eslàloms	ə z l 'a l u m s
eslògan	ə z l 'ɔ ɣ ə n
eslògans	ə z l 'ɔ ɣ ə n s
esma	'ɛ z m ə
esmaixada	ə z m ə ʃ 'a ð ə
esmaixades	ə z m ə ʃ 'a ð ə s
esmaragda	ə z m ə ɾ 'a g d ə
esmena	ə z m 'ɛ n ə
esmenada	ə z m ə n 'a ð ə
esmenar	ə z m ə n 'a
esmenaria	ə z m ə n ə ɾ 'i ə
esmenaries	ə z m ə n ə ɾ 'i ə s
esmenarà	ə z m ə n ə ɾ 'a
esmenat	ə z m ə n 'a t
esmenes	ə z m 'ɛ n ə s
esmeni	ə z m 'ɛ n i
esment	ə z m 'e n
esmenta	ə z m 'e n t ə
esmentada	ə z m ə n t 'a ð ə
esmentades	ə z m ə n t 'a ð ə s
esmentant	ə z m ə n t 'a n
esmentar	ə z m ə n t 'a
esmentarlo	ə z m ə n t 'a r l u
esmentarne	ə z m ə n t 'a r n ə
esmentaré	ə z m ə n t ə ɾ 'e
esmentat	ə z m ə n t 'a t
esmentats	ə z m ə n t 'a t s
esmentava	ə z m ə n t 'a β ə
esmentem	ə z m ə n t 'ɛ m
esmenten	ə z m 'e n t ə n
esmentes	ə z m 'e n t ə s
esmenti	ə z m 'e n t i
esmento	ə z m 'e n t u
esmercen	ə z m 'ɛ r s ə n
esmerci	ə z m 'ɛ r s i
esmerçant	ə z m ə r s 'a n
esmerçar	ə z m ə r s 'a
esmerçat	ə z m ə r s 'a t
esmicola	ə z m i k 'o l ə
esmicolar	ə z m i k u l 'a
esmicolat	ə z m i k u l 'a t
esmolada	ə z m u l 'a ð ə
esmolades	ə z m u l 'a ð ə s
esmolant	ə z m u l 'a n
esmolar	ə z m u l 'a
esmolat	ə z m u l 'a t
esmolats	ə z m u l 'a t s
esmorteir	ə z m u r t ə 'i
esmorteïda	ə z m u r t ə 'i ð ə
esmorteït	ə z m u r t ə 'i t
esmorteïts	ə z m u r t ə 'i t s
esmortida	ə z m u r t 'i ð ə
esmorzar	ə z m u r z 'a
esmorzars	ə z m u r z 'a s
esmorzava	ə z m u r z 'a β ə
esmorzen	ə z m 'o r z ə n
esmuny	ə z m 'u ɲ
esmunyir	ə z m u ɲ 'i
esmunyirse	ə z m u ɲ 'i r s ə
esmòquing	ə z m 'ɔ k i ŋ
esnob	ə z n 'ɔ p
esnobisme	ə z n u β 'i z m ə
eso	'e s o
esoterisme	ə z u t ə ɾ 'i z m ə
esotèric	ə z u t 'ɛ ɾ i k
esotèrica	ə z u t 'ɛ ɾ i k ə
espacial	ə s p ə s i 'a l
espacials	ə s p ə s i 'a l s
espagueti	ə s p ə ɣ 'ɛ t i
espaguetis	ə s p ə ɣ 'ɛ t i s
espai	ə s p 'a j
espaial	ə s p ə j 'a l
espaials	ə s p ə j 'a l s
espaiat	ə s p ə j 'a t
espaiosa	ə s p ə j 'o z ə
espais	ə s p 'a j s
espaitemporal	ə s p ə j t ə m p u ɾ 'a l
espaiós	ə s p ə j 'o s
espant	ə s p 'a n
espanta	ə s p 'a n t ə
espantada	ə s p ə n t 'a ð ə
espantar	ə s p ə n t 'a
espantat	ə s p ə n t 'a t
espantats	ə s p ə n t 'a t s
espantava	ə s p ə n t 'a β ə
espanten	ə s p 'a n t ə n
espanteu	ə s p ə n t 'ɛ w
espanti	ə s p 'a n t i
espanto	ə s p 'a n t u
espantosa	ə s p ə n t 'o z ə
espantoses	ə s p ə n t 'o z ə s
espantosos	ə s p ə n t 'o z u s
espantós	ə s p ə n t 'o s
espanya	ə s p 'a ɲ ə
espanyes	ə s p 'a ɲ ə s
espanyol	ə s p ə ɲ 'ɔ l
espanyola	ə s p ə ɲ 'ɔ l ə
espanyolades	ə s p ə ɲ u l 'a ð ə s
espanyoles	ə s p ə ɲ 'ɔ l ə s
espanyolet	ə s p ə ɲ u l 'ɛ t
espanyolisme	ə s p ə ɲ u l 'i z m ə
espanyolista	ə s p ə ɲ u l 'i s t ə
espanyolistes	ə s p ə ɲ u l 'i s t ə s
espanyolitat	ə s p ə ɲ u l i t 'a t
espanyolització	ə s p ə ɲ u l i d z ə s i 'o
espanyolitzant	ə s p ə ɲ u l i d z 'a n
espanyolitzants	ə s p ə ɲ u l i d z 'a n s
espanyolitzar	ə s p ə ɲ u l i d z 'a
espanyolitzat	ə s p ə ɲ u l i d z 'a t
espanyols	ə s p ə ɲ 'ɔ l s
espardenya	ə s p ə ɾ ð 'ɛ ɲ ə
espardenyes	ə s p ə ɾ ð 'ɛ ɲ ə s
esparracada	ə s p ə r ə k 'a ð ə
esparracar	ə s p ə r ə k 'a
esparsa	ə s p 'a r s ə
esparverada	ə s p ə ɾ β ə ɾ 'a ð ə
esparverat	ə s p ə ɾ β ə ɾ 'a t
espasa	ə s p 'a z ə
espases	ə s p 'a z ə s
espasmes	ə s p 'a z m ə s
espaterrant	ə s p ə t ə r 'a n
espaterrants	ə s p ə t ə r 'a n s
espatlla	ə s p 'a ʎ ʎ ə
espatllant	ə s p ə ʎ ʎ 'a n
espatllar	ə s p ə ʎ ʎ 'a
espatllat	ə s p ə ʎ ʎ 'a t
espatllen	ə s p 'a ʎ ʎ ə n
espatlles	ə s p 'a ʎ ʎ ə s
espatlli	ə s p 'a ʎ ʎ i
espavilada	ə s p ə β i l 'a ð ə
espavilar	ə s p ə β i l 'a
espavilarse	ə s p ə β i l 'a r s ə
espavilat	ə s p ə β i l 'a t
espavilats	ə s p ə β i l 'a t s
especial	ə s p ə s i 'a l
especialista	ə s p ə s i ə l 'i s t ə
especialistes	ə s p ə s i ə l 'i s t ə s
especialitat	ə s p ə s i ə l i t 'a t
especialitats	ə s p ə s i ə l i t 'a t s
especialitzacions	ə s p ə s i ə l i d z ə s i 'o n s
especialització	ə s p ə s i ə l i d z ə s i 'o
especialitzada	ə s p ə s i ə l i d z 'a ð ə
especialitzades	ə s p ə s i ə l i d z 'a ð ə s
especialitzant	ə s p ə s i ə l i d z 'a n
especialitzantse	ə s p ə s i ə l i d z 'a n s ə
especialitzar	ə s p ə s i ə l i d z 'a
especialitzarse	ə s p ə s i ə l i d z 'a r s ə
especialitzarà	ə s p ə s i ə l i d z ə ɾ 'a
especialitzat	ə s p ə s i ə l i d z 'a t
especialitzats	ə s p ə s i ə l i d z 'a t s
especialmente	ə s p ə s i ə l m 'e n t ə
especials	ə s p ə s i 'a l s
especies	ə s p ə s 'i ə s
especifica	ə s p ə s i f 'i k ə
especificacions	ə s p ə s i f i k ə s i 'o n s
especificació	ə s p ə s i f i k ə s i 'o
especificada	ə s p ə s i f i k 'a ð ə
especificades	ə s p ə s i f i k 'a ð ə s
especificant	ə s p ə s i f i k 'a n
especificar	ə s p ə s i f i k 'a
especificarla	ə s p ə s i f i k 'a r l ə
especificarne	ə s p ə s i f i k 'a r n ə
especificat	ə s p ə s i f i k 'a t
especificava	ə s p ə s i f i k 'a β ə
especificitat	ə s p ə s i f i s i t 'a t
especificitats	ə s p ə s i f i s i t 'a t s
especifiquen	ə s p ə s i f 'i k ə n
especifiqueu	ə s p ə s i f i k 'ɛ w
especifiqui	ə s p ə s i f 'i k i
especifiquin	ə s p ə s i f 'i k i n
espectacle	ə s p ə k t 'a k l ə
espectacles	ə s p ə k t 'a k l ə s
espectacular	ə s p ə k t ə k u l 'a r
espectacularitat	ə s p ə k t ə k u l ə ɾ i t 'a t
espectacularització	ə s p ə k t ə k u l ə ɾ i d z ə s i 'o
espectaculars	ə s p ə k t ə k u l 'a r s
espectador	ə s p ə k t ə ð 'o
espectadora	ə s p ə k t ə ð 'o ɾ ə
espectadores	ə s p ə k t ə ð 'o ɾ ə s
espectadors	ə s p ə k t ə ð 'o s
espectadorsinternautes	ə s p ə k t ə ð u r s i n t ə r n 'a w t ə s
espectral	ə s p ə k t ɾ 'a l
espectre	ə s p 'e k t ɾ ə
espectres	ə s p 'e k t ɾ ə s
espectròmetre	ə s p ə k t ɾ 'ɔ m ə t ɾ ə
especula	ə s p ə k 'u l ə
especulacions	ə s p ə k u l ə s i 'o n s
especulació	ə s p ə k u l ə s i 'o
especulador	ə s p ə k u l ə ð 'o
especuladora	ə s p ə k u l ə ð 'o ɾ ə
especuladores	ə s p ə k u l ə ð 'o ɾ ə s
especuladors	ə s p ə k u l ə ð 'o s
especulant	ə s p ə k u l 'a n
especular	ə s p ə k u l 'a
especulat	ə s p ə k u l 'a t
especulatiu	ə s p ə k u l ə t 'i w
especulatius	ə s p ə k u l ə t 'i w s
especulativa	ə s p ə k u l ə t 'i β ə
especulatives	ə s p ə k u l ə t 'i β ə s
especulava	ə s p ə k u l 'a β ə
especulaven	ə s p ə k u l 'a β ə n
especulen	ə s p ə k 'u l ə n
especuli	ə s p ə k 'u l i
específic	ə s p ə s 'i f i k
específica	ə s p ə s 'i f i k ə
específics	ə s p ə s 'i f i k s
específiques	ə s p ə s 'i f i k ə s
espeleologia	ə s p ə l ə u l u ʒ 'i ə
espeleòleg	ə s p ə l ə 'ɔ l ə k
espeleòlegs	ə s p ə l ə 'ɔ l ə k s
espellifat	ə s p ə ʎ i f 'a t
espelma	ə s p 'ɛ l m ə
espelmes	ə s p 'ɛ l m ə s
espera	ə s p 'e ɾ ə
esperable	ə s p ə ɾ 'a b b l ə
esperada	ə s p ə ɾ 'a ð ə
esperades	ə s p ə ɾ 'a ð ə s
esperadíssima	ə s p ə ɾ ə ð 'i s i m ə
esperam	ə s p ə ɾ 'a m
esperances	ə s p ə ɾ 'a n s ə s
esperant	ə s p ə ɾ 'a n
esperantlos	ə s p ə ɾ 'a n l l u s
esperanto	ə s p ə ɾ 'a n t u
esperantvos	ə s p ə ɾ 'a n d b u s
esperança	ə s p ə ɾ 'a n s ə
esperançada	ə s p ə ɾ ə n s 'a ð ə
esperançades	ə s p ə ɾ ə n s 'a ð ə s
esperançador	ə s p ə ɾ ə n s ə ð 'o
esperançadora	ə s p ə ɾ ə n s ə ð 'o ɾ ə
esperançadores	ə s p ə ɾ ə n s ə ð 'o ɾ ə s
esperançadors	ə s p ə ɾ ə n s ə ð 'o s
esperançat	ə s p ə ɾ ə n s 'a t
esperançats	ə s p ə ɾ ə n s 'a t s
esperar	ə s p ə ɾ 'a
esperaran	ə s p ə ɾ ə ɾ 'a n
esperarem	ə s p ə ɾ ə ɾ 'ɛ m
esperaria	ə s p ə ɾ ə ɾ 'i ə
esperarien	ə s p ə ɾ ə ɾ 'i ə n
esperaries	ə s p ə ɾ ə ɾ 'i ə s
esperarme	ə s p ə ɾ 'a r m ə
esperarne	ə s p ə ɾ 'a r n ə
esperarse	ə s p ə ɾ 'a r s ə
esperarte	ə s p ə ɾ 'a r t ə
esperarvos	ə s p ə ɾ 'a ɾ β u s
esperarà	ə s p ə ɾ ə ɾ 'a
esperaré	ə s p ə ɾ ə ɾ 'e
esperat	ə s p ə ɾ 'a t
esperats	ə s p ə ɾ 'a t s
esperava	ə s p ə ɾ 'a β ə
esperaven	ə s p ə ɾ 'a β ə n
esperaves	ə s p ə ɾ 'a β ə s
esperdenyes	ə s p ə ɾ ð 'ɛ ɲ ə s
esperem	ə s p ə ɾ 'ɛ m
esperen	ə s p 'e ɾ ə n
esperes	ə s p 'e ɾ ə s
esperessin	ə s p ə ɾ 'e s i n
esperessis	ə s p ə ɾ 'e s i s
espereu	ə s p ə ɾ 'ɛ w
esperi	ə s p 'e ɾ i
esperin	ə s p 'e ɾ i n
esperis	ə s p 'e ɾ i s
esperit	ə s p ə ɾ 'i t
esperits	ə s p ə ɾ 'i t s
esperma	ə s p 'ɛ r m ə
espermatozoide	ə s p ə r m ə t u z 'ɔ j ð ə
espermatozoides	ə s p ə r m ə t u z 'ɔ j ð ə s
espermatozou	ə s p ə r m ə t u z 'ɔ w
espermatozous	ə s p ə r m ə t u z 'ɔ w s
espero	ə s p 'e ɾ u
esperona	ə s p ə ɾ 'o n ə
esperonada	ə s p ə ɾ u n 'a ð ə
esperonar	ə s p ə ɾ u n 'a
esperonat	ə s p ə ɾ u n 'a t
esperonats	ə s p ə ɾ u n 'a t s
esperpent	ə s p ə r p 'e n
esperpèntic	ə s p ə r p 'ɛ n t i k
esperpèntica	ə s p ə r p 'ɛ n t i k ə
esperàvem	ə s p ə ɾ 'a β ə m
esperés	ə s p ə ɾ 'e s
esperó	ə s p ə ɾ 'o
espessa	ə s p 'ɛ s ə
espessor	ə s p ə s 'o
espessos	ə s p 'ɛ s u s
espetec	ə s p ə t 'ɛ k
espetecs	ə s p ə t 'ɛ k s
espia	ə s p 'i ə
espiant	ə s p i 'a n
espiar	ə s p i 'a
espiarlo	ə s p i 'a r l u
espiat	ə s p i 'a t
espiell	ə s p i 'e ʎ
espies	ə s p 'i ə s
espiga	ə s p 'i ɣ ə
espigoladora	ə s p i ɣ u l ə ð 'o ɾ ə
espigons	ə s p i ɣ 'o n s
espigó	ə s p i ɣ 'o
espill	ə s p 'i ʎ
espills	ə s p 'i ʎ s
espina	ə s p 'i n ə
espinacs	ə s p i n 'a k s
espinada	ə s p i n 'a ð ə
espinal	ə s p i n 'a l
espines	ə s p 'i n ə s
espino	ə s p 'i n u
espinosa	ə s p i n 'o z ə
espinosos	ə s p i n 'o z u s
espinós	ə s p i n 'o s
espio	ə s p 'i u
espionatge	ə s p i u n 'a d ʒ ə
espiral	ə s p i ɾ 'a l
espirals	ə s p i ɾ 'a l s
espiritual	ə s p i ɾ i t u 'a l
espiritualitat	ə s p i ɾ i t u ə l i t 'a t
espirituals	ə s p i ɾ i t u 'a l s
espiï	ə s p 'i i
esplai	ə s p l 'a j
esplaia	ə s p l 'a j ə
esplaiar	ə s p l ə j 'a
esplaiarse	ə s p l ə j 'a r s ə
esplaiarvos	ə s p l ə j 'a ɾ β u s
esplais	ə s p l 'a j s
esplanada	ə s p l ə n 'a ð ə
esplendor	ə s p l ə n d 'o
esplendores	ə s p l ə n d 'o ɾ ə s
esplendorosa	ə s p l ə n d u ɾ 'o z ə
esplendoroses	ə s p l ə n d u ɾ 'o z ə s
esplendorosos	ə s p l ə n d u ɾ 'o z u s
esplendorós	ə s p l ə n d u ɾ 'o s
esplugues	ə s p l 'u ɣ ə s
esplèndid	ə s p l 'ɛ n d i t
esplèndida	ə s p l 'ɛ n d i ð ə
esplèndides	ə s p l 'ɛ n d i ð ə s
esplèndids	ə s p l 'ɛ n d i t s
espoli	ə s p 'ɔ l i
espoliació	ə s p u l i ə s i 'o
espoliat	ə s p u l i 'a t
espoliats	ə s p u l i 'a t s
espolsant	ə s p u l s 'a n
espolsar	ə s p u l s 'a
espolsarse	ə s p u l s 'a r s ə
espongiforme	ə s p u n ʒ i f 'o r m ə
espongiformes	ə s p u n ʒ i f 'o r m ə s
esponja	ə s p 'ɔ n ʒ ə
esponjar	ə s p u n ʒ 'a
esponjós	ə s p u n ʒ 'o s
esponsorització	ə s p u n s u ɾ i d z ə s i 'o
espontaneïtat	ə s p u n t ə n ə i t 'a t
espontani	ə s p u n t 'a n i
espontanis	ə s p u n t 'a n i s
espontània	ə s p u n t 'a n i ə
espontànies	ə s p u n t 'a n i ə s
espora	ə s p 'o ɾ ə
espores	ə s p 'o ɾ ə s
esport	ə s p 'ɔ r t
esportista	ə s p u r t 'i s t ə
esportistes	ə s p u r t 'i s t ə s
esportiu	ə s p u r t 'i w
esportius	ə s p u r t 'i w s
esportiva	ə s p u r t 'i β ə
esportives	ə s p u r t 'i β ə s
esportivitat	ə s p u r t i β i t 'a t
esports	ə s p 'ɔ r s
esporuguit	ə s p u ɾ u ɣ 'i t
esporàdic	ə s p u ɾ 'a ð i k
esporàdica	ə s p u ɾ 'a ð i k ə
esporàdics	ə s p u ɾ 'a ð i k s
esporàdiques	ə s p u ɾ 'a ð i k ə s
esposa	ə s p 'ɔ z ə
esposes	ə s p 'ɔ z ə s
esposos	ə s p 'ɔ z u s
espot	ə s p 'ɔ t
espots	ə s p 'ɔ t s
esprai	ə s p ɾ 'a j
esprais	ə s p ɾ 'a j s
espremut	ə s p ɾ ə m 'u t
esprimatxat	ə s p ɾ i m ə t ʃ 'a t
esprint	ə s p ɾ 'i n
esprintar	ə s p ɾ i n t 'a
esprints	ə s p ɾ 'i n s
espriuana	ə s p ɾ i w 'a n ə
esprémer	ə s p ɾ 'e m ə
esprínter	ə s p ɾ 'i n t ə
espuma	ə s p 'u m ə
espumós	ə s p u m 'o s
espurna	ə s p 'u r n ə
espurnegen	ə s p u r n 'ɛ ʒ ə n
espurneig	ə s p u r n 'ɛ tʃ
espurnes	ə s p 'u r n ə s
espàrrecs	ə s p 'a r ə k s
espècia	ə s p 'ɛ s i ə
espècie	ə s p 'ɛ s i ə
espècies	ə s p 'ɛ s i ə s
espècimen	ə s p 'ɛ s i m ə n
espècimens	ə s p 'ɛ s i m ə n s
espès	ə s p 'ɛ s
espí	ə s p 'i
espònsor	ə s p 'ɔ n s u
espònsors	ə s p 'ɔ n s u s
espòs	ə s p 'ɔ s
esquadra	ə s k w 'a ð ɾ ə
esquadrons	ə s k w ə ð ɾ 'o n s
esquadró	ə s k w ə ð ɾ 'o
esquaix	ə s k w 'a ʃ
esquarterar	ə s k w ə r t ə ɾ 'a
esquarterat	ə s k w ə r t ə ɾ 'a t
