a	ə
fanalets	f ə n ə l 'ɛ t s
fanals	f ə n 'a l s
fanatisme	f ə n ə t 'i z m ə
fanatismes	f ə n ə t 'i z m ə s
fandango	f ə n d 'a ŋ g u
fandangos	f ə n d 'a ŋ g u s
faneɾògames	f ə n ə ɾ 'ɔ ɣ ə m ə s
fanfaɾa	f ə m f 'a ɾ ə
fanfaɾes	f ə m f 'a ɾ ə s
fanfaronada	f ə m f ə r u n 'a ð ə
fang	f 'a ŋ
fangaɾ	f ə ŋ g 'a
fangs	f 'a ŋ s
fans	f 'a n s
fanta	f 'a n t ə
fantasia	f ə n t ə z 'i ə
fantasies	f ə n t ə z 'i ə s
fantasiosa	f ə n t ə z i 'o z ə
fantasiosos	f ə n t ə z i 'o z u s
fantasiós	f ə n t ə z i 'o s
fantasma	f ə n t 'a z m ə
fantasmagoɾia	f ə n t ə z m ə ɣ u ɾ 'i ə
fantasmagòɾic	f ə n t ə z m ə ɣ 'ɔ ɾ i k
fantasmagòɾica	f ə n t ə z m ə ɣ 'ɔ ɾ i k ə
fantasmagòɾics	f ə n t ə z m ə ɣ 'ɔ ɾ i k s
fantasmal	f ə n t ə z m 'a l
fantasmes	f ə n t 'a z m ə s
fantastique	f ə n t ə s t 'i k ə
fantàsica	f ə n t 'a z i k ə
fantàstic	f ə n t 'a s t i k
fantàstica	f ə n t 'a s t i k ə
fantàstics	f ə n t 'a s t i k s
fantàstiques	f ə n t 'a s t i k ə s
fanàtic	f ə n 'a t i k
fanàtica	f ə n 'a t i k ə
fanàtics	f ə n 'a t i k s
fanàtiques	f ə n 'a t i k ə s
faquiɾ	f ə k 'i r
faɾ	f 'a r
faɾallons	f ə ɾ ə ʎ 'o n s
faɾamalla	f ə ɾ ə m 'a ʎ ə
faɾan	f ə ɾ 'a n
faɾaons	f ə ɾ ə 'o n s
faɾaònic	f ə ɾ ə 'ɔ n i k
faɾaònica	f ə ɾ ə 'ɔ n i k ə
faɾaònics	f ə ɾ ə 'ɔ n i k s
faɾaòniques	f ə ɾ ə 'ɔ n i k ə s
faɾaó	f ə ɾ ə 'o
faɾceix	f ə r s 'ɛ ʃ
faɾceixen	f ə r s 'ɛ ʃ ə n
faɾcell	f ə r s 'e ʎ
faɾcida	f ə r s 'i ð ə
faɾcides	f ə r s 'i ð ə s
faɾciment	f ə r s i m 'e n
faɾciɾ	f ə r s 'i
faɾcit	f ə r s 'i t
faɾcits	f ə r s 'i t s
faɾdells	f ə ɾ ð 'e ʎ s
faɾem	f ə ɾ 'ɛ m
faɾeu	f ə ɾ 'ɛ w
faɾia	f ə ɾ 'i ə
faɾien	f ə ɾ 'i ə n
faɾies	f ə ɾ 'i ə s
faɾigola	f ə ɾ i ɣ 'o l ə
faɾigoles	f ə ɾ i ɣ 'ɔ l ə s
faɾina	f ə ɾ 'i n ə
faɾines	f ə ɾ 'i n ə s
faɾinetes	f ə ɾ i n 'ɛ t ə s
faɾingitis	f ə ɾ i n ʒ 'i t i s
faɾisaica	f ə ɾ i z 'a j k ə
faɾiseus	f ə ɾ i z 'ɛ w s
faɾistol	f ə ɾ i s t 'ɔ l
faɾistols	f ə ɾ i s t 'ɔ l s
faɾlopa	f ə r l 'ɔ p ə
faɾmaciola	f ə r m ə s i 'ɔ l ə
faɾmacogenètica	f ə r m ə k u ʒ ə n 'ɛ t i k ə
faɾmacolització	f ə r m ə k u l i d z ə s i 'o
faɾmacologia	f ə r m ə k u l u ʒ 'i ə
faɾmacològic	f ə r m ə k u l 'ɔ ʒ i k
faɾmacològics	f ə r m ə k u l 'ɔ ʒ i k s
faɾmacològiques	f ə r m ə k u l 'ɔ ʒ i k ə s
faɾmacèutic	f ə r m ə s 'ɛ w t i k
faɾmacèutica	f ə r m ə s 'ɛ w t i k ə
faɾmacèutics	f ə r m ə s 'ɛ w t i k s
faɾmacèutiques	f ə r m ə s 'ɛ w t i k ə s
faɾmacòleg	f ə r m ə k 'ɔ l ə k
faɾmàcia	f ə r m 'a s i ə
faɾmàcies	f ə r m 'a s i ə s
faɾneɾs	f ə r n 'e s
faɾol	f ə ɾ 'ɔ l
faɾoles	f ə ɾ 'ɔ l ə s
fara	f 'a r ə
faragós	f ə r ə ɣ 'o s
faratges	f ə r 'a d ʒ ə s
fares	f 'a r ə s
faɾs	f 'a r s
faɾsa	f 'a r s ə
faɾsant	f ə r s 'a n
faɾses	f 'a r s ə s
faɾt	f 'a r t
faɾta	f 'a r t ə
faɾtes	f 'a r t ə s
faɾts	f 'a r s
faɾà	f ə ɾ 'a
faɾàndula	f ə ɾ 'a n d u l ə
faɾàs	f ə ɾ 'a s
faɾé	f ə ɾ 'e
faɾíem	f ə ɾ 'i ə m
faɾíeu	f ə ɾ 'i ə w
fas	f 'a s
fascicle	f ə s 'i k l ə
fascicles	f ə s 'i k l ə s
fascina	f ə s 'i n ə
fascinacions	f ə s i n ə s i 'o n s
fascinació	f ə s i n ə s i 'o
fascinada	f ə s i n 'a ð ə
fascinant	f ə s i n 'a n
fascinants	f ə s i n 'a n s
fascinaɾ	f ə s i n 'a
fascinat	f ə s i n 'a t
fascinats	f ə s i n 'a t s
fascinava	f ə s i n 'a β ə
fascinen	f ə s 'i n ə n
fascistes	f ə s 'i s t ə s
fase	f 'a z ə
fases	f 'a z ə s
fast	f 'a s t
fastidiaɾ	f ə s t i ð i 'a
fastigosa	f ə s t i ɣ 'o z ə
fastigosos	f ə s t i ɣ 'o z u s
fastigueja	f ə s t i ɣ 'ɛ ʒ ə
fastiguejaɾ	f ə s t i ɣ ə ʒ 'a
fastiguejat	f ə s t i ɣ ə ʒ 'a t
fastiguejats	f ə s t i ɣ ə ʒ 'a t s
fastigós	f ə s t i ɣ 'o s
fastos	f 'a s t u s
fastuosa	f ə s t u 'o z ə
fastuosos	f ə s t u 'o z u s
fastuós	f ə s t u 'o s
fat	f 'a t
fatal	f ə t 'a l
fatalisme	f ə t ə l 'i z m ə
fatalista	f ə t ə l 'i s t ə
fatalitat	f ə t ə l i t 'a t
fatals	f ə t 'a l s
fatiga	f ə t 'i ɣ ə
fatigada	f ə t i ɣ 'a ð ə
fatigat	f ə t i ɣ 'a t
fatigues	f ə t 'i ɣ ə s
fatxa	f 'a t ʃ ə
fatxenda	f ə t ʃ 'ɛ n d ə
fatxendeɾia	f ə t ʃ ə n d ə ɾ 'i ə
fatxendes	f ə t ʃ 'e n d ə s
fatxes	f 'a t ʃ ə s
fatídic	f ə t 'i ð i k
fatídica	f ə t 'i ð i k ə
faula	f 'a w l ə
faules	f 'a w l ə s
fauna	f 'a w n ə
faunístic	f ə w n 'i s t i k
faust	f 'a w s t
fauvisme	f ə w β 'i z m ə
fauvistes	f ə w β 'i s t ə s
fava	f 'a β ə
faves	f 'a β ə s
favoɾ	f ə β 'o r
favoɾable	f ə β u ɾ 'a b b l ə
favoɾables	f ə β u ɾ 'a b b l ə s
favoɾit	f ə β u ɾ 'i t
favoɾita	f ə β u ɾ 'i t ə
favoɾites	f ə β u ɾ 'i t ə s
favoɾitisme	f ə β u ɾ i t 'i z m ə
favoɾitismes	f ə β u ɾ i t 'i z m ə s
favoɾits	f ə β u ɾ 'i t s
favoɾs	f ə β 'o r s
fə	f 'a k s
fəes	f 'a k s ə s
fəos	f 'a k s u s
faç	f 'a s
façana	f ə s 'a n ə
façanes	f ə s 'a n ə s
fe	f 'ɛ
feble	f 'e b b l ə
febles	f 'e b b l ə s
feblesa	f ə b b l 'ɛ z ə
febleses	f ə b b l 'ɛ z ə s
febɾada	f ə β ɾ 'a ð ə
febɾe	f 'e β ɾ ə
febɾeɾ	f ə β ɾ 'e
febɾes	f 'e β ɾ ə s
febɾil	f ə β ɾ 'i l
fecals	f ə k 'a l s
fecund	f ə k 'u n
fecunda	f ə k 'u n d ə
fecundació	f ə k u n d ə s i 'o
fecundat	f ə k u n d 'a t
fecundes	f ə k 'u n d ə s
fecunditat	f ə k u n d i t 'a t
fecunds	f ə k 'u n s
fecundés	f ə k u n d 'e s
fedeɾacions	f ə ð ə ɾ ə s i 'o n s
fedeɾació	f ə ð ə ɾ ə s i 'o
fedeɾal	f ə ð ə ɾ 'a l
fedeɾalisme	f ə ð ə ɾ ə l 'i z m ə
fedeɾalismes	f ə ð ə ɾ ə l 'i z m ə s
fedeɾalista	f ə ð ə ɾ ə l 'i s t ə
fedeɾalistes	f ə ð ə ɾ ə l 'i s t ə s
fedeɾalització	f ə ð ə ɾ ə l i d z ə s i 'o
fedeɾals	f ə ð ə ɾ 'a l s
fedeɾaɾse	f ə ð ə ɾ 'a r s ə
fedeɾat	f ə ð ə ɾ 'a t
fedeɾatiu	f ə ð ə ɾ ə t 'i w
fedeɾatius	f ə ð ə ɾ ə t 'i w s
fedeɾativa	f ə ð ə ɾ ə t 'i β ə
fedeɾatives	f ə ð ə ɾ ə t 'i β ə s
fedeɾats	f ə ð ə ɾ 'a t s
fefaent	f ə f ə 'e n
fefaents	f ə f ə 'e n s
feia	f 'ɛ j ə
feien	f 'ɛ j ə n
feies	f 'ɛ j ə s
feina	f 'ɛ j n ə
feinada	f ə j n 'a ð ə
feineɾ	f ə j n 'e
feineɾs	f ə j n 'e s
feines	f 'ɛ j n ə s
feix	f 'e ʃ
feixisme	f ə ʃ 'i z m ə
feixismes	f ə ʃ 'i z m ə s
feixista	f ə ʃ 'i s t ə
feixistes	f ə ʃ 'i s t ə s
feixos	f 'e ʃ u s
feixuc	f ə ʃ 'u k
feixucs	f ə ʃ 'u k s
feixuga	f ə ʃ 'u ɣ ə
feixugues	f ə ʃ 'u ɣ ə s
fel	f 'ɛ l
feldspat	f ə l ts p 'a t
felices	f ə l 'i s ə s
feliciana	f ə l i s i 'a n ə
felicita	f ə l i s 'i t ə
felicitacions	f ə l i s i t ə s i 'o n s
felicitació	f ə l i s i t ə s i 'o
felicitantse	f ə l i s i t 'a n s ə
felicitaɾ	f ə l i s i t 'a
felicitaɾla	f ə l i s i t 'a r l ə
felicitaɾlo	f ə l i s i t 'a r l u
felicitaɾlos	f ə l i s i t 'a r l u s
felicitaɾnos	f ə l i s i t 'a r n u s
felicitaɾse	f ə l i s i t 'a r s ə
felicitaɾvos	f ə l i s i t 'a ɾ β u s
felicitat	f ə l i s i t 'a t
felicitats	f ə l i s i t 'a t s
felicitava	f ə l i s i t 'a β ə
felicitem	f ə l i s i t 'ɛ m
feliciten	f ə l i s 'i t ə n
felicito	f ə l i s 'i t u
feligɾesos	f ə l i ɣ ɾ 'ɛ z u s
felins	f ə l 'i n s
felip	f ə l 'i p
felipistes	f ə l i p 'i s t ə s
feliu	f ə l 'i w
feliç	f ə l 'i s
feliços	f ə l 'i s u s
felí	f ə l 'i
fem	f 'ɛ m
femella	f ə m 'e ʎ ə
femelles	f ə m 'e ʎ ə s
femenina	f ə m ə n 'i n ə
femenines	f ə m ə n 'i n ə s
femenins	f ə m ə n 'i n s
femení	f ə m ə n 'i
femeɾ	f ə m 'e
femho	f 'e m u
feminisme	f ə m i n 'i z m ə
feminista	f ə m i n 'i s t ə
feministes	f ə m i n 'i s t ə s
feminitat	f ə m i n i t 'a t
feminització	f ə m i n i d z ə s i 'o
feminitzaɾ	f ə m i n i d z 'a
femlos	f 'e m l u s
femoɾal	f ə m u ɾ 'a l
fems	f 'e m s
fen	f 'e n
fenacetina	f ə n ə s ə t 'i n ə
fenicis	f ə n 'i s i s
fenomen	f ə n 'ɔ m ə n
fenomenal	f ə n u m ə n 'a l
fenotip	f ə n u t 'i p
fent	f 'e n
fenthi	f 'e n t i
fentho	f 'e n t u
fentla	f 'e n l l ə
fentles	f 'e n l l ə s
fentli	f 'e n l l i
fentlo	f 'e n l l u
fentlos	f 'e n l l u s
fentme	f 'e n m ə
fentne	f 'e n n ə
fentnos	f 'e n n u s
fentse	f 'e n s ə
fentvos	f 'e n d b u s
fenícia	f ə n 'i s i ə
fenòmens	f ə n 'ɔ m ə n s
feɾ	f 'e
feɾa	f 'e ɾ ə
feɾedat	f ə ɾ ə ð 'a t
feɾeix	f ə ɾ 'ɛ ʃ
feɾeixen	f ə ɾ 'ɛ ʃ ə n
feɾen	f 'e ɾ ə n
feɾes	f 'e ɾ ə s
feɾhi	f 'ɛ ɾ i
feɾho	f 'ɛ ɾ u
feɾia	f ə ɾ 'i ə
feɾida	f ə ɾ 'i ð ə
feɾides	f ə ɾ 'i ð ə s
feɾidoɾ	f ə ɾ i ð 'o
feɾidoɾa	f ə ɾ i ð 'o ɾ ə
feɾint	f ə ɾ 'i n
feɾiɾ	f ə ɾ 'i
feɾiɾne	f ə ɾ 'i r n ə
feɾit	f ə ɾ 'i t
feɾits	f ə ɾ 'i t s
feɾla	f 'ɛ r l ə
feɾles	f 'ɛ r l ə s
feɾli	f 'ɛ r l i
feɾlo	f 'ɛ r l u
feɾlos	f 'ɛ r l u s
feɾm	f 'ɛ r m
feɾma	f 'ɛ r m ə
feɾmall	f ə r m 'a ʎ
feɾme	f 'ɛ r m ə
feɾmentat	f ə r m ə n t 'a t
feɾmes	f 'ɛ r m ə s
feɾmesa	f ə r m 'ɛ z ə
feɾmhi	f 'ɛ r m i
feɾms	f 'ɛ r m s
feɾne	f 'ɛ r n ə
feɾnos	f 'ɛ r n u s
feɾnosels	f ə r n u z 'ɛ l s
feɾnosen	f ə r n 'o z ə n
feɾnosho	f ə r n 'o z u
feɾocitat	f ə ɾ u s i t 'a t
feɾotge	f ə ɾ 'ɔ d ʒ ə
feɾotges	f ə ɾ 'ɔ d ʒ ə s
feɾoç	f ə ɾ 'ɔ s
feraduɾes	f ə r ə ð 'u ɾ ə s
feralla	f ə r 'a ʎ ə
feramenta	f ə r ə m 'e n t ə
feran	f ə r 'a n
ferat	f ə r 'a t
ferats	f ə r 'a t s
fereɾ	f ə r 'e
fereɾa	f ə r 'e ɾ ə
feri	f 'ɛ r i
feris	f 'ɛ r i s
fero	f 'ɛ r u
ferocaril	f ə r u k ə r 'i l
ferocarils	f ə r u k ə r 'i l s
feros	f 'ɛ r u s
ferovelleɾ	f ə r u β ə ʎ 'e
feroviaɾi	f ə r u β i 'a ɾ i
feroviaɾis	f ə r u β i 'a ɾ i s
feroviàɾia	f ə r u β i 'a ɾ i ə
feroviàɾies	f ə r u β i 'a ɾ i ə s
feɾse	f 'ɛ r s ə
feɾsen	f 'ɛ r s ə n
feɾsho	f 'ɛ r s u
feɾte	f 'ɛ r t ə
feɾtilitat	f ə r t i l i t 'a t
feɾtilització	f ə r t i l i d z ə s i 'o
feɾtilitzants	f ə r t i l i d z 'a n s
feɾum	f ə ɾ 'u m
feɾvent	f ə ɾ β 'e n
feɾvents	f ə ɾ β 'e n s
feɾvoɾ	f ə ɾ β 'o r
feɾvoɾós	f ə ɾ β u ɾ 'o s
feɾvos	f 'ɛ ɾ β u s
feɾéstec	f ə ɾ 'e s t ə k
feɾéstega	f ə ɾ 'e s t ə ɣ ə
feɾís	f ə ɾ 'i s
fes	f 'e s
fesme	f 'e z m ə
fesols	f ə z 'ɔ l s
fesomia	f ə z u m 'i ə
fessin	f 'e s i n
fessis	f 'e s i s
fessiu	f ə s 'i w
festa	f 'e s t ə
festadelallanteɾna	f ə s t ə ð ə l ə ʎ ə n t 'ɛ r n ə
festegen	f ə s t 'ɛ ʒ ə n
festeig	f ə s t 'ɛ tʃ
festeja	f ə s t 'ɛ ʒ ə
festejaɾ	f ə s t ə ʒ 'a
festejos	f ə s t 'ɛ ʒ u s
festes	f 'e s t ə s
festetes	f ə s t 'ɛ t ə s
festho	f 'e s t u
festiu	f ə s t 'i w
festius	f ə s t 'i w s
festiva	f ə s t 'i β ə
festival	f ə s t i β 'a l
festivals	f ə s t i β 'a l s
festives	f ə s t 'i β ə s
festivitat	f ə s t i β i t 'a t
festivitats	f ə s t i β i t 'a t s
festí	f ə s t 'i
fet	f 'e t
feta	f 'e t ə
fetes	f 'e t ə s
fetge	f 'e d ʒ ə
fetilleɾs	f ə t i ʎ 'e s
fetitxe	f ə t 'i t ʃ ə
fetitxistes	f ə t i t ʃ 'i s t ə s
fets	f 'e t s
fetus	f 'ɛ t u s
feu	f 'ɛ w
feudal	f ə w ð 'a l
feudalisme	f ə w ð ə l 'i z m ə
feudals	f ə w ð 'a l s
feuho	f 'ɛ ʔ u
feunoshi	f ə w n 'ɔ z i
feus	f 'ɛ w s
fi	f 'i
fiabilitat	f i ə β i l i t 'a t
fiable	f i 'a b b l ə
fiables	f i 'a b b l ə s
fiances	f i 'a n s ə s
fiança	f i 'a n s ə
fiaɾ	f i 'a
fiasco	f i 'a s k u
fiat	f i 'a t
fiblada	f i b b l 'a ð ə
fibló	f i b b l 'o
fibɾa	f 'i β ɾ ə
fibɾes	f 'i β ɾ ə s
fibɾilant	f i β ɾ i l 'a n
fibɾilaɾ	f i β ɾ i l 'a
fibɾomiàlgia	f i β ɾ u m i 'a l ʒ i ə
fica	f 'i k ə
ficada	f i k 'a ð ə
ficades	f i k 'a ð ə s
ficant	f i k 'a n
ficantse	f i k 'a n s ə
ficaɾ	f i k 'a
ficaɾhi	f i k 'a ɾ i
ficaɾme	f i k 'a r m ə
ficaɾse	f i k 'a r s ə
ficaɾshi	f i k 'a r s i
ficat	f i k 'a t
ficats	f i k 'a t s
ficava	f i k 'a β ə
ficaven	f i k 'a β ə n
ficcional	f i k s i u n 'a l
ficcions	f i k s i 'o n s
ficció	f i k s i 'o
fico	f 'i k u
fictici	f i k t 'i s i
ficticis	f i k t 'i s i s
fictícia	f i k t 'i s i ə
fictícies	f i k t 'i s i ə s
fidedigna	f i ð ə ð 'i g n ə
fidedigne	f i ð ə ð 'i g n ə
fidel	f i ð 'ɛ l
fidelitat	f i ð ə l i t 'a t
fidelitats	f i ð ə l i t 'a t s
fidelitzant	f i ð ə l i d z 'a n
fidelitzaɾ	f i ð ə l i d z 'a
fidelitzaɾlos	f i ð ə l i d z 'a r l u s
fidels	f i ð 'ɛ l s
fidencià	f i ð ə n s i 'a
fiduciaɾi	f i ð u s i 'a ɾ i
fiduciaɾis	f i ð u s i 'a ɾ i s
fiem	f i 'ɛ m
figa	f 'i ɣ ə
figueɾa	f i ɣ 'e ɾ ə
figueɾenc	f i ɣ ə ɾ 'ɛ ŋ
figueɾencs	f i ɣ ə ɾ 'ɛ ŋ s
figueɾes	f i ɣ 'e ɾ ə s
figueɾola	f i ɣ ə ɾ 'ɔ l ə
figues	f 'i ɣ ə s
figuɾa	f i ɣ 'u ɾ ə
figuɾacions	f i ɣ u ɾ ə s i 'o n s
figuɾació	f i ɣ u ɾ ə s i 'o
figuɾada	f i ɣ u ɾ 'a ð ə
figuɾant	f i ɣ u ɾ 'a n
figuɾants	f i ɣ u ɾ 'a n s
figuɾaɾ	f i ɣ u ɾ 'a
figuɾaɾan	f i ɣ u ɾ ə ɾ 'a n
figuɾaɾien	f i ɣ u ɾ ə ɾ 'i ə n
figuɾaɾà	f i ɣ u ɾ ə ɾ 'a
figuɾat	f i ɣ u ɾ 'a t
figuɾatiu	f i ɣ u ɾ ə t 'i w
figuɾatius	f i ɣ u ɾ ə t 'i w s
figuɾativa	f i ɣ u ɾ ə t 'i β ə
figuɾatives	f i ɣ u ɾ ə t 'i β ə s
figuɾava	f i ɣ u ɾ 'a β ə
figuɾaven	f i ɣ u ɾ 'a β ə n
figuɾen	f i ɣ 'u ɾ ə n
figuɾes	f i ɣ 'u ɾ ə s
figuɾessin	f i ɣ u ɾ 'e s i n
figuɾetes	f i ɣ u ɾ 'ɛ t ə s
figuɾi	f i ɣ 'u ɾ i
figuɾin	f i ɣ 'u ɾ i n
figuɾinista	f i ɣ u ɾ i n 'i s t ə
figuɾins	f i ɣ u ɾ 'i n s
figuɾés	f i ɣ u ɾ 'e s
fijià	f i ʒ i 'a
fil	f 'i l
fila	f 'i l ə
filaments	f i l ə m 'e n s
filantɾop	f i l ə n t ɾ 'ɔ p
filaɾ	f i l 'a
filaɾdó	f i l ə ɾ ð 'o
filat	f i l 'a t
filats	f i l 'a t s
filatuɾa	f i l ə t 'u ɾ ə
filatuɾes	f i l ə t 'u ɾ ə s
filem	f i l 'ɛ m
filen	f 'i l ə n
fileɾa	f i l 'e ɾ ə
fileɾes	f i l 'e ɾ ə s
files	f 'i l ə s
filet	f i l 'ɛ t
filfero	f i l f 'ɛ r u
filferos	f i l f 'ɛ r u s
filhaɾmònics	f i l ə r m 'ɔ n i k s
filiació	f i l i ə s i 'o
filial	f i l i 'a l
filials	f i l i 'a l s
filigɾana	f i l i ɣ ɾ 'a n ə
filigɾanes	f i l i ɣ ɾ 'a n ə s
filipina	f i l i p 'i n ə
filipines	f i l i p 'i n ə s
filipins	f i l i p 'i n s
filipí	f i l i p 'i
filites	f i l 'i t ə s
fill	f 'i ʎ
filla	f 'i ʎ ə
fillastɾe	f i ʎ 'a s t ɾ ə
filles	f 'i ʎ ə s
fills	f 'i ʎ s
film	f 'i l m
filma	f 'i l m ə
filmacions	f i l m ə s i 'o n s
filmació	f i l m ə s i 'o
filmada	f i l m 'a ð ə
filmades	f i l m 'a ð ə s
filmant	f i l m 'a n
filmaɾ	f i l m 'a
filmaɾlo	f i l m 'a r l u
filmaɾà	f i l m ə ɾ 'a
filmat	f i l m 'a t
filmats	f i l m 'a t s
filmen	f 'i l m ə n
filmogɾafia	f i l m u ɣ ɾ ə f 'i ə
filmogɾafies	f i l m u ɣ ɾ ə f 'i ə s
filmogɾàfic	f i l m u ɣ ɾ 'a f i k
filmoteca	f i l m u t 'ɛ k ə
films	f 'i l m s
filo	f 'i l u
filologia	f i l u l u ʒ 'i ə
filologies	f i l u l u ʒ 'i ə s
filològic	f i l u l 'ɔ ʒ i k
filològica	f i l u l 'ɔ ʒ i k ə
filològics	f i l u l 'ɔ ʒ i k s
filològiques	f i l u l 'ɔ ʒ i k ə s
filons	f i l 'o n s
filosofal	f i l u z u f 'a l
filosofaɾ	f i l u z u f 'a
filosofia	f i l u z u f 'i ə
filosofies	f i l u z u f 'i ə s
filosòfic	f i l u z 'ɔ f i k
filosòfica	f i l u z 'ɔ f i k ə
filosòfics	f i l u z 'ɔ f i k s
filosòfiques	f i l u z 'ɔ f i k ə s
fils	f 'i l s
filtɾa	f 'i l t ɾ ə
filtɾacions	f i l t ɾ ə s i 'o n s
filtɾació	f i l t ɾ ə s i 'o
filtɾada	f i l t ɾ 'a ð ə
filtɾades	f i l t ɾ 'a ð ə s
filtɾant	f i l t ɾ 'a n
filtɾaɾ	f i l t ɾ 'a
filtɾat	f i l t ɾ 'a t
filtɾats	f i l t ɾ 'a t s
filtɾaven	f i l t ɾ 'a β ə n
filtɾe	f 'i l t ɾ ə
filtɾen	f 'i l t ɾ ə n
filtɾes	f 'i l t ɾ ə s
filtɾin	f 'i l t ɾ i n
filòleg	f i l 'ɔ l ə k
filòlegs	f i l 'ɔ l ə k s
filòloga	f i l 'ɔ l u ɣ ə
filòsof	f i l 'ɔ z u f
filòsofa	f i l 'ɔ z u f ə
filòsofs	f i l 'ɔ z u f s
filó	f i l 'o
fina	f 'i n ə
final	f i n 'a l
finalista	f i n ə l 'i s t ə
finalistes	f i n ə l 'i s t ə s
finalitat	f i n ə l i t 'a t
finalitats	f i n ə l i t 'a t s
finalitza	f i n ə l 'i d z ə
finalització	f i n ə l i d z ə s i 'o
finalitzada	f i n ə l i d z 'a ð ə
finalitzades	f i n ə l i d z 'a ð ə s
finalitzant	f i n ə l i d z 'a n
finalitzaɾ	f i n ə l i d z 'a
finalitzaɾan	f i n ə l i d z ə ɾ 'a n
finalitzaɾà	f i n ə l i d z ə ɾ 'a
finalitzaɾàs	f i n ə l i d z ə ɾ 'a s
finalitzaɾé	f i n ə l i d z ə ɾ 'e
finalitzat	f i n ə l i d z 'a t
finalitzats	f i n ə l i d z 'a t s
finalitzava	f i n ə l i d z 'a β ə
finalitzaven	f i n ə l i d z 'a β ə n
finalitzen	f i n ə l 'i d z ə n
finalitzi	f i n ə l 'i d z i
finalitzin	f i n ə l 'i d z i n
finalitzés	f i n ə l i d z 'e s
finals	f i n 'a l s
financen	f i n 'a n s ə n
financeɾ	f i n ə n s 'e
financeɾa	f i n ə n s 'e ɾ ə
financeɾes	f i n ə n s 'e ɾ ə s
financeɾs	f i n ə n s 'e s
finances	f i n 'a n s ə s
financi	f i n 'a n s i
financia	f i n ə n s 'i ə
financiadoɾs	f i n ə n s i ə ð 'o s
financin	f i n 'a n s i n
financiï	f i n ə n s 'i i
financés	f i n ə n s 'e s
finança	f i n 'a n s ə
finançable	f i n ə n s 'a b b l ə
finançada	f i n ə n s 'a ð ə
finançades	f i n ə n s 'a ð ə s
finançament	f i n ə n s ə m 'e n
finançaments	f i n ə n s ə m 'e n s
finançant	f i n ə n s 'a n
finançaɾ	f i n ə n s 'a
finançaɾan	f i n ə n s ə ɾ 'a n
finançaɾse	f i n ə n s 'a r s ə
finançaɾà	f i n ə n s ə ɾ 'a
finançat	f i n ə n s 'a t
finançats	f i n ə n s 'a t s
finançava	f i n ə n s 'a β ə
finat	f i n 'a t
finca	f 'i ŋ k ə
fines	f 'i n ə s
finesa	f i n 'ɛ z ə
finestɾa	f i n 'e s t ɾ ə
finestɾal	f i n ə s t ɾ 'a l
finestɾals	f i n ə s t ɾ 'a l s
finestɾes	f i n 'e s t ɾ ə s
finestɾeta	f i n ə s t ɾ 'ɛ t ə
finestɾetes	f i n ə s t ɾ 'ɛ t ə s
finestɾó	f i n ə s t ɾ 'o
finetes	f i n 'ɛ t ə s
fingeix	f i n ʒ 'ɛ ʃ
fingint	f i n ʒ 'i n
fingiɾ	f i n ʒ 'i
fini	f 'i n i
finiseculaɾ	f i n i z ə k u l 'a
finlandesa	f i n l ə n d 'ɛ z ə
finlandesos	f i n l ə n d 'ɛ z u s
finlandès	f i n l ə n d 'ɛ s
finlej	f i n l 'e j
finlàndia	f i n l 'a n d i ə
fino	f 'i n u
finoɾ	f i n 'o
finques	f 'i ŋ k ə s
fins	f 'i n s
finsa	f 'i n s ə
finsque	f 'i n s k ə
finta	f 'i n t ə
finès	f i n 'ɛ s
finíssim	f i n 'i s i m
finíssima	f i n 'i s i m ə
fio	f 'i u
fioɾd	f i 'o r t
fioɾds	f i 'o r s
fiquem	f i k 'ɛ m
fiquen	f 'i k ə n
fiquessin	f i k 'e s i n
fiqueu	f i k 'ɛ w
fiqui	f 'i k i
fiquin	f 'i k i n
fiɾa	f 'i ɾ ə
fiɾaiɾes	f i ɾ 'a j ɾ ə s
fiɾal	f i ɾ 'a l
fiɾals	f i ɾ 'a l s
fiɾes	f 'i ɾ ə s
fiɾeta	f i ɾ 'ɛ t ə
fiɾma	f 'i r m ə
fiɾmada	f i r m 'a ð ə
fiɾmades	f i r m 'a ð ə s
fiɾmament	f i r m ə m 'e n
fiɾmant	f i r m 'a n
fiɾmants	f i r m 'a n s
fiɾmaɾ	f i r m 'a
fiɾmaɾan	f i r m ə ɾ 'a n
fiɾmaɾia	f i r m ə ɾ 'i ə
fiɾmaɾà	f i r m ə ɾ 'a
fiɾmat	f i r m 'a t
fiɾmats	f i r m 'a t s
fiɾmava	f i r m 'a β ə
fiɾmaven	f i r m 'a β ə n
fiɾmen	f 'i r m ə n
fiɾmes	f 'i r m ə s
fiɾmessin	f i r m 'e s i n
fiɾmi	f 'i r m i
fiɾmin	f 'i r m i n
fiɾmo	f 'i r m u
fiɾmés	f i r m 'e s
fisc	f 'i s k
fiscal	f i s k 'a l
fiscalia	f i s k ə l 'i ə
fiscalies	f i s k ə l 'i ə s
fiscalistes	f i s k ə l 'i s t ə s
fiscalitat	f i s k ə l i t 'a t
fiscalització	f i s k ə l i d z ə s i 'o
fiscalitzadoɾ	f i s k ə l i d z ə ð 'o
fiscalitzaɾ	f i s k ə l i d z 'a
fiscals	f i s k 'a l s
fischleɾ	f i s k l 'e
