A	'ə
oneig	u n 'ɛ t ʃ
oreig	u ɾ 'ɛ t ʃ
ortig	u r t 'i k
pluig	p l 'u t ʃ
remig	r ə m 'i t ʃ
ràtig	r 'a t i k
tueig	t u 'ɛ t ʃ
Enpuig	ə n p 'u t ʃ
Enveig	ə m b 'ɛ t ʃ
Escaig	ə s k 'a t ʃ
Escrig	ə s k ɾ 'i t ʃ
Espuig	ə s p 'u t ʃ
Ordeig	u r t 'ɛ t ʃ
Orteig	u r t 'ɛ t ʃ
agreig	ə ɣ ɾ 'ɛ t ʃ
aireig	ə i ɾ 'a t ʃ
alleig	ə ʎ 'ɛ t ʃ
alteig	ə l t 'ɛ t ʃ
armeig	ə r m 'ɛ t ʃ
arpeig	ə r p 'ɛ t ʃ
assaig	ə s 'a t ʃ
baleig	b ə l 'ɛ t ʃ
barrig	b ə r 'i t ʃ
bateig	b ə t 'ɛ t ʃ
baveig	b ə β 'ɛ t ʃ
bogeig	b u ʒ 'ɛ t ʃ
bonyig	b u ɲ 'i k
boteig	b u t 'ɛ t ʃ
boueig	b u u 'ɛ t ʃ
boxeig	b u k s 'ɛ t ʃ
calcig	k ə l s 'i k
cameig	k ə m 'ɛ t ʃ
caneig	k ə n 'ɛ t ʃ
capeig	k ə p 'ɛ t ʃ
careig	k ə ɾ 'ɛ t ʃ
carmig	k ə r m 'i t ʃ
castig	k ə s t 'i k
cimeig	s i m 'ɛ t ʃ
cobeig	k u β 'ɛ t ʃ
copeig	k u p 'ɛ t ʃ
coreig	k u ɾ 'a t ʃ
coteig	k u t 'ɛ t ʃ
crueig	k ɾ u 'ɛ t ʃ
culeig	k u l 'ɛ t ʃ
càstig	k 'a s t i k
defuig	d ə f 'u t ʃ
deleig	d ə l 'ɛ t ʃ
deneig	d ə n 'ɛ t ʃ
diteig	d i t 'ɛ t ʃ
doneig	d u n 'ɛ t ʃ
enfuig	ə n f 'u t ʃ
enraig	ə n r 'a t ʃ
entrig	ə n t ɾ 'i t ʃ
enveig	ə m b 'ɛ t ʃ
escaig	ə s k 'a t ʃ
fadeig	f ə ð 'ɛ t ʃ
fameig	f ə m 'ɛ t ʃ
fastig	f ə s t 'i k
femeig	f ə m 'ɛ t ʃ
fereig	f ə ɾ 'ɛ t ʃ
fineig	f i n 'ɛ t ʃ
foreig	f u ɾ 'a t ʃ
fumeig	f u m 'ɛ t ʃ
fustig	f u s t 'i k
galeig	g ə l 'ɛ t ʃ
ganeig	g ə n 'ɛ t ʃ
garaig	g ə ɾ 'a t ʃ
gaseig	g ə z 'ɛ t ʃ
gateig	g ə t 'ɛ t ʃ
gaudig	g ə u ð 'i t ʃ
goleig	g u l 'ɛ t ʃ
goteig	g u t 'ɛ t ʃ
instig	i n s t 'i k
intrig	i n t ɾ 'i k
llorig	ʎ u ɾ 'i t ʃ
maleig	m ə l 'ɛ t ʃ
maneig	m ə n 'ɛ t ʃ
mareig	m ə ɾ 'ɛ t ʃ
meneig	m ə n 'ɛ t ʃ
moteig	m u t 'ɛ t ʃ
mustig	m u s t 'i k
napeig	n ə p 'ɛ t ʃ
neteig	n ə t 'ɛ t ʃ
noieig	n u i 'a t ʃ
ondeig	u n d 'ɛ t ʃ
ormeig	u r m 'ɛ t ʃ
orseig	u r s 'ɛ t ʃ
paleig	p ə l 'ɛ t ʃ
papeig	p ə p 'ɛ t ʃ
pemfig	p ə m f 'i k
pessig	p ə s 'i k
peteig	p ə t 'ɛ t ʃ
piteig	p i t 'ɛ t ʃ
poteig	p u t 'ɛ t ʃ
prodig	p ɾ u ð 'i t ʃ
pròdig	p ɾ 'ɔ ð i k
puteig	p u t 'ɛ t ʃ
pèmfig	p 'ɛ m f i k
rabeig	r ə β 'ɛ t ʃ
rameig	r ə m 'ɛ t ʃ
raneig	r ə n 'ɛ t ʃ
rapeig	r ə p 'ɛ t ʃ
rareig	r ə ɾ 'ɛ t ʃ
rateig	r ə t 'ɛ t ʃ
rebuig	r ə β 'u t ʃ
refaig	r ə f 'a t ʃ
refrig	r ə f ɾ 'i k
rellig	r ə ʎ 'i t ʃ
repuig	r ə p 'u t ʃ
reveig	r ə β 'ɛ t ʃ
rodeig	r u ð 'ɛ t ʃ
rogeig	r u ʒ 'ɛ t ʃ
romeig	r u m 'ɛ t ʃ
rufeig	r u f 'ɛ t ʃ
saleig	s ə l 'ɛ t ʃ
saneig	s ə n 'ɛ t ʃ
sedeig	s ə ð 'ɛ t ʃ
sofrig	s u f ɾ 'i t ʃ
soleig	s u l 'ɛ t ʃ
tapeig	t ə p 'ɛ t ʃ
tausig	t ə w z 'i t ʃ
tifeig	t i f 'ɛ t ʃ
toreig	t u ɾ 'a t ʃ
trapig	t ɾ ə p 'i t ʃ
trepig	t ɾ ə p 'i t ʃ
tufeig	t u f 'ɛ t ʃ
tuteig	t u t 'ɛ t ʃ
urpeig	u r p 'ɛ t ʃ
vaneig	b ə n 'ɛ t ʃ
vareig	b ə ɾ 'ɛ t ʃ
veleig	b ə l 'ɛ t ʃ
viebig	b i ə β 'i t ʃ
voreig	b u ɾ 'a t ʃ
Delpuig	d ə l p 'u t ʃ
Despuig	d ə s p 'u t ʃ
Raspeig	r ə s p 'ɛ t ʃ
Raureig	r ə w ɾ 'ɛ t ʃ
abadeig	ə β ə ð 'ɛ t ʃ
aleteig	ə l ə t 'ɛ t ʃ
amoreig	ə m u ɾ 'a t ʃ
ampleig	ə m p l 'ɛ t ʃ
anqueig	ə ŋ k 'ɛ t ʃ
ansieig	ə n s i 'ɛ t ʃ
argueig	ə r ɣ 'ɛ t ʃ
arqueig	ə r k 'ɛ t ʃ
aspreig	ə s p ɾ 'ɛ t ʃ
bagueig	b ə ɣ 'ɛ t ʃ
baixeig	b ə ʃ 'ɛ t ʃ
balbeig	b ə l β 'ɛ t ʃ
bambeig	b ə m b 'ɛ t ʃ
bandeig	b ə n d 'ɛ t ʃ
barbeig	b ə r b 'ɛ t ʃ
barreig	b ə r 'ɛ t ʃ
basteig	b ə s t 'ɛ t ʃ
benveig	b ə m b 'ɛ t ʃ
blaneig	b l ə n 'ɛ t ʃ
blaveig	b l ə β 'ɛ t ʃ
bledeig	b l ə ð 'ɛ t ʃ
bombeig	b u m b 'ɛ t ʃ
boqueig	b u k 'ɛ t ʃ
bordeig	b u r t 'ɛ t ʃ
borneig	b u r n 'ɛ t ʃ
borreig	b u r 'ɛ t ʃ
braceig	b ɾ ə s 'ɛ t ʃ
braseig	b ɾ ə z 'ɛ t ʃ
braveig	b ɾ ə β 'ɛ t ʃ
bromeig	b ɾ u m 'ɛ t ʃ
bruteig	b ɾ u t 'ɛ t ʃ
busseig	b u s 'ɛ t ʃ
cableig	k ə β l 'ɛ t ʃ
cabreig	k ə β ɾ 'ɛ t ʃ
caireig	k ə i ɾ 'a t ʃ
calbeig	k ə l β 'ɛ t ʃ
caldeig	k ə l d 'ɛ t ʃ
campeig	k ə m p 'ɛ t ʃ
caqueig	k ə k 'ɛ t ʃ
carreig	k ə r 'ɛ t ʃ
carteig	k ə r t 'ɛ t ʃ
clapeig	k l ə p 'ɛ t ʃ
clareig	k l ə ɾ 'ɛ t ʃ
cobleig	k u β l 'ɛ t ʃ
coixeig	k u ʃ 'ɛ t ʃ
colleig	k u ʎ 'ɛ t ʃ
colpeig	k u l p 'ɛ t ʃ
col·lig	k u l 'i k
confuig	k u n f 'u t ʃ
conllig	k u n ʎ 'i k
cordeig	k u r t 'ɛ t ʃ
correig	k u r 'ɛ t ʃ
corteig	k u r t 'ɛ t ʃ
costeig	k u s t 'ɛ t ʃ
cucleig	k u k l 'ɛ t ʃ
cueteig	k u ə t 'ɛ t ʃ
cuineig	k u i n 'ɛ t ʃ
curteig	k u r t 'ɛ t ʃ
damneig	d ə m n 'ɛ t ʃ
desamig	d ə z ə m 'i k
desfaig	d ə s f 'a t ʃ
desllig	d ə z ʎ 'i k
dolceig	d u l s 'ɛ t ʃ
dolleig	d u ʎ 'ɛ t ʃ
dropeig	d ɾ u p 'ɛ t ʃ
embotig	ə m b u t 'i ɣ
empluig	ə m p l 'u t ʃ
endemig	ə n d ə m 'i t ʃ
esnarig	ə z n ə ɾ 'i t ʃ
faeneig	f ə ə n 'ɛ t ʃ
falceig	f ə l s 'ɛ t ʃ
faldeig	f ə l d 'ɛ t ʃ
falseig	f ə l s 'ɛ t ʃ
febreig	f ə β ɾ 'ɛ t ʃ
feineig	f ə i n 'ɛ t ʃ
fenòzig	f ə n 'ɔ z i k
ferreig	f ə r 'ɛ t ʃ
festeig	f ə s t 'ɛ t ʃ
flameig	f l ə m 'ɛ t ʃ
floreig	f l u ɾ 'a t ʃ
fogueig	f u ɣ 'ɛ t ʃ
folleig	f u ʎ 'ɛ t ʃ
fondeig	f u n d 'ɛ t ʃ
forceig	f u r s 'ɛ t ʃ
forneig	f u r n 'ɛ t ʃ
fraseig	f ɾ ə z 'ɛ t ʃ
fredeig	f ɾ ə ð 'ɛ t ʃ
fueteig	f u ə t 'ɛ t ʃ
fulleig	f u ʎ 'ɛ t ʃ
fusteig	f u s t 'ɛ t ʃ
gabieig	g ə β i 'ɛ t ʃ
gaiteig	g ə i t 'ɛ t ʃ
galleig	g ə ʎ 'ɛ t ʃ
galteig	g ə l t 'ɛ t ʃ
gambeig	g ə m b 'ɛ t ʃ
ganseig	g ə n s 'a t ʃ
garbeig	g ə r b 'ɛ t ʃ
garseig	g ə r s 'ɛ t ʃ
gatgeig	g ə d ʒ 'ɛ t ʃ
glaceig	g l ə s 'ɛ t ʃ
glopeig	g l u p 'ɛ t ʃ
gorreig	g u r 'ɛ t ʃ
graneig	g ɾ ə n 'ɛ t ʃ
grapeig	g ɾ ə p 'ɛ t ʃ
griseig	g ɾ i z 'a t ʃ
grumeig	g ɾ u m 'ɛ t ʃ
gusteig	g u s t 'ɛ t ʃ
herbeig	ə r b 'ɛ t ʃ
hosteig	u s t 'ɛ t ʃ
justeig	ʒ u s t 'ɛ t ʃ
llaneig	ʎ ə n 'ɛ t ʃ
llebeig	ʎ ə β 'ɛ t ʃ
llodrig	ʎ u ð ɾ 'i t ʃ
lloreig	ʎ u ɾ 'a t ʃ
lloteig	ʎ u t 'ɛ t ʃ
llumeig	ʎ u m 'ɛ t ʃ
magreig	m ə ɣ ɾ 'ɛ t ʃ
malveig	m ə l β 'ɛ t ʃ
manteig	m ə n 'ɛ t ʃ
marceig	m ə r s 'ɛ t ʃ
masseig	m ə s 'ɛ t ʃ
molleig	m u ʎ 'ɛ t ʃ
moqueig	m u k 'ɛ t ʃ
morreig	m u r 'ɛ t ʃ
nasseig	n ə s 'ɛ t ʃ
negreig	n ə ɣ ɾ 'ɛ t ʃ
nolieig	n u l i 'ɛ t ʃ
nordeig	n u r t 'ɛ t ʃ
ombreig	u m b ɾ 'ɛ t ʃ
oroneig	u ɾ u n 'ɛ t ʃ
orqueig	u r k 'ɛ t ʃ
pacteig	p ə k t 'ɛ t ʃ
palleig	p ə ʎ 'ɛ t ʃ
palmeig	p ə l m 'ɛ t ʃ
palpeig	p ə l p 'ɛ t ʃ
paltrig	p ə l t ɾ 'i t ʃ
parceig	p ə r s 'ɛ t ʃ
passeig	p ə s 'ɛ t ʃ
pedreig	p ə ð ɾ 'ɛ t ʃ
peixeig	p ə ʃ 'ɛ t ʃ
perfaig	p ə r f 'a t ʃ
perleig	p ə r l 'ɛ t ʃ
perneig	p ə r n 'ɛ t ʃ
perxeig	p ə r ʃ 'ɛ t ʃ
pfennig	p f ə n n 'i
pinxeig	p i n ʃ 'ɛ t ʃ
piuleig	p i u l 'ɛ t ʃ
planeig	p l ə n 'ɛ t ʃ
plateig	p l ə t 'ɛ t ʃ
pledeig	p l ə ð 'ɛ t ʃ
plomeig	p l u m 'ɛ t ʃ
pobleig	p u b b l 'ɛ t ʃ
pobreig	p u β ɾ 'ɛ t ʃ
polseig	p u l s 'ɛ t ʃ
polzeig	p u l z 'ɛ t ʃ
pompeig	p u m p 'ɛ t ʃ
poqueig	p u k 'ɛ t ʃ
preveig	p ɾ ə β 'ɛ t ʃ
primeig	p ɾ i m 'ɛ t ʃ
puafuig	p u ə f 'u t ʃ
pulleig	p u ʎ 'ɛ t ʃ
punteig	p u n t 'ɛ t ʃ
purneig	p u r n 'ɛ t ʃ
regleig	r ə ɣ l 'ɛ t ʃ
repluig	r ə p l 'u t ʃ
roineig	r u i n 'ɛ t ʃ
rondeig	r u n d 'ɛ t ʃ
ronseig	r u n s 'a t ʃ
roqueig	r u k 'ɛ t ʃ
rosseig	r u s 'ɛ t ʃ
rumbeig	r u m b 'ɛ t ʃ
ruqueig	r u k 'ɛ t ʃ
sabreig	s ə β ɾ 'ɛ t ʃ
sacseig	s ə k s 'ɛ t ʃ
safreig	s ə f ɾ 'ɛ t ʃ
salmeig	s ə l m 'ɛ t ʃʃ
salteig	s ə l t 'ɛ t ʃ
santeig	s ə n t 'ɛ t ʃ
saqueig	s ə k 'ɛ t ʃ
savieig	s ə β i 'ɛ t ʃ
serpeig	s ə r p 'ɛ t ʃ
serreig	s ə r 'ɛ t ʃ
sesteig	s ə s t 'ɛ t ʃ
sogueig	s u ɣ 'ɛ t ʃ
soldeig	s u l d 'ɛ t ʃ
solfeig	s u l f 'ɛ t ʃ
solraig	s u l r 'a t ʃ
somieig	s u m i 'ɛ t ʃ
sondeig	s u n d 'ɛ t ʃ
sonseig	s u n s 'a t ʃ
sopluig	s u p l 'u t ʃ
sordeig	s u r t 'ɛ t ʃ
sorneig	s u r n 'ɛ t ʃ
sorreig	s u r 'ɛ t ʃ
sorteig	s u r t 'ɛ t ʃ
sufumig	s u f u m 'i t ʃ
suqueig	s u k 'ɛ t ʃ
surreig	s u r 'ɛ t ʃ
talpeig	t ə l p 'ɛ t ʃ
tanteig	t ə n t 'ɛ t ʃ
taqueig	t ə k 'ɛ t ʃ
tardeig	t ə r t 'ɛ t ʃ
tauleig	t ə w l 'ɛ t ʃ
tecleig	t ə k l 'ɛ t ʃ
terceig	t ə r s 'ɛ t ʃ
terreig	t ə r 'ɛ t ʃ
tombeig	t u m b 'ɛ t ʃ
toqueig	t u k 'ɛ t ʃ
torceig	t u r s 'ɛ t ʃ
torneig	t u r n 'ɛ t ʃ
torreig	t u r 'ɛ t ʃ
torteig	t u r t 'ɛ t ʃ
trabuig	t ɾ ə β 'u t ʃ
trapeig	t ɾ ə p 'ɛ t ʃ
trepeig	t ɾ ə p 'ɛ t ʃ
trufeig	t ɾ u f 'ɛ t ʃ
ufaneig	u f ə n 'ɛ t ʃ
ungleig	u ŋ g l 'ɛ t ʃ
vagueig	b ə ɣ 'ɛ t ʃ
valleig	b ə ʎ 'ɛ t ʃ
vaqueig	b ə k 'ɛ t ʃ
varieig	b ə ɾ i 'ɛ t ʃ
venteig	b ə n t 'ɛ t ʃ
verbeig	b ə r b 'ɛ t ʃ
verdeig	b ə r t 'ɛ t ʃ
verseig	b ə r s 'ɛ t ʃ
vinteig	b i n t 'ɛ t ʃ
volteig	b u l t 'ɛ t ʃ
xanxeig	ʃ ə n ʃ 'ɛ t ʃ
zumzeig	z u m z 'ɛ t ʃ
Alboraig	ə l β u ɾ 'a t ʃ
Bellpuig	b ə ʎ p 'u t ʃ
Calabuig	k ə l ə β 'u t ʃ
abrileig	ə β ɾ i l 'ɛ t ʃ
agosteig	ə ɣ u s t 'ɛ t ʃ
andareig	ə n d ə ɾ 'ɛ t ʃ
bafaneig	b ə f ə n 'ɛ t ʃ
barqueig	b ə r k 'ɛ t ʃ
basqueig	b ə s k 'ɛ t ʃ
begoleig	b ə ɣ u l 'ɛ t ʃ
besoteig	b ə z u t 'ɛ t ʃ
bestieig	b ə s t i t 'i t ʃ
bevoteig	b ə β u t 'ɛ t ʃ
bloqueig	b l u k 'ɛ t ʃ
bocineig	b u s i n 'ɛ t ʃ
brandeig	b ɾ ə n d 'ɛ t ʃ
bregueig	b ɾ ə ɣ 'ɛ t ʃ
bronzeig	b ɾ u n z 'ɛ t ʃ
brosteig	b ɾ u s t 'ɛ t ʃ
bufeteig	b u f ə t 'ɛ t ʃ
bufoneig	b u f u n 'ɛ t ʃ
bugadeig	b u ɣ ə ð 'ɛ t ʃ
caboteig	k ə β u t 'ɛ t ʃ
cabrafig	k ə β ɾ ə f 'i ɣ
cacareig	k ə k ə ɾ 'ɛ t ʃ
cadireig	k ə ð i ɾ 'a t ʃ
caliueig	k ə l i u 'ɛ t ʃ
caloreig	k ə l u ɾ 'a t ʃ
calqueig	k ə l k 'ɛ t ʃ
camadeig	k ə m ə ð 'ɛ t ʃ
cambreig	k ə m b ɾ 'ɛ t ʃ
canoneig	k ə n u n 'ɛ t ʃ
capoteig	k ə p u t 'ɛ t ʃ
careneig	k ə ɾ ə n 'ɛ t ʃ
cendreig	s ə n d ɾ 'ɛ t ʃ
claqueig	k l ə k 'ɛ t ʃ
classeig	k l ə s 'ɛ t ʃ
cliqueig	k l i k 'ɛ t ʃ
cloqueig	k l u k 'ɛ t ʃ
comareig	k u m ə ɾ 'ɛ t ʃ
craqueig	k ɾ ə k 'ɛ t ʃ
cresteig	k ɾ ə s t 'ɛ t ʃ
degoteig	d ə ɣ u t 'ɛ t ʃ
desabrig	d ə z ə β ɾ 'i ɣ
desenuig	d ə z ə n 'u t ʃ
desoblig	d ə z u β l 'i k
diableig	d i ə b b l 'ɛ t ʃ
doloreig	d u l u ɾ 'ɛ t ʃ
dotoreig	d u t u ɾ 'ɛ t ʃ
emmustig	ə m m u s t 'i k
entrebig	ə n t ɾ ə β 'i t ʃ
entremig	ə n t ɾ ə m 'i t ʃ
escaneig	ə s k ə n 'ɛ t ʃ
escatxig	ə s k ə t ʃ 'i k
escudeig	ə s k u ð 'ɛ t ʃ
escumeig	ə s k u m 'ɛ t ʃ
especeig	ə s p ə s 'ɛ t ʃ
espessig	ə s p ə s 'i k
espireig	ə s p i ɾ 'ɛ t ʃ
espumeig	ə s p u m 'ɛ t ʃ
estabeig	ə s t ə β 'ɛ t ʃ
estiueig	ə s t i u 'ɛ t ʃ
estopeig	ə s t u p 'ɛ t ʃ
fangueig	f ə ŋ g 'ɛ t ʃ
faroleig	f ə ɾ u l 'ɛ t ʃ
faroneig	f ə ɾ u n 'ɛ t ʃ
favoreig	f ə β u ɾ 'ɛ t ʃ
ferumeig	f ə ɾ u m 'ɛ t ʃ
fileteig	f i l ə t 'ɛ t ʃ
fimbreig	f i m b ɾ 'ɛ t ʃ
flaireig	f l ə i ɾ 'ɛ t ʃ
flaqueig	f l ə k 'ɛ t ʃ
flauteig	f l ə u t 'ɛ t ʃ
flirteig	f l i r t 'ɛ t ʃ
fluixeig	f l u ʃ 'ɛ t ʃ
fogoneig	f u ɣ u n 'ɛ t ʃ
forqueig	f u r k 'ɛ t ʃ
fosqueig	f u s k 'ɛ t ʃ
fresseig	f ɾ ə s 'ɛ t ʃ
fureteig	f u ɾ ə t 'ɛ t ʃ
furoneig	f u ɾ u n 'ɛ t ʃ
galaneig	g ə l ə n 'ɛ t ʃ
galoneig	g ə l u n 'ɛ t ʃ
glorieig	g l u ɾ i 'ɛ t ʃ
gralleig	g ɾ ə ʎ 'ɛ t ʃ
grandeig	g ɾ ə n d 'ɛ t ʃ
grogueig	g ɾ u ɣ 'ɛ t ʃ
gronxeig	g ɾ u n ʃ 'ɛ t ʃ
guerreig	g ə r 'ɛ t ʃ
guerxeig	g ə r ʃ 'ɛ t ʃ
homeneig	u m ə n 'ɛ t ʃ
humiteig	u m i t 'ɛ t ʃ
investig	i m b ə s t 'i k
joveneig	ʒ u β ə n 'ɛ t ʃ
fenc	f 'ɛ ŋ
penc	p 'ɛ ŋ
tenc	t 'ɛ ŋ
venc	b 'ɛ ŋ
venç	b 'ɛ ŋ
vénc	b 'e n s
zenc	z 'ɛ ŋ
Llenç	ʎ 'ɛ ŋ
agenç	ə ʒ 'ɛ ŋ
arenc	ə ɾ 'ɛ ŋ
asenc	ə z 'ɛ ŋ
atenc	ə t 'ɛ ŋ
avenc	ə β 'ɛ ŋ
avenç	ə β 'ɛ ŋ
brenc	b ɾ 'ɛ ŋ k
elenc	ə l 'ɛ ŋ
erenc	ə ɾ 'ɛ ŋ
llenç	ʎ 'ɛ ŋ
obenc	u β 'ɛ ŋ
ofenc	u f 'ɛ ŋ
prenc	p ɾ 'ɛ ŋ
tienc	t i 'ɛ ŋ
trenc	t ɾ 'ɛ ŋ
vienc	b i 'ɛ ŋ
Cebenc	s ə β 'ɛ ŋ
Proenç	p ɾ u 'ɛ ŋ
Pugenc	p u ʒ 'ɛ ŋ
Solenc	s u l 'ɛ ŋ
Vicenç	b i s 'ɛ ŋ
acienç	ə s i 'ɛ ŋ
advenc	ə d b 'ɛ ŋ
agrenc	ə ɣ ɾ 'ɛ ŋ
albenc	ə l β 'ɛ ŋ
allenc	ə ʎ 'ɛ ŋ
alpenc	ə l p 'ɛ ŋ
alvenc	ə l β 'ɛ ŋ
anyenc	ə ɲ 'ɛ ŋ
aprenc	ə p ɾ 'ɛ ŋ
argenç	ə r ʒ 'ɛ ŋ
arrenc	ə r 'ɛ ŋ k
aspenc	ə s p 'ɛ ŋ
aïnenc	ə i n 'ɛ ŋ
bagenc	b ə ʒ 'ɛ ŋ
barenc	b ə ɾ 'ɛ ŋ
basenc	b ə z 'ɛ ŋ
belenc	b ə l 'ɛ ŋ
botenc	b u t 'ɛ ŋ
bouenc	b u w 'ɛ ŋ
bovenc	b u β 'ɛ ŋ
burenc	b u ɾ 'ɛ ŋ
capenc	k ə p 'ɛ ŋ
començ	k u m 'ɛ ŋ
cruenc	k ɾ u 'ɛ ŋ
dasenc	d ə z 'ɛ ŋ
defenc	d ə f 'ɛ ŋ
depenc	d ə p 'ɛ ŋ
detenc	d ə t 'ɛ ŋ
einenc	ə i n 'ɛ ŋ
eldenc	ə l d 'ɛ ŋ
encenc	ə n s 'ɛ ŋ
entenc	ə n t 'ɛ ŋ
espenc	ə s p 'ɛ ŋ
estenc	ə s t 'ɛ ŋ
eusenc	ə u s 'ɛ ŋ
expenc	ə k s p 'ɛ ŋ
ferenc	f ə ɾ 'ɛ ŋ
forenc	f u ɾ 'ɛ ŋ
gerenc	ʒ ə ɾ 'ɛ ŋ
illenc	i ʎ 'ɛ ŋ
janenc	ʒ ə n 'ɛ ŋ
josenc	ʒ u z 'ɛ ŋ
magenc	m ə ʒ 'ɛ ŋ
mogenc	m u ʒ 'ɛ ŋ
moienc	m u j 'ɛ ŋ
morenc	m u ɾ 'ɛ ŋ
mulenc	m u l 'ɛ ŋ
nouenc	n u w 'ɛ ŋ
obtenc	u p t 'ɛ ŋ
obvenc	u b b 'ɛ ŋ
oixenc	u ʃ 'ɛ ŋ k
olienc	u l i 'ɛ ŋ
palenc	p ə l 'ɛ ŋ
pauenc	p ə w 'ɛ ŋ
pinenc	p i n 'ɛ ŋ
podenc	p u ð 'ɛ ŋ
putenc	p u t 'ɛ ŋ
ralenc	r ə l 'ɛ ŋ
rarenc	r ə ɾ 'ɛ ŋ
retenc	r ə t 'ɛ ŋ
revenc	r ə β 'ɛ ŋ
revenç	r ə β 'ɛ ŋ
rodenc	r u ð 'ɛ ŋ
rogenc	r u ʒ 'ɛ ŋ
rosenc	r u z 'ɛ ŋ
salenc	s ə l 'ɛ ŋ
sedenc	s ə ð 'ɛ ŋ
sevenc	s ə β 'ɛ ŋ
silenc	s i l 'ɛ ŋ
sorenc	s u ɾ 'ɛ ŋ
surenc	s u ɾ 'ɛ ŋ
tofenc	t u f 'ɛ ŋ
tonenc	t u n 'ɛ ŋ
touenc	t u w 'ɛ ŋ
tovenc	t u β 'ɛ ŋ
urnenc	u r n 'ɛ ŋ
vilenc	b i l 'ɛ ŋ
vitenc	b i t 'ɛ ŋ
xaienc	ʃ ə j 'ɛ ŋ
xinenc	ʃ i n 'ɛ ŋ
xodenc	ʃ u ð 'ɛ ŋ
Carlenc	k ə r l 'ɛ ŋ k
Climenç	k l i m 'ɛ ŋ
Foixenc	f u ʃ 'ɛ ŋ k
Hostenc	u s t 'ɛ ŋ
Llorenç	ʎ u ɾ 'ɛ ŋ
Moixenc	m u ʃ 'ɛ ŋ k
Salsenc	s ə l s 'ɛ ŋ k
abadenc	ə β ə ð 'ɛ ŋ
abstenc	ə p s t 'ɛ ŋ
agerenc	ə ʒ ə ɾ 'ɛ ŋ
alosenc	ə l u z 'ɛ ŋ
amerenc	ə m ə ɾ 'ɛ ŋ
anoienc	ə n u i 'ɛ ŋ
aparenç	ə p ə ɾ 'ɛ ŋ
arenenc	ə ɾ ə n 'ɛ ŋ
arrienc	ə r i 'ɛ ŋ
asprenc	ə s p ɾ 'ɛ ŋ
atenenc	ə t ə n 'ɛ ŋ
avinenç	ə β i n 'ɛ ŋ
badienc	b ə ð i 'ɛ ŋ
biarenc	b i ə ɾ 'ɛ ŋ
biurenc	b i u ɾ 'ɛ ŋ
blanenc	b l ə n 'ɛ ŋ
blavenc	b l ə β 'ɛ ŋ
boirenc	b u i ɾ 'ɛ ŋ
bordenc	b u r t 'ɛ ŋ
borgenc	b u r ʒ 'ɛ ŋ
bredenc	b ɾ ə ð 'ɛ ŋ
brunenc	b ɾ u n 'ɛ ŋ
cabrenc	k ə β ɾ 'ɛ ŋ k
cairenc	k ə j ɾ 'ɛ ŋ
caldenc	k ə l d 'ɛ ŋ
canoenc	k ə n u 'ɛ ŋ
captenc	k ə p t 'ɛ ŋ
cartenc	k ə r t 'ɛ ŋ
carvenc	k ə r b 'ɛ ŋ
coixenc	k u ʃ 'ɛ ŋ k
contenc	k u n t 'ɛ ŋ
convenc	k u m b 'ɛ ŋ
convenç	k u m b 'ɛ ŋ
costenc	k u s t 'ɛ ŋ
cretenc	k ɾ ə t 'ɛ ŋ
despenc	d ə s p 'ɛ ŋ
distenc	d i s t 'ɛ ŋ
doblenc	d u p l 'ɛ ŋ k
dolcenc	d u l s 'ɛ ŋ
egarenc	ə ɣ ə ɾ 'ɛ ŋ
emprenc	ə m p ɾ 'ɛ ŋ
estrenc	ə s t ɾ 'ɛ ŋ
evolenc	ə β u l 'ɛ ŋ
ferrenc	f ə r 'ɛ ŋ k
flamenc	f l ə m 'ɛ ŋ
flixenc	f l i k s 'ɛ ŋ k
fredenc	f ɾ ə ð 'ɛ ŋ
gravenc	g ɾ ə β 'ɛ ŋ
grisenc	g ɾ i z 'ɛ ŋ
guixenc	g i ʃ 'ɛ ŋ k
hortenc	u r t 'ɛ ŋ
ilurenc	i l u ɾ 'ɛ ŋ
isclenc	i s k l 'ɛ ŋ
isonenc	i z u n 'ɛ ŋ
jafrenc	ʒ ə f ɾ 'ɛ ŋ k
joquenc	ʒ u k 'ɛ ŋ
jorbenc	ʒ u r b 'ɛ ŋ k
llamenc	ʎ ə m 'ɛ ŋ
llesenc	ʎ ə z 'ɛ ŋ
llimenc	ʎ i m 'ɛ ŋ
mallenc	m ə ʎ 'ɛ ŋ
malvenc	m ə l β 'ɛ ŋ
mantenc	m ə n t 'ɛ ŋ
marcenc	m ə r s 'ɛ ŋ
masoenc	m ə z u 'ɛ ŋ
mierenc	m i ə ɾ 'ɛ ŋ
mirrenc	m i r 'ɛ ŋ k
mitgenc	m i d ʒ 'ɛ ŋ
mollenc	m u ʎ 'ɛ ŋ
naügenc	n ə w ʒ 'ɛ ŋ
negrenc	n ə ɣ ɾ 'ɛ ŋ
nullenc	n u ʎ 'ɛ ŋ
ocegenc	u s ə ʒ 'ɛ ŋ
odenenc	u ð ə n 'ɛ ŋ
oletenc	u l ə t 'ɛ ŋ
olonenc	u l u n 'ɛ ŋ
ometenc	u m ə t 'ɛ ŋ
onilenc	u n i l 'ɛ ŋ
opolenc	u p u l 'ɛ ŋ
ordienc	u r t i 'ɛ ŋ
orisenc	u ɾ i z 'ɛ ŋ
