A	'ə
frescos	f ɾ 'ɛ s k u s
fresen	f ɾ 'ɛ z ə n
freses	f ɾ 'ɛ z ə s
fresi	f ɾ 'ɛ z i
fresin	f ɾ 'ɛ z i n
fresis	f ɾ 'ɛ z i s
freso	f ɾ 'ɛ z u
fresques	f ɾ 'ɛ s k ə s
fressa	f ɾ 'ɛ s ə
fressar	f ɾ ə s 'a
fressat	f ɾ ə s 'a t
fressejar	f ɾ ə s ə ʒ 'a
fressen	f ɾ 'ɛ s ə n
fresses	f ɾ 'ɛ s ə s
fresseta	f ɾ ə s 'ɛ t ə
fressi	f ɾ 'ɛ s i
fressin	f ɾ 'ɛ s i n
fressis	f ɾ 'ɛ s i s
fresso	f ɾ 'ɛ s u
fricatiu	f ɾ i k ə t 'i w
fricativa	f ɾ i k ə t 'i β ə
fricatives	f ɾ i k ə t 'i β ə s
fricció	f ɾ i k s i 'o
frigi	f ɾ 'i ʒ i
Frígia	f ɾ 'i ʒ i ə
frígia	f ɾ 'i ʒ i ə
frígid	f ɾ 'i ʒ i t
frígida	f ɾ 'i ʒ i ð ə
frígies	f ɾ 'i ʒ i ə s
frigis	f ɾ 'i ʒ i s
frigorífic	f ɾ i ɣ u ɾ 'i f i k
fris	f ɾ 'i s
frisada	f ɾ i z 'a ð ə
frisar	f ɾ i z 'a
Frísia	f ɾ 'i z i ə
frisó	f ɾ i z 'o
frisos	f ɾ 'i z u s
Friül	f ɾ i 'u l
frívol	f ɾ 'i β u l
frívola	f ɾ 'i β u l ə
frivolitat	f ɾ i β u l i t 'a t
frondós	f ɾ u n d 'o s
front	f ɾ 'o n
frontal	f ɾ u n t 'a l
frontera	f ɾ u n t 'e ɾ ə
fronterer	f ɾ u n t ə ɾ 'e
frontissa	f ɾ u n t 'i s ə
frontisses	f ɾ u n t 'i s ə s
frotis	f ɾ 'ɔ t i s
Fructuós	f ɾ u k t u 'o s
frugalitat	f ɾ u ɣ ə l i t 'a t
frugívor	f ɾ u ʒ 'i β u r
fruit	f ɾ 'u j t
fruita	f ɾ 'u j t ə
frustra	f ɾ 'u s t ɾ ə
frustrada	f ɾ u s t ɾ 'a ð ə
frustrades	f ɾ u s t ɾ 'a ð ə s
frustrar	f ɾ u s t ɾ 'a
frustrarem	f ɾ u s t ɾ ə ɾ 'ɛ m
frustrares	f ɾ u s t ɾ 'a ɾ ə s
frustraria	f ɾ u s t ɾ ə ɾ 'i ə
frustrat	f ɾ u s t ɾ 'a t
frustrats	f ɾ u s t ɾ 'a t s
frustrava	f ɾ u s t ɾ 'a β ə
frustrem	f ɾ u s t ɾ 'ɛ m
frustres	f ɾ 'u s t ɾ ə s
frustro	f ɾ 'u s t ɾ u
fruticós	f ɾ u t i k 'o s
fúcsia	f 'u k s i ə
fudre	f 'u ð ɾ ə
fuet	f u 'ɛ t
fuetejada	f u ə t ə ʒ 'a ð ə
fuetejades	f u ə t ə ʒ 'a ð ə s
fuetejar	f u ə t ə ʒ 'a
fuetejat	f u ə t ə ʒ 'a t
fuetejats	f u ə t ə ʒ 'a t s
fuga	f 'u ɣ ə
fugaç	f u ɣ 'a s
fugaces	f u ɣ 'a s ə s
fugida	f u ʒ 'i ð ə
fugides	f u ʒ 'i ð ə s
fugir	f u ʒ 'i
fugisser	f u ʒ i s 'e
fugit	f u ʒ 'i t
fugitiu	f u ʒ i t 'i w
fugitius	f u ʒ i t 'i w s
fugitiva	f u ʒ i t 'i β ə
fugitives	f u ʒ i t 'i β ə s
fugits	f u ʒ 'i t s
fugues	f 'u ɣ ə s
fui	f 'u j
fuig	f 'u t ʃ
fuita	f 'u j t ə
fulgurant	f u l ɣ u ɾ 'a n
fulgurar	f u l ɣ u ɾ 'a
full	f 'u ʎ
fulla	f 'u ʎ ə
fullaca	f u ʎ 'a k ə
fullada	f u ʎ 'a ð ə
fullar	f u ʎ 'a
fullaraca	f u ʎ ə ɾ 'a k ə
fullat	f u ʎ 'a t
fullatge	f u ʎ 'a d ʒ ə
fullet	f u ʎ 'ɛ t
fullola	f u ʎ 'ɔ l ə
fullós	f u ʎ 'o s
fulmar	f u l m 'a
fulminar	f u l m i n 'a
fulvè	f u l β 'ɛ
fum	f 'u m
fumada	f u m 'a ð ə
fumades	f u m 'a ð ə s
fumador	f u m ə ð 'o
fumant	f u m 'a n
fumar	f u m 'a
fumària	f u m 'a ɾ i ə
fumat	f u m 'a t
fumatge	f u m 'a d ʒ ə
fumats	f u m 'a t s
fumejar	f u m ə ʒ 'a
fúmer	f 'u m ə r
fumera	f u m 'e ɾ ə
fumeral	f u m ə ɾ 'a l
fumigació	f u m i ɣ ə s i 'o
fumigada	f u m i ɣ 'a ð ə
fumigades	f u m i ɣ 'a ð ə s
fumigar	f u m i ɣ 'a
fumigares	f u m i ɣ 'a ɾ ə s
fumigat	f u m i ɣ 'a t
fumigats	f u m i ɣ 'a t s
fumuda	f u m 'u ð ə
fumudes	f u m 'u ð ə s
fumut	f u m 'u t
fumuts	f u m 'u t s
funambulisme	f u n ə m b u l 'i z m ə
funàmbuls	f u n 'a m b u l s
funció	f u n s i 'o
funcionada	f u n s i u n 'a ð ə
funcionades	f u n s i u n 'a ð ə s
funcional	f u n s i u n 'a l
funcionalitat	f u n s i u n ə l i t 'a t
funcionalitats	f u n s i u n ə l i t 'a t s
funcionament	f u n s i u n ə m 'e n
funcionar	f u n s i u n 'a
funcionari	f u n s i u n 'a ɾ i
funcionaria	f u n s i u n ə ɾ 'i ə
funcionària	f u n s i u n 'a ɾ i ə
funcionat	f u n s i u n 'a t
funcionats	f u n s i u n 'a t s
funda	f 'u n d ə
fundació	f u n d ə s i 'o
fundacional	f u n d ə s i u n 'a l
fundada	f u n d 'a ð ə
fundades	f u n d 'a ð ə s
fundador	f u n d ə ð 'o
fundadora	f u n d ə ð 'o ɾ ə
fundadors	f u n d ə ð 'o s
fundar	f u n d 'a
fundat	f u n d 'a t
fundats	f u n d 'a t s
fúnebre	f 'u n ə β ɾ ə
funeral	f u n ə ɾ 'a l
funerari	f u n ə ɾ 'a ɾ i
funerària	f u n ə ɾ 'a ɾ i ə
fungible	f u n ʒ 'i b b l ə
fúngic	f 'u n ʒ i k
fúngica	f 'u n ʒ i k ə
fúngics	f 'u n ʒ i k s
fúngiques	f 'u n ʒ i k ə s
funicular	f u n i k u l 'a r
fur	f 'u r
fura	f 'u ɾ ə
furà	f u ɾ 'a
furada	f u ɾ 'a ð ə
furades	f u ɾ 'a ð ə s
furar	f u ɾ 'a
furat	f u ɾ 'a t
furats	f u ɾ 'a t s
fúria	f 'u ɾ i ə
furibund	f u ɾ i β 'u n
furiós	f u ɾ i 'o s
furó	f u ɾ 'o
furor	f u ɾ 'o r
furt	f 'u r t
furtar	f u r t 'a
furtiu	f u r t 'i w
furtius	f u r t 'i w s
furtiva	f u r t 'i β ə
furtives	f u r t 'i β ə s
fus	f 'u s
fuselatge	f u z ə l 'a d ʒ ə
fusell	f u z 'e ʎ
fusible	f u z 'i b b l ə
fusió	f u z i 'o
fusionada	f u z i u n 'a ð ə
fusionades	f u z i u n 'a ð ə s
fusionar	f u z i u n 'a
fusionat	f u z i u n 'a t
fusionats	f u z i u n 'a t s
fust	f 'u s t
fusta	f 'u s t ə
fustam	f u s t 'a m
fuster	f u s t 'e
fusterejar	f u s t ə ɾ ə ʒ 'a
fusteria	f u s t ə ɾ 'i ə
fusterianisme	f u s t ə ɾ i ə n 'i z m ə
fustigada	f u s t i ɣ 'a ð ə
fustigades	f u s t i ɣ 'a ð ə s
fustigar	f u s t i ɣ 'a
fustigat	f u s t i ɣ 'a t
fustigats	f u s t i ɣ 'a t s
fútil	f 'u t i l
futur	f u t 'u r
gebrar	ʒ ə β ɾ 'a
gec	ʒ 'ɛ k
gecs	ʒ 'ɛ k s
gegant	ʒ ə ɣ 'a n
gegantesc	ʒ ə ɣ ə n t 'ɛ s k
gegantí	ʒ ə ɣ ə n t 'i
gel	ʒ 'ɛ l
gela	ʒ 'ɛ l ə
gelà	ʒ ə l 'a
gelada	ʒ ə l 'a ð ə
gelades	ʒ ə l 'a ð ə s
gelar	ʒ ə l 'a
gelarà	ʒ ə l ə ɾ 'a
gelarem	ʒ ə l ə ɾ 'ɛ m
gelàrem	ʒ ə l 'a ɾ ə m
gelares	ʒ ə l 'a ɾ ə s
gelaria	ʒ ə l ə ɾ 'i ə
gelat	ʒ ə l 'a t
gelateria	ʒ ə l ə t ə ɾ 'i ə
gelatina	ʒ ə l ə t 'i n ə
gelatinós	ʒ ə l ə t i n 'o s
gelats	ʒ ə l 'a t s
gelava	ʒ ə l 'a β ə
gelem	ʒ ə l 'ɛ m
gelen	ʒ 'ɛ l ə n
geles	ʒ 'ɛ l ə s
gelés	ʒ ə l 'e s
geli	ʒ 'ɛ l i
gelin	ʒ 'ɛ l i n
gelis	ʒ 'ɛ l i s
gelo	ʒ 'ɛ l u
gelós	ʒ ə l 'o s
gelosia	ʒ ə l u z 'i ə
gemec	ʒ ə m 'e k
gemegar	ʒ ə m ə ɣ 'a
gemegat	ʒ ə m ə ɣ 'a t
geminar	ʒ ə m i n 'a
geminat	ʒ ə m i n 'a t
gemir	ʒ ə m 'i
gemma	ʒ 'e m m ə
Gemma	ʒ 'e m m ə
gemmes	ʒ 'ɛ m m ə s
gen	ʒ 'ɛ n
gençana	ʒ ə n s 'a n ə
gençaneta	ʒ ə n s ə n 'ɛ t ə
genciana	ʒ ə n s i 'a n ə
gendre	ʒ 'ɛ n d ɾ ə
gendres	ʒ 'ɛ n d ɾ ə s
genealogia	ʒ ə n e ə l u ʒ 'i ə
gener	ʒ ə n 'e
generació	ʒ ə n ə ɾ ə s i 'o
generacional	ʒ ə n ə ɾ ə s i u n 'a l
generada	ʒ ə n ə ɾ 'a ð ə
generades	ʒ ə n ə ɾ 'a ð ə s
generador	ʒ ə n ə ɾ ə ð 'o
generadora	ʒ ə n ə ɾ ə ð 'o ɾ ə
generadores	ʒ ə n ə ɾ ə ð 'o ɾ ə s
generadors	ʒ ə n ə ɾ ə ð 'o s
general	ʒ ə n ə ɾ 'a l
Generalitat	ʒ ə n ə ɾ ə l i t 'a t
generalitat	ʒ ə n ə ɾ ə l i t 'a t
generalitzat	ʒ ə n ə ɾ ə l i d z 'a t
generals	ʒ ə n ə ɾ 'a l s
generar	ʒ ə n ə ɾ 'a
generat	ʒ ə n ə ɾ 'a t
generats	ʒ ə n ə ɾ 'a t s
gènere	ʒ 'ɛ n ə ɾ ə
genèric	ʒ ə n 'ɛ ɾ i k
genèrica	ʒ ə n 'ɛ ɾ i k ə
genèrics	ʒ ə n 'ɛ ɾ i k s
genèriques	ʒ ə n 'ɛ ɾ i k ə s
generositat	ʒ ə n ə ɾ u z i t 'a t
Gènesi	ʒ 'ɛ n ə z i
gènesi	ʒ 'ɛ n ə z i
geneta	ʒ ə n 'ɛ t ə
genètic	ʒ ə n 'ɛ t i k
genètica	ʒ ə n 'ɛ t i k ə
genètics	ʒ ə n 'ɛ t i k s
genètiques	ʒ ə n 'ɛ t i k ə s
geni	ʒ 'ɛ n i
genial	ʒ ə n i 'a l
genis	ʒ 'ɛ n i s
Genís	ʒ ə n 'i s
genísser	ʒ ə n 'i s ə
genitiu	ʒ ə n i t 'i w
genitius	ʒ ə n i t 'i w s
genitiva	ʒ ə n i t 'i β ə
genitives	ʒ ə n i t 'i β ə s
geniüda	ʒ ə n i 'u ð ə
geniüdes	ʒ ə n i 'u ð ə s
geniüt	ʒ ə n i 'u t
geniüts	ʒ ə n i 'u t s
geniva	ʒ ə n 'i β ə
genocidi	ʒ ə n u s 'i ð i
genoll	ʒ ə n 'o ʎ
genollada	ʒ ə n u ʎ 'a ð ə
Gènova	ʒ 'ɛ n u β ə
genovesa	ʒ ə n u β 'ɛ z ə
genoveses	ʒ ə n u β 'ɛ z ə s
genovesos	ʒ ə n u β 'ɛ z u s
gens	ʒ 'e n s
gent	ʒ 'e n
gentada	ʒ ə n t 'a ð ə
gentalla	ʒ ə n t 'a ʎ ə
gentil	ʒ ə n t 'i l
gentilici	ʒ ə n t i l 'i s i
gentils	ʒ ə n t 'i l s
gentrificació	ʒ ə n t ɾ i f i k ə s i 'o
genuí	ʒ ə n u 'i
geocèntric	ʒ ə u s 'ɛ n t ɾ i k
geocèntrica	ʒ ə u s 'ɛ n t ɾ i k ə
geocèntrics	ʒ ə u s 'ɛ n t ɾ i k s
geocèntriques	ʒ ə u s 'ɛ n t ɾ i k ə s
geodèsia	ʒ ə u ð 'ɛ z i ə
geodèsic	ʒ ə u ð 'ɛ z i k
geodèsica	ʒ ə u ð 'ɛ z i k ə
geografia	ʒ ə u ɣ ɾ ə f 'i ə
geogràfic	ʒ ə u ɣ ɾ 'a f i k
geogràfica	ʒ ə u ɣ ɾ 'a f i k ə
geogràfics	ʒ ə u ɣ ɾ 'a f i k s
geogràfiques	ʒ ə u ɣ ɾ 'a f i k ə s
geologia	ʒ ə u l u ʒ 'i ə
geològic	ʒ ə u l 'ɔ ʒ i k
geològica	ʒ ə u l 'ɔ ʒ i k ə
geològics	ʒ ə u l 'ɔ ʒ i k s
geològiques	ʒ ə u l 'ɔ ʒ i k ə s
geometria	ʒ ə u m ə t ɾ 'i ə
georgià	ʒ ə u r ʒ i 'a
georgiana	ʒ ə u r ʒ i 'a n ə
georgianes	ʒ ə u r ʒ i 'a n ə s
georgians	ʒ ə u r ʒ i 'a n s
geperuda	ʒ ə p ə ɾ 'u ð ə
geperudes	ʒ ə p ə ɾ 'u ð ə s
geperut	ʒ ə p ə ɾ 'u t
geperuts	ʒ ə p ə ɾ 'u t s
gerani	ʒ ə ɾ 'a n i
gerd	ʒ 'ɛ r
geriatre	ʒ ə ɾ i 'a t ɾ ə
germà	ʒ ə r m 'a
Germà	ʒ ə r m 'a
germana	ʒ ə r m 'a n ə
germanastra	ʒ ə r m ə n 'a s t ɾ ə
germanastre	ʒ ə r m ə n 'a s t ɾ ə
germanet	ʒ ə r m ə n 'ɛ t
germaneta	ʒ ə r m ə n 'ɛ t ə
germani	ʒ ə r m 'a n i
germania	ʒ ə r m ə n 'i ə
Germània	ʒ ə r m 'a n i ə
germànic	ʒ ə r m 'a n i k
germanòfil	ʒ ə r m ə n 'ɔ f i l
germanofília	ʒ ə r m ə n u f 'i l i ə
germanòfon	ʒ ə r m ə n 'ɔ f u n
germans	ʒ ə r m 'a n s
germinal	ʒ ə r m i n 'a l
germinals	ʒ ə r m i n 'a l s
gerra	ʒ 'ɛ r ə
gerrada	ʒ ə r 'a ð ə
gerres	ʒ 'ɛ r ə s
gerret	ʒ ə r 'ɛ t
gerro	ʒ 'ɛ r u
gerros	ʒ 'ɛ r u s
gerundi	ʒ ə ɾ 'u n d i
ges	ʒ 'ɛ s
gespa	ʒ 'e s p ə
gessamí	ʒ ə s ə m 'i
gest	ʒ 'e s t
gesta	ʒ 'e s t ə
gestació	ʒ ə s t ə s i 'o
gestacional	ʒ ə s t ə s i u n 'a l
gestacionals	ʒ ə s t ə s i u n 'a l s
gestada	ʒ ə s t 'a ð ə
gestar	ʒ ə s t 'a
gestes	ʒ 'e s t ə s
gesticulada	ʒ ə s t i k u l 'a ð ə
gesticulades	ʒ ə s t i k u l 'a ð ə s
gesticular	ʒ ə s t i k u l 'a
gesticulat	ʒ ə s t i k u l 'a t
gesticulats	ʒ ə s t i k u l 'a t s
gestió	ʒ ə s t i 'o
gestionada	ʒ ə s t i u n 'a ð ə
gestionar	ʒ ə s t i u n 'a
gestionat	ʒ ə s t i u n 'a t
gestor	ʒ ə s t 'o
gestos	ʒ 'e s t u s
getó	ʒ ə t 'o
gibelí	ʒ i β ə l 'i
gibó	ʒ i β 'o
Gibraltar	ʒ i β ɾ ə l t 'a
gibrelleta	ʒ i β ɾ ə ʎ 'ɛ t ə
gigre	ʒ 'i ɣ ɾ ə
Gil	ʒ 'i l
gimcana	ʒ i m k 'a n ə
gimnàs	ʒ i m n 'a s
gimnasos	ʒ i m n 'a z u s
gimnasta	ʒ i m n 'a s t ə
ginebra	ʒ i n 'e β ɾ ə
Ginebra	ʒ i n 'e β ɾ ə
ginebró	ʒ i n ə β ɾ 'o
ginecològica	ʒ i n ə k u l 'ɔ ʒ i k ə
ginecològics	ʒ i n ə k u l 'ɔ ʒ i k s
ginecològiques	ʒ i n ə k u l 'ɔ ʒ i k ə s
ginesta	ʒ i n 'e s t ə
ginestó	ʒ i n ə s t 'o
ginestola	ʒ i n ə s t 'ɔ l ə
gingivitis	ʒ i n ʒ i β 'i t i s
gínjol	ʒ 'i n ʒ u l
giny	ʒ 'i ɲ
ginya	ʒ 'i ɲ ə
gipó	ʒ i p 'o
gir	ʒ 'i r
gira	ʒ 'i ɾ ə
giracamises	ʒ i ɾ ə k ə m 'i z ə s
girada	ʒ i ɾ 'a ð ə
girades	ʒ i ɾ 'a ð ə s
girafa	ʒ i ɾ 'a f ə
giragonsar	ʒ i ɾ ə ɣ u n s 'a
girar	ʒ i ɾ 'a
girat	ʒ i ɾ 'a t
giratori	ʒ i ɾ ə t 'ɔ ɾ i
girats	ʒ i ɾ 'a t s
girfalc	ʒ i r f 'a l k
girientorn	ʒ i ɾ i ə n t 'o r n
girodina	ʒ i ɾ u ð 'i n ə
girofle	ʒ i ɾ 'ɔ f l ə
gironès	ʒ i ɾ u n 'ɛ s
Gironès	ʒ i ɾ u n 'ɛ s
gironí	ʒ i ɾ u n 'i
gitam	ʒ i t 'a m
gitana	ʒ i t 'a n ə
gitanes	ʒ i t 'a n ə s
gitano	ʒ i t 'a n u
ha	'a
hàbil	'a β i l
habilitació	ə β i l i t ə s i 'o
habilitada	ə β i l i t 'a ð ə
habilitades	ə β i l i t 'a ð ə s
habilitar	ə β i l i t 'a
habilitat	ə β i l i t 'a t
habilitats	ə β i l i t 'a t s
hàbit	'a β i t
habitable	ə β i t 'a b b l ə
habitació	ə β i t ə s i 'o
habitacle	ə β i t 'a k l ə
habitada	ə β i t 'a ð ə
habitades	ə β i t 'a ð ə s
habitar	ə β i t 'a
habitat	ə β i t 'a t
hàbitat	'a β i t ə t
habitatge	ə β i t 'a d ʒ ə
habitats	ə β i t 'a t s
hàbitats	'a β i t ə t s
habitual	ə β i t u 'a l
habitud	ə β i t 'u t
hac	'a k
hacs	'a k s
hadró	ə ð ɾ 'o
hafni	'a f n i
hagi	'a ʒ i
hàgim	'a ʒ i m
hàgiu	'a ʒ i w
haguda	ə ɣ 'u ð ə
hagudes	ə ɣ 'u ð ə s
hagut	ə ɣ 'u t
haguts	ə ɣ 'u t s
Haia	'a j ə
haig	'a t ʃ
Hainan	ə j n 'a n
Hainaut	ə j n 'a w t
Haití	ə j t 'i
hala	'a l ə
halada	ə l 'a ð ə
halades	ə l 'a ð ə s
halal	ə l 'a l
halat	ə l 'a t
halats	ə l 'a t s
halibut	ə l i β 'u t
halitosi	ə l i t 'ɔ z i
halòfit	ə l 'ɔ f i t
halogen	ə l 'ɔ ʒ ə n
halur	ə l 'u r
ham	'a m
hamaca	ə m 'a k ə
Hamburg	ə m b 'u r k
hàmster	'a m s t ə r
han	'a n
handbol	ə n d b 'ɔ l
haptè	ə p t 'ɛ
haram	ə ɾ 'a m
harem	ə ɾ 'ɛ m
harmonia	ə r m u n 'i ə
harmònic	ə r m 'ɔ n i k
harmònica	ə r m 'ɔ n i k ə
harmoniós	ə r m u n i 'o s
harmonitzada	ə r m u n i d z 'a ð ə
harmonitzades	ə r m u n i d z 'a ð ə s
harmonitzar	ə r m u n i d z 'a
harmonitzat	ə r m u n i d z 'a t
harmonitzats	ə r m u n i d z 'a t s
harpia	ə r p 'i ə
has	'a s
hassi	'a s i
haurà	ə w ɾ 'a
hauré	ə w ɾ 'e
haver	ə β 'ɛ
havia	ə β 'i ə
he	'e
hebraic	ə β ɾ 'a j k
hebraista	ə β ɾ ə 'i s t ə
hebrea	ə β ɾ 'e ə
Hèbrides	'ɛ β ɾ i ð ə s
hec	'ɛ k
Hècate	'ɛ k ə t ə
hectàrea	ə k t 'a ɾ e ə
hectòmetre	ə k t 'ɔ m ə t ɾ ə
hedra	'ɛ ð ɾ ə
hegui	'ɛ ɣ i
heguin	'ɛ ɣ i n
heguis	'ɛ ɣ i s
heli	'ɛ l i
helicòpter	ə l i k 'ɔ p t ə r
helicotrema	ə l i k u t ɾ 'ɛ m ə
heliogràfic	ə l i u ɣ ɾ 'a f i k
heliogràfica	ə l i u ɣ ɾ 'a f i k ə
heliogràfics	ə l i u ɣ ɾ 'a f i k s
heliogràfiques	ə l i u ɣ ɾ 'a f i k ə s
Hèlios	'ɛ l i u s
heliotropi	ə l i u t ɾ 'ɔ p i
hèlix	'ɛ l i k s
hemangioma	ə m ə n ʒ i 'ɔ m ə
hemàtic	ə m 'a t i k
hemàtica	ə m 'a t i k ə
hemàtics	ə m 'a t i k s
hemàtiques	ə m 'a t i k ə s
hematologia	ə m ə t u l u ʒ 'i ə
hematúria	ə m ə t 'u ɾ i ə
hematúric	ə m ə t 'u ɾ i k
hematúrica	ə m ə t 'u ɾ i k ə
hematúrics	ə m ə t 'u ɾ i k s
hematúriques	ə m ə t 'u ɾ i k ə s
Hèmera	'ɛ m ə ɾ ə
hemeroteca	ə m ə ɾ u t 'ɛ k ə
hemianòpsia	ə m i ə n 'ɔ p s i ə
hemianòpsies	ə m i ə n 'ɔ p s i ə s
hemolimfa	ə m u l 'i m f ə
heparina	ə p ə ɾ 'i n ə
hepàtic	ə p 'a t i k
hepàtica	ə p 'a t i k ə
hepàtics	ə p 'a t i k s
hepàtiques	ə p 'a t i k ə s
hepatitis	ə p ə t 'i t i s
heptàgon	ə p t 'a ɣ u n
heptagonal	ə p t ə ɣ u n 'a l
heptè	ə p t 'ɛ
heptilè	ə p t i l 'ɛ
heràldic	ə ɾ 'a l d i k
heràldica	ə ɾ 'a l d i k ə
Hercegovina	ə r s ə ɣ u β 'i n ə
Herculà	ə r k u l 'a
herculi	ə r k 'u l i
hereditari	ə ɾ ə ð i t 'a ɾ i
herència	ə ɾ 'ɛ n s i ə
heretar	ə ɾ ə t 'a
heretat	ə ɾ ə t 'a t
heretgia	ə ɾ ə d ʒ 'i ə
herètic	ə ɾ 'ɛ t i k
herètica	ə ɾ 'ɛ t i k ə
herètics	ə ɾ 'ɛ t i k s
herètiques	ə ɾ 'ɛ t i k ə s
hereu	ə ɾ 'ɛ w
hermafroditisme	ə r m ə f ɾ u ð i t 'i z m ə
hermenéutica	ə r m ə n 'e w t i k ə
hermètic	ə r m 'ɛ t i k
hèrnia	'ɛ r n i ə
herniar	ə r n i 'a
herniari	ə r n i 'a ɾ i
herniària	ə r n i 'a ɾ i ə
Herodes	ə ɾ 'ɔ ð ə s
heroi	ə ɾ 'ɔ j
heroic	ə ɾ 'ɔ j k
heroïcitat	ə ɾ u i s i t 'a t
heroïcitats	ə ɾ u i s i t 'a t s
heroïna	ə ɾ u 'i n ə
heroisme	ə ɾ u 'i z m ə
herpes	'ɛ r p ə s
hèrptil	'ɛ r p t i l
hesitació	ə z i t ə s i 'o
hesitada	ə z i t 'a ð ə
hesitades	ə z i t 'a ð ə s
hesitar	ə z i t 'a
hesitat	ə z i t 'a t
hesitats	ə z i t 'a t s
Hestia	ə s t 'i ə
heterogeni	ə t ə ɾ u ʒ 'ɛ n i
heu	'ɛ w
heura	'ɛ w ɾ ə
heure	'ɛ w ɾ ə
heus	'ɛ w s
hevea	ə β 'ɛ ə
hexàpode	ə k s 'a p u ð ə
hi	'i
hibernació	i β ə r n ə s i 'o
hibernada	i β ə r n 'a ð ə
hibernades	i β ə r n 'a ð ə s
hibernar	i β ə r n 'a
hibernat	i β ə r n 'a t
hibernats	i β ə r n 'a t s
hibisc	i β 'i s k
híbrid	'i β ɾ i t
hibridació	i β ɾ i ð ə s i 'o
hibridar	i β ɾ i ð 'a
hibridat	i β ɾ i ð 'a t
hibridí	i β ɾ i ð 'i
hidrant	i ð ɾ 'a n
hidrat	i ð ɾ 'a t
hidratant	i ð ɾ ə t 'a n
hidratar	i ð ɾ ə t 'a
hidroavió	i ð ɾ u ə β i 'o
hidroelèctric	i ð ɾ u ə l 'ɛ k t ɾ i k
hidroelèctrica	i ð ɾ u ə l 'ɛ k t ɾ i k ə
hidroelèctrics	i ð ɾ u ə l 'ɛ k t ɾ i k s
hidroelèctriques	i ð ɾ u ə l 'ɛ k t ɾ i k ə s
hidrogen	i ð ɾ 'ɔ ʒ ə n
hidrogenada	i ð ɾ u ʒ ə n 'a ð ə
hidrogenades	i ð ɾ u ʒ ə n 'a ð ə s
hidrogenar	i ð ɾ u ʒ ə n 'a
hidrogenat	i ð ɾ u ʒ ə n 'a t
hidrogenats	i ð ɾ u ʒ ə n 'a t s
hidrografia	i ð ɾ u ɣ ɾ ə f 'i ə
hidrogràfic	i ð ɾ u ɣ ɾ 'a f i k
hidrogràfica	i ð ɾ u ɣ ɾ 'a f i k ə
hidrogràfics	i ð ɾ u ɣ ɾ 'a f i k s
hidrogràfiques	i ð ɾ u ɣ ɾ 'a f i k ə s
hidromassatge	i ð ɾ u m ə s 'a d ʒ ə
hidromel	i ð ɾ u m 'ɛ l
hidròpic	i ð ɾ 'ɔ p i k
hidroxibenzè	i ð ɾ u k s i β ə n z 'ɛ
hidroxibenzé	i ð ɾ u k s i β ə n z 'e
hidròxid	i ð ɾ 'ɔ k s i t
hidroxinaftalè	i ð ɾ u k s i n ə f t ə l 'ɛ
hidroxinaftalé	i ð ɾ u k s i n ə f t ə l 'e
hidrozou	i ð ɾ u z 'o w
hidrur	i ð ɾ 'u
hieràtic	j ə ɾ 'a t i k
hieràtics	j ə ɾ 'a t i k s
higiene	i ʒ i 'ɛ n ə
higiènic	i ʒ i 'ɛ n i k
higiènica	i ʒ i 'ɛ n i k ə
higiènics	i ʒ i 'ɛ n i k s
higièniques	i ʒ i 'ɛ n i k ə s
himen	'i m ə n
himne	'i m n ə
hindú	i n d 'u
hinduisme	i n d u 'i z m ə
hiperactiu	i p ə ɾ ə k t 'i w
hiperactius	i p ə ɾ ə k t 'i w s
hiperactiva	i p ə ɾ ə k t 'i β ə
hiperactives	i p ə ɾ ə k t 'i β ə s
hiperactivitat	i p ə ɾ ə k t i β i t 'a t
hiperespai	i p ə ɾ ə s p 'a j
hiperespais	i p ə ɾ ə s p 'a j s
hipergegant	i p ə r ʒ ə ɣ 'a n
hipermasculinitat	i p ə r m ə s k u l i n i t 'a t
hiperònim	i p ə ɾ 'ɔ n i m
hiperònima	i p ə ɾ 'ɔ n i m ə
hiperònimes	i p ə ɾ 'ɔ n i m ə s
hiperonímia	i p ə ɾ u n 'i m i ə
hiperònims	i p ə ɾ 'ɔ n i m s
hiperplàsia	i p ə r p l 'a z i ə
hipertensió	i p ə r t ə n s i 'o
hiperuricèmia	i p ə ɾ u ɾ i s 'ɛ m i ə
hipnosi	i b n 'ɔ z i
hipnòtic	i b n 'ɔ t i k
hipnotisme	i b n u t 'i z m ə
hipocamp	i p u k 'a m
hipocondria	i p u k u n d ɾ 'i ə
hipocondríac	i p u k u n d ɾ 'i ə k
hipocondríaca	i p u k u n d ɾ 'i ə k ə
hipocorístic	i p u k u ɾ 'i s t i k
hipocorística	i p u k u ɾ 'i s t i k ə
hipocorístics	i p u k u ɾ 'i s t i k s
hipocorístiques	i p u k u ɾ 'i s t i k ə s
hipòcrita	i p 'ɔ k ɾ i t ə
hipofaringe	i p u f ə ɾ 'i n ʒ ə
hipòfisi	i p 'ɔ f i z i
hipòfisis	i p 'ɔ f i z i s
hipogrif	i p u ɣ ɾ 'i f
hipogriu	i p u ɣ ɾ 'i w
Hipòlit	i p 'ɔ l i t
hipònim	i p 'ɔ n i m
hiponímia	i p u n 'i m i ə
hipopòtam	i p u p 'ɔ t ə m
hipotalàmic	i p u t ə l 'a m i k
